index,build,test_index,RATE,SIZE,NTHREADS,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
0,local,0,100.0,64,1,2978898.0,2097.144944,0.94482459375347,0.00079094135802469,0
1,local,0,100.0,64,1,2973095.0,2093.0596672,0.94486036366717,0.0007964872685185199,1
2,local,1,0.1,64,1,145181.0,102.2168352,0.0012788304376778,7.1899691358025e-05,0
3,local,1,0.1,64,1,145169.0,102.2081792,0.0012796239831805,7.199537037037e-05,1
4,local,2,100.0,256,1,1113058.0,2493.247248,0.97496293664407,0.0020187060185185,0
5,local,2,100.0,256,1,1112631.0,2492.290576,0.97497468467716,,1
6,local,3,0.1,256,1,145160.0,325.023248,0.0014308434822328,0.00018166358024691,0
7,local,3,0.1,256,1,145169.0,325.044224,0.0014060324570624,0.00018275964506173,1
8,local,4,100.0,1024,1,322291.0,2702.0715392,0.97257247223788,,0
9,local,4,100.0,1024,1,322320.0,2702.3209024,0.97257408832299,,1
10,local,5,0.1,1024,1,145118.0,1215.9544256,0.0013666701762427,0.0006015725308641999,0
11,local,5,0.1,1024,1,145175.0,1216.4373376,0.001366135254269,0.00060297685185185,1
12,local,6,100.0,64,4,12526178.0,8818.4318272,0.75580626397354,0.00064758294753086,0
13,local,6,100.0,64,4,12521430.0,8815.0900256,0.75619581382388,0.00064950694444444,1
14,local,7,0.1,64,4,145368.0,102.3481344,,2.6201003086419997e-05,0
15,local,7,0.1,64,4,145373.0,102.352,,2.7364583333333e-05,1
16,local,8,100.0,256,4,4450935.0,9970.080256,0.89964941603101,0.001936180941358,0
17,local,8,100.0,256,4,4450551.0,9969.22168,0.89977585835523,0.001926194058642,1
18,local,9,0.1,256,4,145361.0,325.4743328,,5.4129243827161e-05,0
19,local,9,0.1,256,4,145367.0,325.487744,,5.5818672839506e-05,1
20,local,10,100.0,1024,4,1286781.0,10788.303888,0.89049815782258,0.006777437114197499,0
21,local,10,100.0,1024,4,1287010.0,10790.2312544,0.89050743592474,0.0067652866512346,1
22,local,11,0.1,1024,4,145311.0,1217.567024,,0.00016590046296296,0
23,local,11,0.1,1024,4,145335.0,1217.7804544,,0.00016465316358025,1
24,local,12,100.0,64,16,47951527.0,33758.4594432,0.0064974056681982,0.00065021836419753,0
25,local,12,100.0,64,16,47914417.0,33732.2822592,0.0066483781046213,0.00064986226851852,1
26,local,13,0.1,64,16,145341.0,102.329472,,1.2850694444444e-05,0
27,local,13,0.1,64,16,145355.0,102.3391232,,1.2647762345679e-05,1
28,local,14,100.0,256,16,17247892.0,38635.219616,0.5266157671342,0.0020217997685185,0
29,local,14,100.0,256,16,17228809.0,38592.4625248,0.53095097972993,0.0020226323302469,1
30,local,15,0.1,256,16,145360.0,325.473408,,2.1391203703704e-05,0
31,local,15,0.1,256,16,145367.0,325.487744,,2.1682484567901e-05,1
32,local,16,100.0,1024,16,5037570.0,42234.672144,0.5714004729495,0.0068518445216049,0
33,local,16,100.0,1024,16,5043039.0,42280.5350976,0.57093400625921,0.0068347974537037,1
34,local,17,0.1,1024,16,145335.0,1217.7804544,,5.3255015432099e-05,0
35,local,17,0.1,1024,16,145341.0,1217.834112,,5.1638117283951e-05,1
