index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,ZEROCOPY,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
0,local,1,0.1,128,1,64,256,1,true,145122.0,176.4256544,0.0016084647348579,0.00088836728395062,0
1,local,1,0.1,128,1,64,256,1,true,145157.0,176.4719168,0.001497504388644,0.00088503047839506,1
2,local,2,100.0,256,1,64,256,1,true,1307582.0,2928.980912,0.97058565403467,0.007212614969135799,0
3,local,2,100.0,256,1,64,256,1,true,1304070.0,2921.112784,0.97067030275959,,1
4,local,3,0.1,256,1,64,256,1,true,145122.0,324.937904,0.0015164118558088,0.0011105069444444001,0
5,local,3,0.1,256,1,64,256,1,true,145148.0,324.995248,0.001472870563502,0.0011147322530864002,1
6,local,4,100.0,1024,1,64,256,1,true,393881.0,3302.2740352,0.96648496825542,0.024077367283951,0
7,local,4,100.0,1024,1,64,256,1,true,395000.0,3311.648912,0.96639197386624,,1
8,local,5,0.1,1024,1,64,256,1,true,145092.0,1215.7317664,0.0015503982658661,0.0012692237654321,0
9,local,5,0.1,1024,1,64,256,1,true,145117.0,1215.94472,0.001551501240857,0.0012754826388889,1
10,local,6,100.0,128,4,64,256,1,true,9223954.0,11216.3204032,0.81826575838211,0.0041582511574074,0
11,local,6,100.0,128,4,64,256,1,true,9227630.0,11220.7911616,0.81811712629523,0.0043553765432099,1
12,local,7,0.1,128,4,64,256,1,true,145345.0,176.7008096,2.6143880783924e-05,0.0007617388117284001,0
13,local,7,0.1,128,4,64,256,1,true,145355.0,176.7138368,3.3709225595868e-05,0.00080644907407407,1
14,local,8,100.0,256,4,64,256,1,true,6303658.0,14120.167104,0.85310118681012,0.0082404463734568,0
15,local,8,100.0,256,4,64,256,1,true,6281554.0,14070.6614528,0.85554789469157,0.0082636759259259,1
16,local,9,0.1,256,4,64,256,1,true,145318.0,325.377984,2.890125679178e-05,0.0006773483796296301,0
17,local,9,0.1,256,4,64,256,1,true,145383.0,325.524256,1.9946845096874e-05,0.0006189467592592601,1
18,local,10,100.0,1024,4,64,256,1,true,2012761.0,16874.8594912,0.8287143549734,0.025245697916667,0
19,local,10,100.0,1024,4,64,256,1,true,2015606.0,16898.7261472,0.82849911114412,0.025513584104937998,1
20,local,11,0.1,1024,4,64,256,1,true,145304.0,1217.5211104,3.7161852945e-05,0.0011969247685185,0
