index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,run_index,AVG-LAT
0,local,0,100.0,64,1,64,256,1,true,true,2699416.0,1900.38984,0.95013415019764,0,
1,local,0,100.0,64,1,64,256,1,true,true,2694642.0,1897.0285184,0.94998195222573,1,
2,local,1,0.1,64,1,64,256,1,true,true,145167.0,102.20712,0.0012514662933137,0,0.00080031944444444
3,local,1,0.1,64,1,64,256,1,true,true,145193.0,102.225424,0.0012931485139798,1,0.00079637692901235
4,local,2,100.0,256,1,64,256,1,true,true,1886987.0,4226.846896,0.95755331287761,0,0.0064202662037037
5,local,2,100.0,256,1,64,256,1,true,true,1880712.0,4212.78928,0.9576906842978,1,0.0064232010030864
6,local,3,0.1,256,1,64,256,1,true,true,145186.0,325.0808768,0.0012100790851004,0,0.0010657492283951
7,local,3,0.1,256,1,64,256,1,true,true,145174.0,325.054608,0.0012465945678197,1,0.0010889942129630001
8,local,4,100.0,1024,1,64,256,1,true,true,575178.0,4822.2566688,0.95105345517034,0,0.016993337191358
9,local,4,100.0,1024,1,64,256,1,true,true,571987.0,4795.503808,0.95133168775763,1,0.016954606867284002
10,local,5,0.1,1024,1,64,256,1,true,true,145313.0,1217.5899392,0.00033296276320571,0,0.0012460609567900998
11,local,5,0.1,1024,1,64,256,1,true,true,145266.0,1217.1906624,0.00052909252032429,1,0.0012362665895062001
12,local,6,100.0,64,4,64,256,1,true,true,13141066.0,9251.3122368,0.74316616493377,0,0.0036694988425926
13,local,6,100.0,64,4,64,256,1,true,true,13147101.0,9255.5611904,0.74309810330907,1,0.0036717523148147996
14,local,7,0.1,64,4,64,256,1,true,true,145318.0,102.3133408,2.5460630983298e-05,0,0.00096601427469136
15,local,7,0.1,64,4,64,256,1,true,true,145399.0,102.3700928,4.3327079562228e-05,1,0.00098092592592593
16,local,8,100.0,256,4,64,256,1,true,true,7668344.0,17177.067056,0.82001150729128,0,0.0064296689814815
17,local,8,100.0,256,4,64,256,1,true,true,7674918.0,17191.7923488,0.81764850245901,1,0.0064249733796296
18,local,9,0.1,256,4,64,256,1,true,true,145343.0,325.434176,3.440000880639e-05,0,0.00072348611111111
19,local,9,0.1,256,4,64,256,1,true,true,145383.0,325.523584,2.2010311831133e-05,1,0.0006916134259259299
20,local,10,100.0,1024,4,64,256,1,true,true,2371844.0,19885.4007104,0.79817116599096,0,0.016933394290123
21,local,10,100.0,1024,4,64,256,1,true,true,2371485.0,19882.3807968,0.79821981425136,1,0.01687406404321
