index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
0,local,0,100.0,64,1,64,256,1,true,true,4736700.0,3183.0623136,0.91049337968312,0.00055199575617284,0
1,local,0,100.0,64,1,64,256,1,true,true,4729884.0,3178.4831712,0.91062318994088,0.0005536280864197501,1
2,local,1,0.1,64,1,64,256,1,true,true,145173.0,97.5657888,0.0012101864815497,0.0008003422067901201,0
3,local,1,0.1,64,1,64,256,1,true,true,145181.0,97.5712224,0.0012307307059399,0.00081284567901235,1
4,local,2,100.0,256,1,64,256,1,true,true,4793939.0,10585.0020768,0.89067306257529,0.0006710065586419799,0
5,local,2,100.0,256,1,64,256,1,true,true,4811945.0,10624.7586944,0.88936320518565,0.00066244444444444,1
6,local,3,0.1,256,1,64,256,1,true,true,145154.0,320.3661312,0.001244020719,0.001079919367284,0
7,local,3,0.1,256,1,64,256,1,true,true,145193.0,320.4492,0.0012972755837052,0.0010587804783951,1
8,local,4,100.0,1024,1,64,256,1,true,true,4782211.0,39940.7408064,0.59305958112176,0.00095749382716049,0
9,local,4,100.0,1024,1,64,256,1,true,true,4767230.0,39815.600544,0.59437789176301,0.00095586882716049,1
10,local,5,0.1,1024,1,64,256,1,true,true,145249.0,1212.405312,0.00059792480871912,0.0012378854166667,0
11,local,5,0.1,1024,1,64,256,1,true,true,145242.0,1212.3504736,0.00059795155147446,0.0012445027006173,1
12,local,6,100.0,64,4,64,256,1,true,true,20517124.0,13787.5116416,0.59289141046388,0.00041068827160493996,0
13,local,6,100.0,64,4,64,256,1,true,true,20488644.0,13768.3717408,0.59353735169218,0.00041256674382716,1
14,local,7,0.1,64,4,64,256,1,true,true,145334.0,97.673712,1.7201436388725e-05,0.00095514544753086,0
15,local,7,0.1,64,4,64,256,1,true,true,145364.0,97.6942752,2.1325188487187e-05,0.0010345189043210001,1
16,local,8,100.0,256,4,64,256,1,true,true,19382150.0,42795.700912,0.42300066956051,0.00060444521604938,0
17,local,8,100.0,256,4,64,256,1,true,true,19383079.0,42797.7584992,0.42551466308153,0.00060767206790123,1
18,local,9,0.1,256,4,64,256,1,true,true,145368.0,320.835456,5.5032441624858e-06,0.0007121990740740701,0
19,local,9,0.1,256,4,64,256,1,true,true,145374.0,320.8503616,1.3757580427098e-06,0.0006646774691358,1
20,local,10,100.0,1024,4,64,256,1,true,true,11371779.0,94976.3413984,,0.00056479436728395,0
21,local,10,100.0,1024,4,64,256,1,true,true,11398480.0,95199.359744,,0.00056199228395062,1
22,local,11,0.1,1024,4,64,256,1,true,true,145319.0,1212.9932928,2.4772386496008e-05,0.0011136851851852,0
23,local,11,0.1,1024,4,64,256,1,true,true,145349.0,1213.241424,4.0590223122416e-05,0.0011377087191358,1
24,local,18,100.0,64,1,256,256,1,true,true,7048245.0,4736.4220704,0.86814048809918,0.00044456944444444004,0
25,local,18,100.0,64,1,256,256,1,true,true,7094810.0,4767.71344,0.86724159064677,0.00043687268518519,1
26,local,19,0.1,64,1,256,256,1,true,true,145193.0,97.5790944,0.0011179456767837,0.0012430586419753,0
27,local,19,0.1,64,1,256,256,1,true,true,145172.0,97.5649824,0.0011751495770012,0.0012429764660494,1
28,local,20,100.0,256,1,256,256,1,true,true,6949882.0,15345.3183936,0.83634213159226,0.0005783468364197501,0
29,local,20,100.0,256,1,256,256,1,true,true,6979380.0,15410.4524832,0.83554873874148,0.00057838850308642,1
30,local,21,0.1,256,1,256,256,1,true,true,145146.0,320.3484672,0.0012990658835574,0.0012417307098765,0
31,local,21,0.1,256,1,256,256,1,true,true,145109.0,320.2653216,0.0012959617336843,0.0012526408179012,1
32,local,22,100.0,1024,1,256,256,1,true,true,6725053.0,56167.211296,0.42766241292857,0.00086261651234568,0
33,local,22,100.0,1024,1,256,256,1,true,true,6722782.0,56148.233664,0.42805955930816,0.00086108487654321,1
34,local,23,0.1,1024,1,256,256,1,true,true,145272.0,1212.5999136,0.00039290027145211,0.0012451122685185,0
35,local,23,0.1,1024,1,256,256,1,true,true,145291.0,1212.7647456,0.00038872223904007,0.0012603260030864,1
36,local,24,100.0,64,4,256,256,1,true,true,25475994.0,17119.873104,0.49398025168338,0.00037318981481481003,0
37,local,24,100.0,64,4,256,256,1,true,true,25429408.0,17088.5660352,0.49505017322446,0.0003772550154321,1
38,local,25,0.1,64,4,256,256,1,true,true,145271.0,97.631568,0.00035438275126254,0.0018114756944444,0
39,local,25,0.1,64,4,256,256,1,true,true,145218.0,97.5958944,0.00023614002621641,0.0018033622685185002,1
40,local,26,100.0,256,4,256,256,1,true,true,23175462.0,51171.3071104,0.2447535910982,0.00078923958333333,0
41,local,26,100.0,256,4,256,256,1,true,true,23580620.0,52065.9012448,0.24022772346734,0.0007439371141975301,1
42,local,27,0.1,256,4,256,256,1,true,true,145291.0,320.665744,0.00025803557175175,0.0018470389660494,0
43,local,27,0.1,256,4,256,256,1,true,true,145352.0,320.8034112,0.00010387430521164,0.0017865081018519,1
44,local,28,100.0,1024,4,256,256,1,true,true,11237949.0,93858.5900544,4.7161405291041e-06,0.0006277685185185199,0
45,local,28,100.0,1024,4,256,256,1,true,true,11245014.0,93917.6177184,4.0906849723132e-06,0.0006317862654321,1
46,local,29,0.1,1024,4,256,256,1,true,true,145290.0,1212.7450176,0.00027385892687215,0.0018569668209877,0
47,local,29,0.1,1024,4,256,256,1,true,true,145233.0,1212.2697888,0.00013700186226151,0.0018949293981481,1
48,local,36,100.0,64,1,1024,256,1,true,true,5662312.0,3805.0748928,0.89520419866299,0.0006173117283950599,0
49,local,36,100.0,64,1,1024,256,1,true,true,5642407.0,3791.6985888,0.89542696646522,0.0006995702160493799,1
50,local,37,0.1,64,1,1024,256,1,true,true,145131.0,97.5377152,0.00083991091436697,0.0018144143518519,0
51,local,37,0.1,64,1,1024,256,1,true,true,145162.0,97.5583872,0.00084041826811887,0.001830393904321,1
52,local,38,100.0,256,1,1024,256,1,true,true,5543388.0,12239.781984,0.86641330685972,0.0007564189814814801,0
53,local,38,100.0,256,1,1024,256,1,true,true,5566221.0,12290.1962464,0.86595042357392,0.0007713973765432101,1
54,local,39,0.1,256,1,1024,256,1,true,true,145241.0,320.5586688,0.00082002850837359,0.0018907403549383,0
55,local,39,0.1,256,1,1024,256,1,true,true,145243.0,320.5596,0.00082139535395676,0.0018708946759259,1
56,local,40,100.0,1024,1,1024,256,1,true,true,5506722.0,45991.8036,0.51421852639981,0.0010794232253086,0
57,local,40,100.0,1024,1,1024,256,1,true,true,5527836.0,46168.1217888,0.51164281346378,0.0010755331790123,1
58,local,41,0.1,1024,1,1024,256,1,true,true,145295.0,1212.7887328,0.00014932819515889,0.0018882067901235,0
59,local,41,0.1,1024,1,1024,256,1,true,true,144583.0,1206.858048,0.00067804248236814,0.0019415771604938,1
60,local,42,100.0,64,4,1024,256,1,true,true,22206569.0,14922.8181312,0.56004474954931,0.00061615895061728,0
61,local,42,100.0,64,4,1024,256,1,true,true,22261765.0,14959.9097344,0.55909899903486,0.00061164467592593,1
62,local,43,0.1,64,4,1024,256,1,true,true,145322.0,97.6654464,9.6328507733778e-05,0.0018916238425926001,0
63,local,43,0.1,64,4,1024,256,1,true,true,145308.0,97.656432,0.00018784071932676,0.0019122349537037,1
64,local,44,100.0,256,4,1024,256,1,true,true,22028106.0,48637.9561472,0.30986955986699,0.00072521527777778,0
65,local,44,100.0,256,4,1024,256,1,true,true,21841347.0,48225.5896544,0.31322133349931,0.00072780439814815,1
66,local,45,0.1,256,4,1024,256,1,true,true,145348.0,320.7936,0.0001320793136278,0.0019275192901235,0
67,local,45,0.1,256,4,1024,256,1,true,true,145337.0,320.7695328,0.00033909636664775,0.0020075856481481,1
68,local,46,100.0,1024,4,1024,256,1,true,true,11121846.0,92888.8986496,2.8501648982271e-05,0.00088642515432099,0
69,local,46,100.0,1024,4,1024,256,1,true,true,11151762.0,93138.7814272,3.1904251807324e-05,0.00088696759259259,1
70,local,47,0.1,1024,4,1024,256,1,true,true,145311.0,1212.932544,0.0001630713000017,0.0020613452932099,0
71,local,47,0.1,1024,4,1024,256,1,true,true,145322.0,1213.013952,0.00018507102874721,0.0020200632716049,1
72,local,54,100.0,64,1,64,256,4,true,true,4737510.0,3183.6059456,0.91060189778724,0.00057587615740741,0
73,local,54,100.0,64,1,64,256,4,true,true,4774596.0,3208.527968,0.90977688027334,0.0005457650462963,1
74,local,55,0.1,64,1,64,256,4,true,true,145148.0,97.5484416,0.0012440755032725,0.00079100385802469,0
75,local,55,0.1,64,1,64,256,4,true,true,145168.0,97.5621664,0.0011937394386742,0.0008030111882716,1
76,local,56,100.0,256,1,64,256,4,true,true,4952820.0,10935.8134272,0.88600830771943,0.0006620671296296301,0
77,local,56,100.0,256,1,64,256,4,true,true,4880178.0,10775.4164736,0.88867840497856,0.0006653001543209901,1
78,local,57,0.1,256,1,64,256,4,true,true,145169.0,320.3980384,0.0012363303623335,0.0010513634259258998,0
79,local,57,0.1,256,1,64,256,4,true,true,145164.0,320.3868384,0.0012693603249563,0.0010705798611110998,1
80,local,58,100.0,1024,1,64,256,4,true,true,4757155.0,39731.4540672,0.59521956229953,0.00096454899691358,0
81,local,58,100.0,1024,1,64,256,4,true,true,4753043.0,39697.1101664,0.59569930020886,0.0009677554012345699,1
82,local,59,0.1,1024,1,64,256,4,true,true,145230.0,1212.246624,0.00059662750624845,0.0012366527777778,0
83,local,59,0.1,1024,1,64,256,4,true,true,145280.0,1212.6668064,0.0005579190102476,0.0012505104166666999,1
84,local,60,100.0,64,4,64,256,4,true,true,20062566.0,13482.0484768,0.60179586939678,0.0004282974537037,0
85,local,60,100.0,64,4,64,256,4,true,true,20090480.0,13500.8063712,0.60129618346008,0.00042731674382716,1
86,local,61,0.1,64,4,64,256,4,true,true,145326.0,97.668688,2.6835422482496e-05,0.0009639490740740701,0
87,local,61,0.1,64,4,64,256,4,true,true,145338.0,97.6767264,1.8576924982194e-05,0.0010287033179012,1
88,local,62,100.0,256,4,64,256,4,true,true,18965623.0,41876.0162752,0.43938194035225,0.0006209637345679,0
89,local,62,100.0,256,4,64,256,4,true,true,18957151.0,41857.3074944,0.44028469886139,0.00062295910493827,1
90,local,63,0.1,256,4,64,256,4,true,true,145317.0,320.7232128,2.7525934591655e-06,0.0007223850308642,0
91,local,63,0.1,256,4,64,256,4,true,true,145357.0,320.8152384,2.0638301385212e-05,0.00068277276234568,1
92,local,64,100.0,1024,4,64,256,4,true,true,11296142.0,94344.6322208,,0.0005743464506172799,0
93,local,64,100.0,1024,4,64,256,4,true,true,11281229.0,94220.079424,,0.00057362229938272,1
94,local,65,0.1,1024,4,64,256,4,true,true,145327.0,1213.052656,1.9954544922873e-05,0.001115356095679,0
95,local,65,0.1,1024,4,64,256,4,true,true,145363.0,1213.3633632,2.8204281547484e-05,0.0011015289351852,1
96,local,66,100.0,64,16,64,256,4,true,true,,,1.0,,0
97,local,66,100.0,64,16,64,256,4,true,true,,,1.0,,1
98,local,67,0.1,64,16,64,256,4,true,true,,,1.0,,0
99,local,67,0.1,64,16,64,256,4,true,true,,,1.0,,1
100,local,68,100.0,256,16,64,256,4,true,true,,,1.0,,0
101,local,68,100.0,256,16,64,256,4,true,true,,,1.0,,1
102,local,69,0.1,256,16,64,256,4,true,true,,0.0002848,0.99999931193544,,0
103,local,69,0.1,256,16,64,256,4,true,true,,,1.0,,1
104,local,70,100.0,1024,16,64,256,4,true,true,,0.0002848,1.0,,0
105,local,70,100.0,1024,16,64,256,4,true,true,,,0.99999999149176,,1
106,local,71,0.1,1024,16,64,256,4,true,true,,,1.0,,0
107,local,71,0.1,1024,16,64,256,4,true,true,,,1.0,,1
108,local,72,100.0,64,1,256,256,4,true,true,6915576.0,4647.266144,0.87064183879352,0.0004506361882716,0
109,local,72,100.0,64,1,256,256,4,true,true,6936157.0,4661.098656,0.86919546558707,0.00045131172839506,1
110,local,73,0.1,64,1,256,256,4,true,true,145155.0,97.5538336,0.0011910921992062,0.0012411458333333,0
111,local,73,0.1,64,1,256,256,4,true,true,145212.0,97.5914496,0.0011116186157597,0.0012355289351852,1
112,local,74,100.0,256,1,256,256,4,true,true,6845933.0,15115.7901248,0.83835127940446,0.00058809992283951,0
113,local,74,100.0,256,1,256,256,4,true,true,6845263.0,15114.3194144,0.83966720953408,0.00059753279320988,1
114,local,75,0.1,256,1,256,256,4,true,true,145122.0,320.292432,0.0011693700750007,0.0012467677469136,0
115,local,75,0.1,256,1,256,256,4,true,true,145157.0,320.3723136,0.0011807707763362,0.0012318163580247,1
116,local,76,100.0,1024,1,256,256,4,true,true,6477491.0,54099.6127424,0.44875228029847,0.00087851658950617,0
117,local,76,100.0,1024,1,256,256,4,true,true,6499620.0,54284.4248512,0.44692580307042,0.00087704591049383,1
118,local,77,0.1,1024,1,256,256,4,true,true,145262.0,1212.5224608,0.00036816342877832,0.0012572708333333002,0
119,local,77,0.1,1024,1,256,256,4,true,true,145340.0,1213.1593536,0.00024075633257947,0.0012578923611111,1
120,local,78,100.0,64,4,256,256,4,true,true,25250520.0,16968.353472,0.49734623997343,0.00038262770061728003,0
121,local,78,100.0,64,4,256,256,4,true,true,25532988.0,17158.1716544,0.49190180407097,0.00037632947530864,1
122,local,79,0.1,64,4,256,256,4,true,true,145256.0,97.6215456,0.00014248593209543,0.0017584170524691,0
123,local,79,0.1,64,4,256,256,4,true,true,145310.0,97.657584,0.00022704880586089,0.0018186234567901,1
124,local,80,100.0,256,4,256,256,4,true,true,23643467.0,52204.6618432,0.2330067817398,0.00061968325617284,0
125,local,80,100.0,256,4,256,256,4,true,true,23388344.0,51641.3483904,0.23734039496766,0.00066965740740741,1
126,local,81,0.1,256,4,256,256,4,true,true,145316.0,320.7239232,0.00017544777023082,0.0018063125,0
127,local,81,0.1,256,4,256,256,4,true,true,145351.0,320.7998304,0.00016096280521027,0.0018682067901235,1
128,local,82,100.0,1024,4,256,256,4,true,true,11301599.0,94390.1928352,2.0174095721748e-06,0.00062710185185185,0
129,local,82,100.0,1024,4,256,256,4,true,true,11352949.0,94819.07664,6.579744396884e-06,0.00062516242283951,1
130,local,83,0.1,1024,4,256,256,4,true,true,145182.0,1211.8473984,0.00013223003894591,0.0018589166666666999,0
131,local,83,0.1,1024,4,256,256,4,true,true,145326.0,1213.052592,0.00015273603910038,0.0018323236882716002,1
132,local,84,100.0,64,16,256,256,4,true,true,,,1.0,,0
133,local,84,100.0,64,16,256,256,4,true,true,,,1.0,,1
134,local,85,0.1,64,16,256,256,4,true,true,,,1.0,,0
135,local,85,0.1,64,16,256,256,4,true,true,,,1.0,,1
136,local,86,100.0,256,16,256,256,4,true,true,,0.0002848,1.0,,0
137,local,86,100.0,256,16,256,256,4,true,true,,,0.99999999775096,,1
138,local,87,0.1,256,16,256,256,4,true,true,,,1.0,,0
139,local,87,0.1,256,16,256,256,4,true,true,,,1.0,,1
140,local,88,100.0,1024,16,256,256,4,true,true,,,1.0,,0
141,local,88,100.0,1024,16,256,256,4,true,true,,,1.0,,1
142,local,89,0.1,1024,16,256,256,4,true,true,,,1.0,,0
143,local,89,0.1,1024,16,256,256,4,true,true,,,1.0,,1
144,local,90,100.0,64,1,1024,256,4,true,true,5584842.0,3753.0150912,0.8963004848307,0.00066210918209877,0
145,local,90,100.0,64,1,1024,256,4,true,true,5614724.0,3773.0958016,0.89519924364747,0.0006222708333333299,1
146,local,91,0.1,64,1,1024,256,4,true,true,145214.0,97.5933408,0.00084011815322627,0.0019184984567901,0
147,local,91,0.1,64,1,1024,256,4,true,true,145246.0,97.6148448,0.00083993321808618,0.001860174382716,1
148,local,92,100.0,256,1,1024,256,4,true,true,5573289.0,12305.8055808,0.86590265935929,0.00075609066358025,0
149,local,92,100.0,256,1,1024,256,4,true,true,5500359.0,12144.7761216,0.86767061159801,0.00078802314814815,1
150,local,93,0.1,256,1,1024,256,4,true,true,145219.0,320.5097472,0.0010627730879714,0.001861055941358,0
151,local,93,0.1,256,1,1024,256,4,true,true,145242.0,320.5592064,0.00082071193492639,0.0018827800925926002,1
152,local,94,100.0,1024,1,1024,256,4,true,true,5469207.0,45678.4855968,0.5192132435989,0.0010925339506173,0
153,local,94,100.0,1024,1,1024,256,4,true,true,5480304.0,45771.1428448,0.51547242344964,0.0010886431327160001,1
154,local,95,0.1,1024,1,1024,256,4,true,true,145275.0,1212.631872,0.0001459083379044,0.0018926026234568,0
155,local,95,0.1,1024,1,1024,256,4,true,true,145230.0,1212.2577024,1.3771003362195e-05,0.0019099637345679,1
156,local,96,100.0,64,4,1024,256,4,true,true,22051501.0,14818.6121376,0.56318037379302,0.00063928317901235,0
157,local,96,100.0,64,4,1024,256,4,true,true,21969750.0,14763.6767328,0.56529928365158,0.00058818865740741,1
158,local,97,0.1,64,4,1024,256,4,true,true,145285.0,97.6409856,0.00013213612498431,0.0018934259259259,0
159,local,97,0.1,64,4,1024,256,4,true,true,145301.0,97.6512576,0.00014725878460586,0.0019272218364198,1
160,local,98,100.0,256,4,1024,256,4,true,true,21752206.0,48028.7714848,0.31895933589246,0.00074386458333333,0
161,local,98,100.0,256,4,1024,256,4,true,true,21647882.0,47798.4210656,0.31921903232128,0.0007460196759259299,1
162,local,99,0.1,256,4,1024,256,4,true,true,145311.0,320.7099648,0.00013211284914438,0.0019677692901235,0
163,local,99,0.1,256,4,1024,256,4,true,true,145271.0,320.6229696,9.567362491536e-05,0.001947119212963,1
164,local,100,100.0,1024,4,1024,256,4,true,true,11354180.0,94829.3639552,2.6799983034009e-05,0.00087870100308642,0
165,local,100,100.0,1024,4,1024,256,4,true,true,11148308.0,93109.9171488,2.6505560458467e-05,0.0008857141203703699,1
166,local,101,0.1,1024,4,1024,256,4,true,true,145335.0,1213.129728,0.00013209094461542,0.002015825617284,0
167,local,101,0.1,1024,4,1024,256,4,true,true,145325.0,1213.0373376,0.00016580712984415,0.0019351477623457,1
168,local,102,100.0,64,16,1024,256,4,true,true,,,1.0,,0
169,local,102,100.0,64,16,1024,256,4,true,true,,,1.0,,1
170,local,103,0.1,64,16,1024,256,4,true,true,,,1.0,,0
171,local,103,0.1,64,16,1024,256,4,true,true,,,1.0,,1
172,local,104,100.0,256,16,1024,256,4,true,true,,0.0002848,0.99999999775059,,0
173,local,104,100.0,256,16,1024,256,4,true,true,,,1.0,,1
174,local,105,0.1,256,16,1024,256,4,true,true,,,1.0,,0
175,local,105,0.1,256,16,1024,256,4,true,true,,,1.0,,1
176,local,106,100.0,1024,16,1024,256,4,true,true,,,1.0,,0
177,local,106,100.0,1024,16,1024,256,4,true,true,,,1.0,,1
178,local,107,0.1,1024,16,1024,256,4,true,true,,,1.0,,0
179,local,107,0.1,1024,16,1024,256,4,true,true,,,1.0,,1
180,local,108,100.0,64,1,64,256,16,true,true,4701760.0,3159.5834848,0.91097101684366,0.00061311728395062,0
181,local,108,100.0,64,1,64,256,16,true,true,4736236.0,3182.7510336,0.91000657267004,0.00057583757716049,1
182,local,109,0.1,64,1,64,256,16,true,true,145222.0,97.5981696,0.0010868069885817,0.00080029050925926,0
183,local,109,0.1,64,1,64,256,16,true,true,145210.0,97.5903744,0.0010346668427802,0.00078285108024691,1
184,local,110,100.0,256,1,64,256,16,true,true,4999870.0,11039.7001824,0.88460078108826,0.00072216010802469,0
185,local,110,100.0,256,1,64,256,16,true,true,4982915.0,11002.2599456,0.88667538663163,0.00070088850308642,1
186,local,111,0.1,256,1,64,256,16,true,true,145138.0,320.328864,0.0011877963899524,0.0010558858024691002,0
187,local,111,0.1,256,1,64,256,16,true,true,145182.0,320.4266784,0.0011035948018208,0.0010534780092593,1
188,local,112,100.0,1024,1,64,256,16,true,true,4685060.0,39129.3365056,0.60134778279941,0.0010167229938271999,0
189,local,112,100.0,1024,1,64,256,16,true,true,4708562.0,39325.6210752,0.59940767913332,0.0010110787037037,1
190,local,113,0.1,1024,1,64,256,16,true,true,145249.0,1212.4050912,0.00050989548174796,0.0012316890432099,0
191,local,113,0.1,1024,1,64,256,16,true,true,145251.0,1212.4196512,0.00049750901434042,0.0012267492283951,1
192,local,114,100.0,64,4,64,256,16,true,true,,,1.0,,0
193,local,114,100.0,64,4,64,256,16,true,true,,,1.0,,1
194,local,115,0.1,64,4,64,256,16,true,true,,7.52e-05,1.0,,0
195,local,115,0.1,64,4,64,256,16,true,true,,,0.99999931214748,,1
196,local,116,100.0,256,4,64,256,16,true,true,,,1.0,,0
197,local,116,100.0,256,4,64,256,16,true,true,,,1.0,,1
198,local,117,0.1,256,4,64,256,16,true,true,,0.0002848,1.0,,0
199,local,117,0.1,256,4,64,256,16,true,true,,,0.99999931191272,,1
200,local,118,100.0,1024,4,64,256,16,true,true,,,1.0,,0
201,local,118,100.0,1024,4,64,256,16,true,true,,,1.0,,1
202,local,119,0.1,1024,4,64,256,16,true,true,,,1.0,,0
203,local,119,0.1,1024,4,64,256,16,true,true,,,1.0,,1
204,local,120,100.0,64,16,64,256,16,true,true,,,1.0,,0
205,local,120,100.0,64,16,64,256,16,true,true,,,1.0,,1
