index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
0,local,0,100.0,64,1,64,256,1,2652998.0,1782.8152608,0.9511198565534,0.010787221450617,0
1,local,0,100.0,64,1,64,256,1,2475148.0,1663.3006048,0.95452485800901,0.0096291176697531,1
2,local,1,0.1,64,1,64,256,1,145245.0,97.6143072,0.00070795218123576,0.00038914351851852,0
3,local,1,0.1,64,1,64,256,1,145262.0,97.625664,0.00072368058995098,0.00043644714506173,1
4,local,2,100.0,256,1,64,256,1,2373254.0,5240.1386592,0.94661311075731,0.014663540895062001,0
5,local,2,100.0,256,1,64,256,1,2361542.0,5214.2782752,0.94688354089286,0.013785672453704,1
6,local,3,0.1,256,1,64,256,1,145227.0,320.5251552,0.00070804230088284,0.00075955285493827,0
7,local,3,0.1,256,1,64,256,1,145257.0,320.5939968,0.00066595851243578,0.00083771643518519,1
8,local,4,100.0,1024,1,64,256,1,2301075.0,19218.435216,0.80419182250083,0.015221214506173001,0
9,local,4,100.0,1024,1,64,256,1,2323443.0,19405.2568288,0.80230297679251,0.011792442515432,1
10,local,5,0.1,1024,1,64,256,1,145319.0,1212.9809728,7.0185337457285e-05,0.0011141797839506,0
11,local,5,0.1,1024,1,64,256,1,145342.0,1213.1837952,,0.0011153263888889,1
12,local,6,100.0,64,3,64,256,1,2036171.0,1368.3079104,0.96252954149462,0.017259453703704,0
13,local,6,100.0,64,3,64,256,1,2012619.0,1352.4805536,0.96290812327587,0.021030574074074,1
14,local,7,0.1,64,3,64,256,1,145335.0,97.6747872,6.880607695825e-07,0.00039808526234568,0
15,local,8,100.0,256,3,64,256,1,1685757.0,3722.1444768,0.96207911029327,0.02404143287037,0
16,local,8,100.0,256,3,64,256,1,1681743.0,3713.2842528,0.96217221183027,0.020613398919752998,1
17,local,10,100.0,1024,3,64,256,1,1490237.0,12446.3734816,0.87318888491667,0.023523308641975,0
18,local,10,100.0,1024,3,64,256,1,1505454.0,12573.4637664,0.87190779188037,0.023499234182099,1
19,local,12,100.0,64,6,64,256,1,1793328.0,1205.1174048,0.96703668875649,0.032687595679012,0
20,local,12,100.0,64,6,64,256,1,1811445.0,1217.2921888,0.96666281546013,0.038299897376543,1
21,local,14,100.0,256,6,64,256,1,1583809.0,3497.0407776,0.96437482682933,0.024590114197530998,0
22,local,14,100.0,256,6,64,256,1,1578682.0,3485.7236704,0.96449069622417,0.03235944058642,1
23,local,16,100.0,1024,6,64,256,1,937144.0,7826.9672352,0.92025855182927,0.026062524305555997,0
24,local,16,100.0,1024,6,64,256,1,915626.0,7647.250624,0.92209152150898,0.026808014274690997,1
25,local,18,100.0,64,1,256,256,1,2478028.0,1665.2356032,0.95472392256969,0.0010976913580247002,0
26,local,18,100.0,64,1,256,256,1,2484147.0,1669.347312,0.95435727565285,0.0011555185185185,1
27,local,19,0.1,64,1,256,256,1,145214.0,97.5933408,0.00088411489778328,0.0011534714506173,0
28,local,19,0.1,64,1,256,256,1,145224.0,97.5998592,0.00090605134978949,0.0011522712191358,1
29,local,20,100.0,256,1,256,256,1,2475187.0,5465.2046976,0.94405992487687,0.0012135559413579999,0
30,local,20,100.0,256,1,256,256,1,2515174.0,5553.4971552,0.94304071457963,0.0012435679012345999,1
31,local,21,0.1,256,1,256,256,1,145215.0,320.5,0.00078305194840944,0.0011579232253086,0
32,local,21,0.1,256,1,256,256,1,145275.0,320.632368,0.0007243047224943,0.001155149691358,1
33,local,22,100.0,1024,1,256,256,1,2451737.0,20476.7524128,0.79135409194246,0.0016285320216049,0
34,local,22,100.0,1024,1,256,256,1,2463513.0,20575.1025312,0.79037014522465,0.0015258657407406998,1
35,local,23,0.1,1024,1,256,256,1,145336.0,1213.1303424,,0.00116446875,0
36,local,23,0.1,1024,1,256,256,1,145348.0,1213.2366336,,0.0011648433641975,1
37,local,24,100.0,64,3,256,256,1,3235712.0,2174.3990688,0.94024093030754,0.020149168209877,0
38,local,24,100.0,64,3,256,256,1,3210316.0,2157.333456,0.94060411015298,0.0092040401234568,1
39,local,25,0.1,64,3,256,256,1,145335.0,97.6745248,0.00013140297094549,0.0011220385802469,0
40,local,25,0.1,64,3,256,256,1,145329.0,97.6705536,0.00013209603381659,0.0011188082561728,1
41,local,26,100.0,256,3,256,256,1,3170355.0,7000.1378016,0.92845372831369,0.014603886959876999,0
42,local,26,100.0,256,3,256,256,1,3181209.0,7024.1001408,0.92811264803545,0.020798712191358003,1
43,local,28,100.0,1024,3,256,256,1,3325056.0,27770.6546016,0.71702480000543,0.017392502314815,0
44,local,28,100.0,1024,3,256,256,1,3324117.0,27762.8020928,0.71717879733571,0.017568955632716,1
45,local,30,100.0,64,6,256,256,1,3574937.0,2402.358576,0.93416053722492,0.014497081018519,0
46,local,30,100.0,64,6,256,256,1,3628521.0,2438.3664448,0.93298430786073,,1
47,local,32,100.0,256,6,256,256,1,3478144.0,7679.736048,0.92145519832374,0.009497366512345699,0
48,local,32,100.0,256,6,256,256,1,3495475.0,7718.0026176,0.92100980159051,0.0064094097222222,1
49,local,34,100.0,1024,6,256,256,1,2945817.0,24603.303264,0.74930931759652,0.0098009648919753,0
