index,build,test_index,RATE,SIZE,NTHREADS,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
0,local,0,100.0,64,1,0,826100.0,555.1395744,0.9850840798151,0.0025546319444443998,0
1,local,0,100.0,64,1,0,830880.0,558.3522496,0.98492535383048,,1
2,local,0,100.0,64,1,0,802926.0,668.0346816,0.98548852378816,,2
3,local,0,100.0,64,1,0,805408.0,670.0995392,0.98540646540569,,3
4,local,1,0.1,64,1,0,145151.0,97.5506016,0.0013656737725276,0.00023301118827159998,0
5,local,1,0.1,64,1,0,145151.0,97.5506784,0.001365672832949,0.0002328861882716,1
6,local,2,100.0,256,1,0,841296.0,1857.5810304,0.98107389695235,0.0026124652777778,0
7,local,2,100.0,256,1,0,841962.0,1859.0518464,0.98106244856791,,1
8,local,2,100.0,256,1,0,906531.0,2146.6675392,0.97958705311766,,2
9,local,2,100.0,256,1,0,923805.0,2187.5711872,0.97920759121321,,3
10,local,3,0.1,256,1,0,145124.0,320.299008,0.0013652403208315,0.00023859336419753001,0
11,local,3,0.1,256,1,0,145170.0,320.3989344,0.0013654924578039,0.00023577276234568,1
12,local,4,100.0,1024,1,0,839701.0,7013.1158208,0.92854451261942,0.0029091593364198,0
13,local,4,100.0,1024,1,0,840548.0,7020.2054656,0.9284789470862,0.0029137704475309,1
14,local,5,0.1,1024,1,0,145123.0,1211.3615328,0.0012807146126027,0.00023985763888888998,0
15,local,5,0.1,1024,1,0,145162.0,1211.6787648,0.0012398309096313,0.0002391412037037,1
16,local,6,100.0,64,4,0,830130.0,557.8483072,0.98486070653246,0.0024923275462963,0
17,local,6,100.0,64,4,0,828078.0,556.4684928,0.98489609993515,,1
18,local,6,100.0,64,4,0,823937.0,685.5157344,0.98508734484035,,2
19,local,6,100.0,64,4,0,731641.0,608.7254784,0.98667676955961,,3
20,local,7,0.1,64,4,0,145143.0,97.5457536,0.0013650533946414,0.00023394174382715998,0
21,local,7,0.1,64,4,0,145162.0,97.5581936,0.0013641917215645,0.00023490239197531,1
22,local,8,100.0,256,4,0,840685.0,1856.2312128,0.98108740935195,,0
