index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,ZEROCOPY,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
0,local,0,100.0,64,1,64,256,1,true,0,4709499.0,3164.7828736,0.91103843856271,0.0006956307870370401,0
1,local,0,100.0,64,1,64,256,1,true,0,4741358.0,3186.1922144,0.9105502244545,0.00063544058641975,1
2,local,1,0.1,64,1,64,256,1,true,0,145157.0,97.554768,0.0014549211762918,0.00097725887345679,0
3,local,1,0.1,64,1,64,256,1,true,0,145135.0,97.5398496,0.0015142217134303,0.0009880663580246899,1
4,local,2,100.0,1024,1,64,256,1,true,0,4923601.0,41121.5993184,0.58099789614815,0.0009475682870370401,0
5,local,2,100.0,1024,1,64,256,1,true,0,4909643.0,41005.0282112,0.58232928119056,0.00093430902777778,1
6,local,3,0.1,1024,1,64,256,1,true,0,145091.0,1211.08576,0.001508487651666,0.0012641400462962999,0
7,local,3,0.1,1024,1,64,256,1,true,0,145123.0,1211.3535744,0.0015081555299151,0.0012664000771605,1
8,local,4,100.0,64,4,64,256,1,true,0,16737584.0,11247.6593568,0.67063967248594,0.0020888287037037,0
9,local,4,100.0,64,4,64,256,1,true,0,16912748.0,11365.3707712,0.66735822097267,0.0017997939814814999,1
10,local,5,0.1,64,4,64,256,1,true,0,145346.0,97.6821792,1.9263898903055e-05,0.00081904282407407,0
11,local,5,0.1,64,4,64,256,1,true,0,145352.0,97.6862112,1.5823307318863e-05,0.0008240281635802499,1
12,local,6,100.0,1024,4,64,256,1,true,0,11289033.0,94285.2693696,0.00032774168815386,0.0005725586419753101,0
13,local,6,100.0,1024,4,64,256,1,true,0,11290371.0,94296.4350144,0.00026956414727952,0.00057165856481481,1
14,local,7,0.1,1024,4,64,256,1,true,0,145356.0,1213.3017664,3.5084919263406e-05,0.0011981778549383,0
15,local,7,0.1,1024,4,64,256,1,true,0,145350.0,1213.2427968,3.9902061079067e-05,0.0012067581018519,1
16,local,8,100.0,64,16,64,256,1,true,0,24660887.0,16572.119808,0.51060459446921,0.0024914791666667,0
17,local,8,100.0,64,16,64,256,1,true,0,24810611.0,16672.7343424,0.50769411971428,0.0024648804012346,1
18,local,9,0.1,64,16,64,256,1,true,0,145322.0,97.6659744,0.00013416603425154,0.0015081396604938,0
