index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
0,local,0,100.0,64,1,64,256,1,true,true,0,3474658.0,2334.971088,0.93513022833418,0.0028982237654321,0
1,local,0,100.0,64,1,64,256,1,true,true,0,3456723.0,2322.9184224,0.9351084403859,0.0029157476851852,1
2,local,1,0.1,64,1,64,256,1,true,true,0,145153.0,97.5522816,0.0012550228436176,0.00077355169753086,0
3,local,1,0.1,64,1,64,256,1,true,true,0,145173.0,97.565872,0.0012555389908494,0.0007884922839506201,1
4,local,2,100.0,1024,1,64,256,1,true,true,0,3667737.0,30632.721648,0.68790902486543,0.0034548155864198003,0
5,local,2,100.0,1024,1,64,256,1,true,true,0,3673846.0,30683.7316224,0.68745077133337,0.0034457303240740997,1
6,local,3,0.1,1024,1,64,256,1,true,true,0,145225.0,1212.2115456,0.00071355043982779,0.0012367418981481001,0
7,local,3,0.1,1024,1,64,256,1,true,true,0,145223.0,1212.1813344,0.00065029975722142,0.0012355713734568,1
8,local,4,100.0,64,4,64,256,1,true,true,0,10114272.0,6796.7933568,0.80553485640492,0.0041406365740741,0
9,local,4,100.0,64,4,64,256,1,true,true,0,10152225.0,6822.2975712,0.80438906799122,0.0043790979938272,1
10,local,5,0.1,64,4,64,256,1,true,true,0,145364.0,97.694208,2.7516239740732e-05,0.00096781944444444,0
11,local,5,0.1,64,4,64,256,1,true,true,0,145330.0,97.671376,4.4035646856178e-05,0.00098615509259259,1
12,local,6,100.0,1024,4,64,256,1,true,true,0,10040408.0,83856.8702368,0.14402981935553,0.001919662037037,0
13,local,6,100.0,1024,4,64,256,1,true,true,0,10052047.0,83954.077392,0.14438368186396,0.0019505829475308998,1
14,local,7,0.1,1024,4,64,256,1,true,true,0,145325.0,1213.049472,6.6742262025965e-05,0.0010961917438272,0
15,local,7,0.1,1024,4,64,256,1,true,true,0,145333.0,1213.1188704,8.9448392406322e-06,0.0011091944444444,1
