index,build,test_index,SIZE,NTHREADS,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,run_index
0,Local,0,64,1,14429085.0,9696.3444352,0.71431125904104,0
1,Local,0,64,1,14374135.0,9659.4177056,0.71542318015807,1
2,Local,0,64,1,14422830.0,9692.140592,0.71450906243355,2
3,Local,1,128,1,14661384.0,17359.0789248,0.70294010087133,0
4,Local,1,128,1,14697311.0,17401.6151776,0.70215956347784,1
5,Local,1,128,1,14698139.0,17402.5969312,0.70214593652159,2
6,Local,2,256,1,14817288.0,32716.5666752,0.59429481466575,0
7,Local,2,256,1,14802896.0,32684.7887616,0.59612640522762,1
8,Local,2,256,1,14847185.0,32782.5841504,0.59613228059307,2
9,Local,3,512,1,14548441.0,61918.1538848,0.27002599332096,0
10,Local,3,512,1,14617608.0,62212.5290144,0.26712079522283,1
11,Local,3,512,1,14602708.0,62149.1158592,0.27926214316402,2
12,Local,4,1024,1,11317724.0,94525.6276832,4.4962846499352e-05,0
13,Local,4,1024,1,11301903.0,94393.4824352,4.5300051927821e-05,1
14,Local,4,1024,1,11287852.0,94276.1218816,2.2909059732235e-05,2
15,Local,5,64,2,28305398.0,19021.2264384,0.43224805113438,0
16,Local,5,64,2,28415194.0,19095.0107712,0.42921000821761,1
17,Local,5,64,2,28403107.0,19086.8877472,0.42968210643274,2
18,Local,6,128,2,28752173.0,34042.5714144,0.32872060406321,0
19,Local,6,128,2,28808185.0,34108.8853376,0.32719887669465,1
20,Local,6,128,2,28744926.0,34033.990448,0.32868127303,2
21,Local,7,256,2,28131713.0,62114.814208,0.0084563965600658,0
22,Local,7,256,2,27982877.0,61786.185376,0.0063435845166725,1
23,Local,7,256,2,28120260.0,62089.5263776,0.012251799960348,2
24,Local,8,512,2,17931726.0,76317.4226912,1.8123971837536e-05,0
25,Local,8,512,2,18019215.0,76689.7676832,1.6077022846561e-05,1
26,Local,8,512,2,18168687.0,77325.9203744,2.473425113847e-05,2
27,Local,9,1024,2,11352464.0,94815.762944,4.9592512070262e-06,0
28,Local,9,1024,2,11313155.0,94487.4640704,5.5421896268948e-06,1
29,Local,9,1024,2,11205954.0,93592.1254784,5.4613521879299e-06,2
30,Local,10,64,4,45019178.0,30253.0349344,0.0012063637325882,0
31,Local,10,64,4,44979586.0,30226.3997664,0.0010520963674229,1
32,Local,10,64,4,45004712.0,30243.4152288,0.0012730105542649,2
33,Local,11,128,4,38509940.0,45596.2020736,0.00016204617833693,0
34,Local,11,128,4,38483176.0,45564.3451168,0.00011037371497991,1
35,Local,11,128,4,38566230.0,45663.5794752,0.00021941845781981,2
36,Local,12,256,4,28213605.0,62295.6314912,1.7544696123695e-06,0
37,Local,12,256,4,28346793.0,62589.708768,1.4653807069998e-06,1
38,Local,12,256,4,28047277.0,61928.3844672,,2
39,Local,13,512,4,17934625.0,76329.7444352,1.5277686163939e-06,0
40,Local,13,512,4,17981450.0,76529.0291616,1.351390821358e-06,1
41,Local,13,512,4,17952125.0,76404.2330848,1.3201761642767e-06,2
42,Local,14,1024,4,11309852.0,94459.8683712,4.8629930402555e-06,0
43,Local,14,1024,4,11317018.0,94519.7270432,4.9040944681833e-06,1
44,Local,14,1024,4,11239933.0,93875.9024256,5.1067658366488e-06,2
45,Local,15,64,8,45030245.0,30260.8602016,0.00021316014174133,0
46,Local,15,64,8,45032060.0,30261.7920064,1.1356224581927e-05,1
47,Local,15,64,8,45020404.0,30253.8485472,7.5742859141359e-06,2
48,Local,16,128,8,38560590.0,45656.7988256,0.0010281040717246,0
49,Local,16,128,8,38552675.0,45647.1427008,0.0010448759948329,1
50,Local,16,128,8,38485116.0,45567.8138944,0.00076232113570007,2
51,Local,17,256,8,26418093.0,58331.1414048,0.098606043081654,0
52,Local,17,256,8,26419909.0,58335.1507392,0.10098268102189,1
53,Local,17,256,8,26407261.0,58307.2243008,0.10080609738629,2
54,Local,18,512,8,18073480.0,76920.7191136,1.3887731731277e-06,0
55,Local,18,512,8,18002733.0,76619.62152,1.377566665739e-06,1
56,Local,18,512,8,17885698.0,76121.5207328,1.3418524489328e-06,2
57,Local,19,1024,8,11340724.0,94717.7047616,4.7351249159444e-06,0
58,Local,19,1024,8,11343145.0,94737.9273792,5.0250361406379e-06,1
59,Local,19,1024,8,11318127.0,94528.9831104,5.2481904609936e-06,2
60,Local,20,64,16,44953782.0,30209.095856,7.2073505045234e-06,0
61,Local,20,64,16,44965093.0,30216.8437216,2.8810408022828e-05,1
62,Local,20,64,16,44887091.0,30164.31376,8.873296442391e-06,2
63,Local,21,128,16,38482287.0,45563.4747904,2.9277547984652e-05,0
64,Local,21,128,16,38489085.0,45571.3544384,4.5325081206804e-05,1
65,Local,21,128,16,38499134.0,45583.32656,2.610120433022e-05,2
66,Local,22,256,16,28261174.0,62400.6618432,2.5917879192594e-05,0
67,Local,22,256,16,28010825.0,61847.8900224,2.6618571514758e-06,1
68,Local,22,256,16,28438715.0,62792.6733952,,2
69,Local,23,512,16,17803858.0,75773.207408,1.201985205479e-06,0
70,Local,23,512,16,17908903.0,76220.2772736,1.2786919703078e-06,1
71,Local,23,512,16,18103915.0,77050.2483936,1.0660665878959e-06,2
72,Local,24,1024,16,11284162.0,94245.3063104,2.0967000918137e-05,0
73,Local,24,1024,16,11350344.0,94798.0658432,4.3434615191185e-06,1
74,Local,24,1024,16,11388197.0,95114.2099712,4.5748909071053e-06,2
