index,build,test_index,SIZE,MEMPOOL_GPU,PERSISTENT_KERNEL,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER,run_index
0,CL,0,64,true,true,145212.0,97.592064,0.00097966911400482,7.7260802469136e-05,0.0,401.5,0
1,CL,0,64,true,true,145214.0,97.5934176,0.0011040397536857,7.696682098765401e-05,0.0,401.93,1
2,CL,0,64,true,true,145201.0,97.584816,0.00097218170509528,7.7025462962963e-05,0.0,401.01000000000005,2
3,CL,1,128,true,true,82531.0,97.6822912,0.00020836109462263,9.7579089506173e-05,0.0,398.41,0
4,CL,1,128,true,true,82517.0,97.6651168,0.00015872919708471,9.8134645061728e-05,0.0,397.72,1
5,CL,1,128,true,true,82510.0,97.6567168,0.00023748997331874,9.8709490740741e-05,0.0,397.77000000000004,2
6,CL,2,256,true,true,44288.0,97.6776192,0.0,0.00013627970679012,0.0,397.36,0
7,CL,2,256,true,true,44300.0,97.70496,0.0,0.00013638966049383,0.0,396.89,1
8,CL,2,256,true,true,44301.0,97.7058816,0.0,0.00013672299382716,0.0,395.9,2
9,CL,3,512,true,true,22984.0,97.6143136,0.0,0.00021491280864198,0.0,395.84999999999997,0
10,CL,3,512,true,true,23003.0,97.6954368,0.0,0.00021592013888889,0.0,395.48,1
11,CL,3,512,true,true,23004.0,97.6958208,0.0,0.00021481481481481002,0.0,395.87,2
12,CL,4,1024,true,true,11747.0,97.6518144,0.0,0.00037484104938271997,0.0,395.28000000000003,0
13,CL,4,1024,true,true,11747.0,97.6518144,0.0,0.00037751388888889,0.0,395.9800000000001,1
14,CL,4,1024,true,true,11747.0,97.6520992,0.0,0.00037887461419753,0.0,396.13000000000005,2
15,CL,5,64,false,true,145181.0,97.570752,0.0011036069507973,9.5243055555556e-05,0.0,389.36,0
16,CL,5,64,false,true,145194.0,97.579968,0.0011474832417915,9.5849922839506e-05,0.0,392.43,1
17,CL,5,64,false,true,145174.0,97.566736,0.0012788867425055,9.5587191358025e-05,0.0,392.87,2
18,CL,6,128,false,true,82522.0,97.6715168,0.00016356459347533,0.00012520833333333,0.0,395.15999999999997,0
19,CL,6,128,false,true,82518.0,97.6657248,0.00031134909866248,0.00012401388888889,0.0,396.03000000000003,1
20,CL,6,128,false,true,82504.0,97.6501504,0.00031018835460828,0.0001252449845679,0.0,397.51,2
21,CL,7,256,false,true,44284.0,97.6713216,0.0003453724604966,0.00017969637345679,0.0,399.52,0
22,CL,7,256,false,true,44300.0,97.7057056,0.0,0.00017883873456789998,0.0,401.53000000000003,1
23,CL,7,256,false,true,44287.0,97.6766976,0.0,0.0001794787808642,0.0,401.34,2
24,CL,8,512,false,true,22990.0,97.64096,0.0,0.00028593672839506,0.0,401.76,0
25,CL,8,512,false,true,22997.0,97.6685824,0.0,0.00028514621913579996,0.0,403.36,1
26,CL,8,512,false,true,22990.0,97.640576,0.0,0.00028624575617284,0.0,401.77,2
27,CL,9,1024,false,true,11746.0,97.6513312,0.0,0.00052500462962963,0.0,402.37,0
28,CL,9,1024,false,true,11747.0,97.6518144,0.0,0.00051282600308642,0.0,404.63,1
29,CL,9,1024,false,true,11746.0,97.6510464,0.0,0.00052350154320988,0.0,405.45,2
30,CL,10,64,true,false,145156.0,97.5538176,0.0014968329875575,0.00010592206790122999,0.0,262.31000000000006,0
31,CL,10,64,true,false,145131.0,97.5372288,0.0014970883832546,0.00010554668209877001,0.0,259.84999999999997,1
32,CL,10,64,true,false,145137.0,97.5415296,0.0014970224663445,0.00010533487654321,0.0,260.92,2
33,CL,11,128,true,false,82505.0,97.6505696,0.00046641791044777,0.0001359737654321,0.0,259.43,0
34,CL,11,128,true,false,82486.0,97.6278368,0.00038900414937759,0.00013601543209877,0.0,253.99,1
35,CL,11,128,true,false,82505.0,97.6504352,0.00046399889512538,0.00013644637345679002,0.0,254.81000000000003,2
36,CL,12,256,true,false,44288.0,97.6776192,0.0,0.00019580478395062,0.0,254.3,0
37,CL,12,256,true,false,44288.0,97.6776192,0.0,0.00019745177469136,0.0,252.62,1
38,CL,12,256,true,false,44281.0,97.6630272,0.0,0.00019656442901235,0.0,252.53000000000003,2
39,CL,13,512,true,false,23003.0,97.6950528,0.0,0.0003193962191358,0.0,251.96000000000004,0
40,CL,13,512,true,false,23003.0,97.6953376,0.0,0.00031937422839506,0.0,257.08000000000004,1
41,CL,13,512,true,false,22997.0,97.6685824,0.0,0.00031820138888889,0.0,253.31000000000003,2
42,CL,14,1024,true,false,11746.0,97.6510464,0.0,0.00056220216049383,0.0,256.26,0
43,CL,14,1024,true,false,11734.0,97.5445248,0.0,0.0005599884259259299,0.0,257.97,1
44,CL,14,1024,true,false,11747.0,97.6518144,0.0,0.00055770640432099,0.0,257.59999999999997,2
45,CL,15,64,false,false,145144.0,97.5461152,0.0014962686156454,0.00012112191358024999,0.0,252.70000000000005,0
46,CL,15,64,false,false,145137.0,97.5415296,0.0014530563719825,0.00012115663580247,0.0,257.59999999999997,1
47,CL,15,64,false,false,145156.0,97.5538176,0.0014968329875575,0.00012197569444443999,0.0,252.47000000000003,2
48,CL,16,128,false,false,82486.0,97.6278368,0.00046652642599554,0.00016206635802469002,0.0,252.26000000000002,0
49,CL,16,128,false,false,82472.0,97.6122624,0.0004653908010176,0.00016257677469136,0.0,252.66,1
50,CL,16,128,false,false,82497.0,97.64232,0.00046403880963752,0.00016232484567901,0.0,256.85999999999996,2
51,CL,17,256,false,false,44294.0,97.6912896,0.0,0.00024187770061728,0.0,256.28,0
52,CL,17,256,false,false,44294.0,97.6917504,0.0,0.00024046952160494,0.0,251.7,1
53,CL,17,256,false,false,44293.0,97.6908288,0.0,0.00024259645061728,0.0,252.53,2
54,CL,18,512,false,false,22997.0,97.6681984,0.0,0.0003968900462963,0.0,252.57999999999998,0
55,CL,18,512,false,false,22997.0,97.6681984,0.0,0.00039717168209877,0.0,257.4,1
56,CL,18,512,false,false,22990.0,97.640576,0.0,0.00039787808641975,0.0,253.56000000000003,2
57,CL,19,1024,false,false,11747.0,97.6514304,0.0,0.0007049799382716,0.0,258.96999999999997,0
58,CL,19,1024,false,false,11747.0,97.6517152,0.0,0.00070592168209877,0.0,253.85,1
