index,build,test_index,SIZE,LISTSorQUEUES_PER_CORE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER,run_index
0,Local,0,64,1,9087758.0,6106.973712,0.82959910958969,0.0,6.0,266.85,0
1,Local,0,64,1,9056684.0,6086.0919168,0.830119750523,0.0,6.0,261.28000000000003,1
2,Local,0,64,1,9061929.0,6089.6168928,0.8301417492126,0.0,6.0,261.68,2
3,Local,1,128,1,8042088.0,9521.819616,0.84269698052377,0.00053670293209877,9.0,257.77000000000004,0
4,Local,1,128,1,8063608.0,9547.3074112,0.84240900836311,0.00054295524691358,9.0,261.65,1
5,Local,1,128,1,8031011.0,9508.7114528,0.84306598480554,0.00054028587962963,9.0,261.34,2
6,Local,2,256,1,7332874.0,16190.960448,0.81917165578043,0.00075187577160494,16.0,260.59999999999997,0
7,Local,2,256,1,7374098.0,16281.9808,0.81802354739067,0.00075716358024691,16.0,259.98,1
8,Local,2,256,1,7388560.0,16313.9156736,0.81783864239319,0.0007512839506172799,16.0,261.19,2
9,Local,3,512,1,5650978.0,24050.468848,0.73506626195801,0.00093955787037037,24.0,352.78999999999996,0
10,Local,3,512,1,5645303.0,24026.32248,0.73501192832813,0.00093978240740741,24.0,361.32,1
11,Local,3,512,1,5652062.0,24055.0938624,0.73510586856065,0.00093121296296296,24.0,358.1500000000001,2
12,Local,4,1024,1,3953162.0,33016.5334144,0.652026389209,0.0015283981481481002,33.0,380.76,0
13,Local,4,1024,1,3965445.0,33119.1213408,0.6509626430667,0.0015263167438272001,33.0,377.52,1
14,Local,4,1024,1,3953424.0,33018.6940416,0.6523351884401,0.0015276485339506,33.0,379.51,2
15,Local,5,64,2,9080539.0,6102.1226112,0.82979705047944,0.0,6.0,245.16000000000003,0
16,Local,5,64,2,9081241.0,6102.594288,0.82964402490929,0.0,6.0,247.9,1
17,Local,5,64,2,9107803.0,6120.4443712,0.82900108057762,0.0,6.0,246.49000000000004,2
18,Local,6,128,2,8062417.0,9545.891936,0.80933672048758,0.00054138155864198,9.0,251.26,0
19,Local,6,128,2,8103445.0,9594.4680736,0.80836820295823,0.0005457723765432101,9.0,253.60999999999999,1
20,Local,6,128,2,8144071.0,9642.5746368,0.80734111227787,0.00053689390432099,9.0,252.92000000000002,2
21,Local,7,256,2,7390220.0,16317.5550208,0.80973104924654,0.00061119444444444,16.0,263.0,0
22,Local,7,256,2,7385972.0,16308.1984,0.80994632548778,0.0005985570987654301,16.0,262.65999999999997,1
23,Local,7,256,2,7398404.0,16335.6497184,0.80942525549464,0.00059719444444444,16.0,264.94,2
24,Local,8,512,2,5650234.0,24047.2689056,0.73479011471151,0.0009382145061728399,24.0,357.08,0
25,Local,8,512,2,5650363.0,24047.8540928,0.73442839892625,0.00091039197530864,24.0,357.01,1
26,Local,8,512,2,5654262.0,24064.4381376,0.73431499238153,0.00092293827160494,24.0,359.07000000000005,2
27,Local,9,1024,2,3931157.0,32832.7474656,0.65598152690344,0.0015201790123457,33.0,374.42,0
28,Local,9,1024,2,3940611.0,32911.7117184,0.65471544106652,0.0015192897376543001,33.0,373.8,1
29,Local,9,1024,2,3938747.0,32896.164672,0.65532833485021,0.0015218761574074,33.0,376.21,2
30,Local,10,64,4,9079479.0,6101.4104928,0.82954579605366,0.0,6.0,258.12,0
31,Local,10,64,4,9114763.0,6125.1212064,0.82901509724404,0.0,6.0,256.03000000000003,1
32,Local,10,64,4,9081683.0,6102.8911776,0.82979776619488,0.0,6.0,254.63000000000002,2
33,Local,11,128,4,8017495.0,9492.7087776,0.81015634706036,0.00056779398148148,9.0,262.01,0
34,Local,11,128,4,8009667.0,9483.440032,0.81053090775769,0.00055399884259259,9.0,261.3,1
35,Local,11,128,4,8027542.0,9504.6045088,0.81018344031041,0.0005529016203703699,9.0,256.81,2
36,Local,12,256,4,7384602.0,16305.1774944,0.81018245387942,0.0006063441358024699,16.0,261.16,0
37,Local,12,256,4,7417513.0,16377.8286752,0.80933986180192,0.0005967554012345699,16.0,261.77,1
38,Local,12,256,4,7398872.0,16336.6834528,0.80984077213805,0.00059841203703704,16.0,264.95,2
39,Local,13,512,4,5657678.0,24078.9794368,0.73454830697196,0.0008966412037037,24.0,356.96000000000004,0
40,Local,13,512,4,5638002.0,23995.2433408,0.73508293920946,0.00090018827160494,24.0,360.63,1
41,Local,13,512,4,5666080.0,24114.7351488,0.73381338319869,0.0009392334104938299,24.0,360.48,2
42,Local,14,1024,4,3937604.0,32886.5932416,0.65576045769465,0.001518475308642,33.0,374.91,0
43,Local,14,1024,4,3944832.0,32946.9470112,0.65506959150088,0.001517212191358,33.0,378.23999999999995,1
44,Local,14,1024,4,3911790.0,32670.9903072,0.65752792951813,0.0014768869598765,33.0,375.23,2
