index,build,test_index,SIZE,LISTSorQUEUES_PER_CORE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,GPU-POWER,run_index
0,Local,0,64,1,23043851.0,15485.4711232,0.54220889100223,0.00049503973765432,491.2899999999999,0
1,Local,0,64,1,23031673.0,15477.2871936,0.5424641851329,0.00048744290123457,497.05999999999995,1
2,Local,0,64,1,23037145.0,15480.9646496,0.54235993351613,0.00048774421296295995,499.19000000000005,2
3,Local,1,128,1,22790607.0,26984.0561024,0.49559404613211,0.00051553742283951,529.8100000000001,0
4,Local,1,128,1,22767296.0,26956.4566944,0.49716360861892,0.00051264776234568,537.3100000000001,1
5,Local,1,128,1,22775461.0,26966.1219488,0.49667585611493,0.00051694367283951,538.23,2
6,Local,2,256,1,22209797.0,49039.133472,0.29537610871802,0.0037483858024690998,569.3199999999999,0
7,Local,2,256,1,22216233.0,49053.33856,0.30147200930861,0.0047379174382716,578.82,1
8,Local,2,256,1,22231075.0,49086.1130544,0.30536933344634,0.0037843148148148,579.88,2
9,Local,3,512,1,17505513.0,74503.1006016,0.002743744371585,0.0008140162037036999,573.2599999999999,0
10,Local,3,512,1,17633822.0,75049.205536,0.0023367755399932,0.0012867384259259,586.55,1
11,Local,3,512,1,17562194.0,74744.3634848,0.011828276585717,0.006744076388888899,588.28,2
12,Local,4,1024,1,9283989.0,77539.2356288,0.14364291477058,0.0078778595679012,575.8899999999999,0
13,Local,4,1024,1,9292052.0,77606.5917216,0.14872923917055,0.0084317091049383,585.1100000000001,1
14,Local,4,1024,1,9261627.0,77352.4876832,0.15006717785944,0.0060539047067901,589.15,2
15,Local,5,64,2,23037568.0,15481.250304,0.54230841648943,0.00048966705246914,502.19,0
16,Local,5,64,2,23073959.0,15505.7046944,0.5416735573501,0.00049676890432099,508.19,1
17,Local,5,64,2,23058976.0,15495.6351744,0.54198190211882,0.00049790972222222,509.49,2
18,Local,6,128,2,22779780.0,26971.2346176,0.49753669066381,0.00051319598765432,535.47,0
19,Local,6,128,2,22777593.0,26968.6454816,0.49694994570869,0.00051650733024691,544.12,1
20,Local,6,128,2,22789631.0,26982.9010592,0.49587037057405,0.00051205555555556,547.51,2
21,Local,7,256,2,22160887.0,48931.13776,0.30579235228009,0.00073761111111111,577.65,0
22,Local,7,256,2,22195182.0,49006.8529152,0.29982884355233,0.00074695794753086,584.22,1
23,Local,7,256,2,22233101.0,49090.5815872,0.2772110912872,0.00074884452160494,585.24,2
24,Local,8,512,2,17465684.0,74333.599328,0.00054182645282408,0.00078541705246914,583.4100000000001,0
25,Local,8,512,2,17535965.0,74632.71496,0.00051626606882338,0.0007849324845679,593.1800000000001,1
26,Local,8,512,2,17857313.0,76000.3632256,0.00051871702775774,0.00076981635802469,594.56,2
27,Local,9,1024,2,11073025.0,92481.1541664,7.1276248779006e-05,0.0012809070216049,612.3499999999999,0
28,Local,9,1024,2,11098497.0,92693.8907296,6.8031608434937e-05,0.0012822175925926002,622.43,1
29,Local,9,1024,2,11250884.0,93966.62864,7.0114013972056e-05,0.0012764637345679,624.44,2
30,Local,10,64,4,23053214.0,15491.7630112,0.54200979571411,0.00050700270061728,512.62,0
31,Local,10,64,4,23065063.0,15499.7259488,0.54177240473442,0.00050223649691358,516.1300000000001,1
32,Local,10,64,4,23056289.0,15493.8297728,0.54202251832453,0.00049166473765432,518.44,2
33,Local,11,128,4,22785703.0,26978.251488,0.49598160880971,0.00051217206790123,546.14,0
34,Local,11,128,4,22787084.0,26979.88312,0.49661115656108,0.00051626234567901,557.67,1
35,Local,11,128,4,22778536.0,26969.7644416,0.49714761950438,0.00051209027777778,556.46,2
36,Local,12,256,4,22180122.0,48973.6086464,0.30309877557361,0.0007451076388888901,588.0500000000001,0
37,Local,12,256,4,22176377.0,48965.33768,0.29955208798467,0.00074649537037037,594.0300000000001,1
38,Local,12,256,4,22198201.0,49013.5318848,0.29333436871419,0.00074773186728395,596.2099999999999,2
39,Local,13,512,4,17641284.0,75080.94048,0.0005278856658173,0.00078424074074074,594.34,0
40,Local,13,512,4,17541618.0,74656.7775488,0.00053572380693467,0.00079475192901235,602.49,1
41,Local,13,512,4,17490324.0,74438.4528,0.00052161632211989,0.0007944656635802499,602.8000000000001,2
42,Local,14,1024,4,11330441.0,94631.0922816,8.2805449694634e-05,0.001321424382716,622.43,0
43,Local,14,1024,4,11025472.0,92083.9821344,8.6319916593136e-05,0.0013263260030864001,626.64,1
44,Local,14,1024,4,11280358.0,94212.8025984,9.6999919168228e-05,0.0013254093364198,630.04,2
