index,build,test_index,SIZE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index,GPU-POWER
0,CPU,0,64,145355.0,97.6882944,0.0,1.7141589506173e-05,0.0,0,
1,CPU,0,64,145381.0,97.7055744,0.0,1.7457947530864e-05,0.0,1,
2,CPU,0,64,145388.0,97.7098752,0.0,1.7327546296296e-05,0.0,2,
3,CPU,1,128,82524.0,97.6734208,0.0,2.8013117283951e-05,0.0,0,
4,CPU,1,128,82542.0,97.6953632,0.0,2.8137731481481e-05,0.0,1,
5,CPU,1,128,82518.0,97.6658432,0.0,2.8067901234568003e-05,0.0,2,
6,CPU,2,256,44293.0,97.6908288,0.0,4.4785879629630005e-05,0.0,0,
7,CPU,2,256,44294.0,97.6917504,0.0,4.4160879629630003e-05,0.0,1,
8,CPU,2,256,44281.0,97.6629504,0.0,4.5184799382716e-05,0.0,2,
9,CPU,3,512,22997.0,97.6688672,0.0,7.6233410493827e-05,0.0,0,
10,CPU,3,512,23003.0,97.6954368,0.0,7.6266975308642e-05,0.0,1,
11,CPU,3,512,22996.0,97.6678144,0.0,7.599884259259299e-05,0.0,2,
12,CPU,4,1024,11741.0,97.5982848,0.0,0.00013809297839506,0.0,0,
13,CPU,4,1024,11747.0,97.6518144,0.0,0.00013769714506173,0.0,1,
14,CPU,4,1024,11746.0,97.6513312,0.0,0.00013920794753086,0.0,2,
15,DPU,0,64,145041.0,97.4770176,0.0020695956582525,3.5199074074073996e-05,0.0,0,
16,DPU,0,64,72102.0,48.4526784,0.50400225634252,0.0,0.0,1,
17,DPU,0,64,145035.0,97.4727944,0.0020689987339682,3.6063657407407e-05,0.0,2,
18,DPU,1,128,82376.0,97.4985984,0.0015514230063911,6.418132716049401e-05,0.0,0,
19,DPU,1,128,82402.0,97.5289088,0.0015509417730415,5.3925540123457e-05,0.0,1,
20,DPU,1,128,82402.0,97.5292648,0.0015485184265212,5.3120756172839994e-05,0.0,2,
21,DPU,2,256,44262.0,97.6208736,0.00058028738902283,8.4340277777778e-05,0.0,0,
22,DPU,2,256,44268.0,97.634304,0.00057796160167611,8.5199074074074e-05,0.0,1,
23,DPU,2,256,44262.0,97.6212296,0.00057577153385535,8.394483024691399e-05,0.0,2,
24,DPU,3,512,22997.0,97.6685056,0.0,0.00015989236111111,0.0,0,
25,DPU,3,512,0.0,0.0,1.0,0.0,0.0,1,
26,DPU,3,512,22998.0,97.6750856,0.00020431584621539,0.00014553587962962998,0.0,2,
27,DPU,4,1024,11732.0,97.5314592,0.0006814252008075,0.00026624537037037,0.0,0,
28,DPU,4,1024,11738.0,97.57922,0.000178874115212,0.00026721682098765,0.0,1,
29,DPU,4,1024,11747.0,97.6514304,0.0,0.00026678356481481003,0.0,2,
30,DOCA,0,64,145374.0,97.7006592,0.0,0.00014834027777777998,0.0,0,417.88
31,DOCA,0,64,145362.0,97.692672,0.0,0.00014910570987654,0.0,1,418.38000000000005
32,DOCA,0,64,145367.0,97.695744,0.0,0.0001513649691358,0.0,2,419.59000000000003
33,DOCA,1,128,82530.0,97.6804608,0.0,0.00022936805555556,0.0,0,418.05
34,DOCA,1,128,82536.0,97.6875008,0.0,0.00022966010802469002,0.0,1,418.21000000000004
35,DOCA,1,128,82524.0,97.6728832,0.0,0.00022960416666667,0.0,2,419.32000000000005
36,DOCA,2,256,44281.0,97.6630272,0.0,0.00040661882716049003,0.0,0,419.63
37,DOCA,2,256,44280.0,97.6625664,0.0,0.00040494907407407,0.0,1,419.96999999999997
38,DOCA,2,256,44287.0,97.6766208,0.0,0.0004049324845679,0.0,2,419.97
39,DOCA,3,512,23004.0,97.6961056,0.0,0.00075676658950617,0.0,0,420.39
40,DOCA,3,512,23003.0,97.6950528,0.0,0.0007560447530864199,0.0,1,419.20000000000005
41,DOCA,3,512,23003.0,97.6950528,0.0,0.0007603626543209901,0.0,2,418.53
42,DOCA,4,1024,11740.0,97.5979008,0.0,0.0014648383487654,0.0,0,418.60999999999996
43,DOCA,4,1024,11746.0,97.6510464,0.0,0.0014667353395062,0.0,1,421.05999999999995
44,DOCA,4,1024,11747.0,97.6520992,0.0,0.0014648452932099001,0.0,2,420.18
45,CL,0,64,145335.0,97.67424,0.0,4.114737654321e-05,0.0,0,399.21
46,CL,0,64,145348.0,97.6828416,0.0,4.1036651234568e-05,0.0,1,399.62
47,CL,0,64,145393.0,97.7138464,0.0,4.1067901234568e-05,0.0,2,401.80000000000007
48,CL,1,128,82516.0,97.6646912,0.0,4.8354938271605e-05,0.0,0,400.73
49,CL,1,128,82549.0,97.7031936,0.0,4.8420138888889e-05,0.0,1,401.62
50,CL,1,128,82531.0,97.6809984,0.0,4.8421682098765e-05,0.0,2,401.5
51,CL,2,256,44300.0,97.70496,0.0,6.5689043209877e-05,0.0,0,401.91999999999996
52,CL,2,256,44301.0,97.7061664,0.0,6.6142361111111e-05,0.0,1,400.11
53,CL,2,256,44288.0,97.6776192,0.0,6.6131944444444e-05,0.0,2,400.53000000000003
54,CL,3,512,22996.0,97.6678144,0.0,0.00012412654320988,0.0,0,401.0899999999999
55,CL,3,512,22996.0,97.6678144,0.0,0.00012409104938272,0.0,1,400.72999999999996
56,CL,3,512,22997.0,97.6681984,0.0,0.00012356327160494,0.0,2,400.87
57,CL,4,1024,11746.0,97.6510464,0.0,0.00031328009259259,0.0,0,400.2
58,CL,4,1024,11747.0,97.6518144,0.0,0.00030912345679011996,0.0,1,401.05
59,CL,4,1024,11747.0,97.6514304,0.0,0.00030954475308641997,0.0,2,401.97
60,ROI,0,64,145273.0,97.6238592,0.00064938638489898,0.0,0.0,0,253.93
61,ROI,0,64,145267.0,97.6195584,0.00065491488858194,0.0,0.0,1,253.82
