index,build,test_index,SIZE,NTHREADS,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index,RX-GOODPUT-GBPS-PKTGEN
0,Local,0,64,1,5350862.0,3595.7801824,0.89850879189536,0.00049405594135802,0,
1,Local,0,64,1,5368637.0,3607.7235968,0.89794296927451,0.0004934814814814799,1,
2,Local,0,64,1,5339031.0,3587.8284064,0.89846019208196,0.0004976149691358,2,
3,Local,1,128,1,2592394.0,3069.3941056,0.94961848246769,0.00090849845679012,0,
4,Local,1,128,1,2595828.0,3073.4563936,0.94943790024734,0.00087555015432099,1,
5,Local,1,128,1,2597053.0,3074.9091648,0.94944695801129,0.00090438117283951,2,
6,Local,2,256,1,1417194.0,3129.1615104,0.9681212397878,0.0,0,
7,Local,2,256,1,1417055.0,3128.8538496,0.96812934851155,0.0016737314814815,1,
8,Local,2,256,1,1416030.0,3126.589632,0.96815279504604,0.0,2,
9,Local,3,512,1,734737.0,3127.0310592,0.96814388816352,0.0030159537037037,0,
10,Local,3,512,1,734820.0,3127.3826176,0.96814295112157,0.0,1,
11,Local,3,512,1,735166.0,3128.8611808,0.96813050685559,0.0029548070987654,2,
12,Local,4,1024,1,387787.0,3238.7786784,0.96700288281177,0.0056326705246914,0,
13,Local,4,1024,1,387705.0,3238.0824512,0.96701753583015,0.0056983402777778,1,
14,Local,4,1024,1,388058.0,3241.0397952,0.96698994576785,0.005751084104938299,2,
15,Local,5,64,2,10287476.0,6913.1850592,0.79975831224455,0.00039980555555556,0,
16,Local,5,64,2,10271978.0,6902.7695744,0.80013465177859,0.00040236882716049,1,
17,Local,5,64,2,10267981.0,6900.083648,0.80029746046951,0.00040440586419753,2,
18,Local,6,128,2,5175046.0,6127.250736,0.89838812415811,0.00078381095679012,0,
19,Local,6,128,2,5168306.0,6119.2707008,0.89842736041174,0.0007890177469135801,1,
20,Local,6,128,2,5171913.0,6123.5424032,0.8983786095873,0.0008010389660493799,2,
21,Local,7,256,2,2824468.0,6236.4172992,0.93642406199953,0.0,0,
22,Local,7,256,2,2825444.0,6238.5727392,0.936404611891,0.0015667476851852,1,
23,Local,7,256,2,2823632.0,6234.5729952,0.93648384541517,0.0015488317901235,2,
24,Local,8,512,2,1464855.0,6234.3991616,0.93648163725459,0.0030079097222222,0,
25,Local,8,512,2,1465781.0,6238.3387584,0.93645300389327,0.0029934772376543,1,
26,Local,8,512,2,1465815.0,6238.4886752,0.93645683562579,0.0030213888888889003,2,
27,Local,9,1024,2,775139.0,6473.920512,0.93404284485333,0.0056848371913580005,0,
28,Local,9,1024,2,774911.0,6472.0032864,0.9340768133571,0.0057323016975309,1,
29,Local,9,1024,2,774662.0,6469.9273536,0.93408368793607,0.0056541277006173,2,
30,Local,10,64,4,20361710.0,13683.0740512,0.59628049415581,0.00040081674382716,0,
31,Local,10,64,4,20400059.0,13708.8440192,0.59562621034767,0.00040197646604938,1,
32,Local,10,64,4,20356375.0,13679.486768,0.59647782584963,0.00040219212962963,2,
33,Local,11,128,4,10272432.0,12162.546928,0.79625978570866,0.00078828819444444,0,
34,Local,11,128,4,10281029.0,12172.7301824,0.79610627870649,0.00079098688271605,1,
35,Local,11,128,4,10256777.0,12144.0168992,0.7965910946634,0.00079114544753086,2,
