index,build,test_index,SIZE,NTHREADS,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER,run_index
0,CL,0,64,1,100,14885157.0,10002.8263488,0.71480981901019,0.00040579166666666997,10.0,411.86999999999995,0
1,CL,0,64,1,100,14127597.0,9493.7471904,0.73043521866131,0.00041474151234568003,9.0,410.07,1
2,CL,0,64,1,100,13897482.0,9339.1102368,0.73492570748507,0.0004185424382716,9.0,410.33000000000004,2
3,CL,1,64,1,9,13071384.0,8783.9798496,0.0023905669512875,0.00017440046296296,9.0,407.9000000000001,0
4,CL,1,64,1,9,13075401.0,8786.6784672,0.0022706401522533,0.00016988541666667002,9.0,407.59,1
5,CL,1,64,1,9,13076369.0,8787.328032,0.0022453271305614,0.00016202121913580001,9.0,407.4200000000001,2
6,CL,2,128,1,100,13093970.0,15503.246976,0.68299320283242,0.00048303819444444,15.0,428.57000000000005,0
7,CL,2,128,1,100,13091024.0,15499.7608928,0.68382654550795,0.00047264081790122995,15.0,426.29,1
8,CL,2,128,1,100,13096572.0,15506.3307968,0.68345641581141,0.00048709606481481,15.0,426.5300000000001,2
9,CL,3,128,1,15,12367504.0,14643.0857824,0.0023116593052207,0.00018548418209876998,15.0,420.29,0
10,CL,3,128,1,15,12368656.0,14644.4491104,0.0023305331616585,0.0001871712962963,15.0,419.53999999999996,1
11,CL,3,128,1,15,12369409.0,14645.3360576,0.002298790794519,0.00018363773148148,15.0,420.82000000000005,2
12,CL,4,256,1,100,8026276.0,17721.9876,0.78810244987702,0.0079061585648148,17.0,434.82,0
13,CL,4,256,1,100,8024698.0,17718.502368,0.78791936137482,0.0079237326388889,17.0,434.26,1
14,CL,4,256,1,100,8026101.0,17721.5947328,0.78794398048374,0.0079047854938272,17.0,435.48,2
15,CL,5,256,1,17,7513189.0,16588.9812288,0.0018437724182583,0.00026888811728395,17.0,421.34,0
16,CL,5,256,1,17,7514571.0,16592.0340576,0.0018304935065273,0.00026564544753086,17.0,421.13000000000005,1
17,CL,5,256,1,17,7515819.0,16594.7832128,0.0018270086344041,0.00026758834876543,17.0,422.6700000000001,2
18,CL,6,512,1,100,4560611.0,19409.8955744,0.78917179529582,0.013928252314814999,19.0,439.12,0
19,CL,6,512,1,100,4563123.0,19420.575952,0.78891303686921,0.013968174382716001,19.0,436.53,1
20,CL,6,512,1,100,4568365.0,19442.896368,0.78847090903458,0.013920415123457,19.0,439.43000000000006,2
21,CL,7,512,1,19,4357232.0,18544.0432736,0.00097091185144815,0.00043303433641974997,19.0,422.0,0
22,CL,7,512,1,19,4357491.0,18545.14624,0.00095972253609866,0.00042819444444444003,19.0,422.28999999999996,1
23,CL,7,512,1,19,4357624.0,18545.7072736,0.00098967402426986,0.00044493287037037,19.0,424.01,2
24,CL,8,1024,1,100,2456227.0,20514.2485728,0.78587483355405,0.025999917438272003,20.0,442.46000000000004,0
25,CL,8,1024,1,100,2456154.0,20513.6542656,0.78604553592002,0.025982159722222002,20.0,439.62000000000006,1
26,CL,8,1024,1,100,2456401.0,20515.694624,0.78606678485067,0.025982944830247,20.0,442.87,2
27,CL,9,1024,1,20,2338025.0,19526.4435232,7.3817532724618e-05,0.00079515509259259,20.0,428.8,0
28,CL,9,1024,1,20,2338098.0,19527.0447744,5.6025298458717e-05,0.0008022673611111099,20.0,430.13,1
29,CL,9,1024,1,20,2338292.0,19528.68096,6.8421320014944e-05,0.0007589826388888901,20.0,430.77,2
30,CL,10,64,2,100,26690479.0,17936.0057408,0.466840118234,0.00044733719135802,18.0,448.21,0
31,CL,10,64,2,100,26584916.0,17865.0676672,0.46830711359854,0.00045123109567901003,18.0,448.92999999999995,1
32,CL,10,64,2,100,26599674.0,17874.984736,0.46834965121122,0.00045185648148148,18.0,450.59999999999997,2
33,CL,11,64,2,18,25809173.0,17343.7735392,0.019784210183562,0.00027448533950617,17.0,442.39,0
34,CL,11,64,2,18,26076685.0,17523.540096,0.0096720022406133,0.00022096913580247,17.0,441.39,1
35,CL,11,64,2,18,25893984.0,17400.7661312,0.016663597615186,0.00024242013888889,17.0,441.81999999999994,2
36,CL,12,64,2,15,21762927.0,14624.696832,0.0015669619645895,0.00018215470679012,15.0,431.33,0
37,CL,12,64,2,15,21762891.0,14624.6705216,0.0016436469211868,0.0001865775462963,15.0,430.09000000000003,1
38,CL,12,64,2,15,21764856.0,14625.9912736,0.0015757775042,0.00018614853395061999,15.0,431.65000000000003,2
39,CL,13,64,2,17,24737695.0,16623.740448,0.0018812538478459,0.00018865547839505998,17.0,436.47999999999996,0
40,CL,13,64,2,17,24740871.0,16625.8739264,0.0019716295782566,0.00019432716049383,17.0,437.51000000000005,1
41,CL,13,64,2,17,24748715.0,16631.1448736,0.0017142525181926,0.00018933410493827,17.0,435.78999999999996,2
42,CL,14,128,2,100,25846218.0,30601.8920704,0.3444905405047,0.00036874421296296,30.0,474.2399999999999,0
43,CL,14,128,2,100,25898689.0,30664.0200992,0.34208313385144,0.00035573225308642,31.0,474.24999999999994,1
44,CL,14,128,2,100,25847370.0,30603.2598624,0.34409233504565,0.00033242206790122996,31.0,473.11,2
45,CL,15,128,2,30,24734899.0,29286.0776992,0.0017810864244607,0.00019456327160494,30.0,464.10999999999996,0
46,CL,15,128,2,30,24738634.0,29290.4990912,0.0017511195914491,0.00019067554012346,30.0,463.46,1
47,CL,15,128,2,30,24739399.0,29291.4075584,0.0017501793856901,0.00019350192901235,30.0,463.3399999999999,2
48,CL,16,256,2,100,15532543.0,34295.77944,0.52654801937657,0.003452293595679,34.0,481.14000000000004,0
49,CL,16,256,2,100,15548965.0,34332.0449664,0.5259246108932,0.0033237280092593,34.0,478.26000000000005,1
50,CL,16,256,2,100,15490173.0,34202.2357696,0.52797450145022,0.0032099162808642,34.0,481.40999999999997,2
51,CL,17,256,2,34,15025814.0,33176.858352,0.0015860002046023,0.00027321489197531005,34.0,463.0999999999999,0
52,CL,17,256,2,34,15026555.0,33178.4894368,0.0016238592466362,0.00027245833333333,34.0,465.82,1
53,CL,17,256,2,34,15027108.0,33179.7150432,0.001624953734053,0.00027587847222222,34.0,464.98999999999995,2
54,CL,18,512,2,100,8695239.0,37006.7991712,0.58255260258774,0.007562164351851901,37.0,486.28,0
55,CL,18,512,2,100,8684487.0,36961.028208,0.58190941221469,0.0076910810185185,37.0,484.1,1
56,CL,18,512,2,100,8678616.0,36936.0375104,0.58319112905413,0.0076037627314814995,37.0,487.79,2
57,CL,19,512,2,37,8476270.0,36074.6560512,0.0012480583373157,0.00043751234567901003,37.0,476.34,0
58,CL,19,512,2,37,8477213.0,36078.6801088,0.0012220553497537,0.00043766898148147996,37.0,476.5,1
59,CL,19,512,2,37,8477275.0,36078.9341664,0.0012325193103293,0.0004361412037037,36.0,477.14,2
60,CL,20,1024,2,100,4751927.0,39687.7867776,0.58294698073801,0.014857361496913999,39.0,495.03,0
61,CL,20,1024,2,100,4735627.0,39551.653344,0.58409991676425,0.014821757716049,40.0,493.19,1
62,CL,20,1024,2,100,4748879.0,39662.3329152,0.5829136454585,0.014536027391975,40.0,493.9800000000001,2
63,CL,21,1024,2,39,4554949.0,38042.1864416,0.00063102465252562,0.00075555902777778,38.0,487.06,0
64,CL,21,1024,2,39,4555832.0,38049.5799744,0.00061250924099898,0.0007499054783950599,38.0,489.69,1
65,CL,21,1024,2,39,4555866.0,38049.8691744,0.00061892803682151,0.00075372222222222,38.0,488.04,2
66,CL,22,1024,2,36,4206550.0,35132.3753376,0.00047491429824931,0.0007643070987654301,36.0,480.88,0
67,CL,22,1024,2,36,4207389.0,35139.3701248,0.00049348291585327,0.00076447183641975,36.0,481.19,1
68,CL,22,1024,2,36,4207222.0,35137.9881664,0.00049065310934449,0.00076299652777778,36.0,481.20000000000005,2
69,CL,23,1024,2,38,4442980.0,37107.0461376,0.0005777014137579,0.00075186149691358,38.0,485.92,0
70,CL,23,1024,2,38,4443855.0,37114.329904,0.00057509289343649,0.0007571894290123501,38.0,487.08,1
71,CL,23,1024,2,38,4443257.0,37109.329296,0.00059506475479099,0.0007580347222222201,38.0,485.16,2
72,CL,24,64,4,100,23032621.0,15477.924304,0.54240721325742,0.00048872685185185,15.0,498.98,0
73,CL,24,64,4,100,23046603.0,15487.32104,0.54220709493071,0.0005008769290123499,15.0,496.86,1
74,CL,24,64,4,100,23047764.0,15488.10096,0.54220481977165,0.00048769020061728005,15.0,500.16999999999996,2
75,CL,25,64,4,15,21757400.0,14620.9821408,0.0017841478410643,0.00021249614197531,15.0,436.68999999999994,0
76,CL,25,64,4,15,21758685.0,14621.8446272,0.0017897807209754,0.00021477932098765002,15.0,436.90999999999997,1
77,CL,25,64,4,15,21761825.0,14623.9563552,0.0017444703187246,0.00021380285493827,15.0,435.75,2
78,CL,26,128,4,100,22926226.0,27144.6282272,0.43382104996465,0.00050461458333333,27.0,523.51,0
79,CL,26,128,4,100,22934301.0,27154.1868512,0.4342350179999,0.0005068422067901199,27.0,521.91,1
80,CL,26,128,4,100,22937803.0,27158.3333728,0.4334081470062,0.00051060763888889,27.0,526.23,2
81,CL,27,128,4,27,22333821.0,26443.2005536,0.0018105345808999,0.00023821527777777998,27.0,460.76000000000005,0
82,CL,27,128,4,27,22336867.0,26446.8077248,0.0017840718472329,0.00023728279320988,27.0,461.7,1
83,CL,27,128,4,27,22335942.0,26445.7111872,0.0017848817087449,0.00023637577160494,27.0,461.33000000000004,2
