index,build,test_index,RATE,WORKLOAD,SIZE,QUEUES,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,run_index,AVG-LAT
0,DOCA version,0,100.0,0,64,1,2145982.0,1785.4571776,0.9607971818882,0,
1,DOCA version,0,100.0,0,64,1,2146610.0,1785.9799584,0.96066392920592,1,
2,DOCA version,1,0.1,0,64,1,145362.0,120.9505632,0.00013275407616919,0,0.00039233256172839997
3,DOCA version,1,0.1,0,64,1,145368.0,120.9562656,,1,0.00038543865740741
4,DOCA version,2,100.0,1,64,1,180684.0,150.3297536,0.99676801521066,0,
5,DOCA version,2,100.0,1,64,1,180787.0,150.4149504,0.99675222334047,1,
6,DOCA version,3,0.1,1,64,1,145190.0,120.7984128,0.0010506174699728,0,
7,DOCA version,3,0.1,1,64,1,145216.0,120.819712,0.00091847581175031,1,
8,DOCA version,4,100.0,0,256,1,2133348.0,5051.7644448,0.95086411533406,0,
9,DOCA version,4,100.0,0,256,1,2133372.0,5051.8200544,0.95079390246875,1,
10,DOCA version,5,0.1,0,256,1,145343.0,344.0355168,,0,0.00038756983024691
11,DOCA version,5,0.1,0,256,1,145349.0,344.0510496,,1,0.00038828086419752996
12,DOCA version,6,100.0,1,256,1,180427.0,427.251456,0.99593357493788,0,
13,DOCA version,6,100.0,1,256,1,180581.0,427.6163648,0.99593084178747,1,
14,DOCA version,7,0.1,1,256,1,145184.0,343.795712,0.0010403536101371,0,
15,DOCA version,7,0.1,1,256,1,145260.0,343.9775744,0.00091338270735442,1,
16,DOCA version,8,100.0,0,1024,1,2132530.0,18151.9649152,0.81853372822108,0,
17,DOCA version,8,100.0,0,1024,1,2132207.0,18149.222352,0.81857885607465,1,
18,DOCA version,9,0.1,0,1024,1,145311.0,1236.1668448,0.00013211284914438,0,0.00039272029320988004
19,DOCA version,9,0.1,0,1024,1,145335.0,1236.3836448,,1,0.00040068479938271996
20,DOCA version,10,100.0,1,1024,1,181092.0,1541.4538656,0.98459030048788,0,
21,DOCA version,10,100.0,1,1024,1,181451.0,1544.5095808,0.98456022186708,1,
22,DOCA version,11,0.1,1,1024,1,145190.0,1235.8609696,0.00091794949075819,0,
23,DOCA version,11,0.1,1,1024,1,145196.0,1235.9151616,0.00090828521256625,1,
24,DOCA version,12,100.0,0,64,4,8541990.0,7106.936576,0.83493098876691,0,
25,DOCA version,12,100.0,0,64,4,8542058.0,7106.9933184,0.83502036539147,1,
26,DOCA version,13,0.1,0,64,4,145343.0,120.9345888,,0,0.00029877700617284
27,DOCA version,13,0.1,0,64,4,145361.0,120.9499136,,1,0.00030337615740741
28,DOCA version,14,100.0,1,64,4,725144.0,603.3204384,0.98696697452318,0,
29,DOCA version,14,100.0,1,64,4,724118.0,602.4670016,0.9869553293409,1,
30,DOCA version,15,0.1,1,64,4,145235.0,120.8359712,0.00077538046619152,0,
31,DOCA version,15,0.1,1,64,4,145273.0,120.8676352,0.0006548860553296,1,
32,DOCA version,16,100.0,0,256,4,8533982.0,20208.4371744,0.78507901781409,0,
33,DOCA version,16,100.0,0,256,4,8536011.0,20213.2448992,0.78636681904921,1,
34,DOCA version,17,0.1,0,256,4,145323.0,343.9900512,,0,0.00029664274691358004
35,DOCA version,17,0.1,0,256,4,145368.0,344.095488,,1,0.00030169174382716
36,DOCA version,18,100.0,1,256,4,723966.0,1714.3512,0.9835596163212,0,
37,DOCA version,18,100.0,1,256,4,724785.0,1716.291344,0.98355072277863,1,
38,DOCA version,19,0.1,1,256,4,145235.0,343.9172384,0.00064336869223447,0,
39,DOCA version,19,0.1,1,256,4,145273.0,344.0078848,0.00064388665393567,1,
40,DOCA version,20,100.0,0,1024,4,8530168.0,72608.231776,0.22708291781178,0,0.0037450501543209998
41,DOCA version,20,100.0,0,1024,4,8532512.0,72628.1490272,0.22714360323239,1,0.0042399575617284
42,DOCA version,21,0.1,0,1024,4,145298.0,1236.0578912,,0,0.00029834375
43,DOCA version,21,0.1,0,1024,4,145368.0,1236.6564864,,1,0.00029150733024691
44,DOCA version,22,100.0,1,1024,4,724371.0,6165.8346688,0.93808284550046,0,
45,DOCA version,22,100.0,1,1024,4,726572.0,6184.5862496,0.93796895969126,1,
46,DOCA version,23,0.1,1,1024,4,145248.0,1236.3512608,0.00065362579991757,0,
47,DOCA version,23,0.1,1,1024,4,145254.0,1236.4054528,0.00064947216626488,1,
48,DOCA version,24,100.0,0,64,8,17077163.0,14208.2009632,0.66234056705683,0,
49,DOCA version,24,100.0,0,64,8,17080856.0,14211.2746816,0.66213630263334,1,
50,DOCA version,25,0.1,0,64,8,145355.0,120.9445888,,0,0.00028777893518519
51,DOCA version,25,0.1,0,64,8,145380.0,120.965888,,1,0.00028943827160493997
52,DOCA version,26,100.0,1,64,8,1448855.0,1205.4474432,0.97387613734484,0,
53,DOCA version,26,100.0,1,64,8,1451926.0,1208.00288,0.97366699818126,1,
54,DOCA version,27,0.1,1,64,8,145254.0,120.8519456,0.00064328370531419,0,
55,DOCA version,27,0.1,1,64,8,145277.0,120.8707136,0.00066243114293107,1,
56,DOCA version,28,100.0,0,256,8,17061424.0,40401.3742432,0.49606742858198,0,0.0039258252314815
57,DOCA version,28,100.0,0,256,8,17045382.0,40363.384944,0.49686011149259,1,0.0036990898919753
58,DOCA version,29,0.1,0,256,8,145342.0,344.0347744,0.0001327723415262,0,0.00028921103395062
59,DOCA version,29,0.1,0,256,8,145354.0,344.0644352,,1,0.00029244714506173
60,DOCA version,30,100.0,1,256,8,1443120.0,3417.3082016,0.96694970712906,0,
61,DOCA version,30,100.0,1,256,8,1448342.0,3429.673856,0.96673920721788,1,
62,DOCA version,31,0.1,1,256,8,145222.0,343.886928,0.00064342536265793,0,
63,DOCA version,31,0.1,1,256,8,145267.0,343.9927296,0.00064941497616977,1,
64,DOCA version,32,100.0,0,1024,8,10862021.0,92456.7832544,0.00017017876060088,0,0.0023497013888889
65,DOCA version,32,100.0,0,1024,8,10709290.0,91156.7136256,0.00016761139975241,1,0.0023039236111111
66,DOCA version,33,0.1,0,1024,8,145349.0,1236.4895424,4.7469660695132e-05,0,0.00030742168209877004
67,DOCA version,33,0.1,0,1024,8,145367.0,1236.655744,,1,0.00030854513888889
68,DOCA version,34,100.0,1,1024,8,1450586.0,12347.3698304,0.87544134983518,0,
69,DOCA version,34,100.0,1,1024,8,1452082.0,12360.1060768,0.87503071879162,1,
70,DOCA version,35,0.1,1,1024,8,145235.0,1236.2423072,0.00064336869223447,0,
71,DOCA version,35,0.1,1,1024,8,145273.0,1236.5688832,0.00065419859983618,1,
