index,build,test_index,SIZE,MEMPOOL_GPU,PERSISTENT_KERNEL,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,CL,0,64,true,true,404.33,145238.0,97.6094592,0.00097124776447932,4.5693672839506e-05,0.0,0
1,CL,0,64,true,true,403.91999999999996,145214.0,97.5928704,0.00097141347540375,4.5591049382716e-05,0.0,1
2,CL,0,64,true,true,402.05,145233.0,97.6057728,0.0010152647392228,4.5449074074074e-05,0.0,2
3,CL,1,128,true,true,404.26000000000005,82525.0,97.6749984,0.00020716575441049,4.6998070987654e-05,0.0,0
4,CL,1,128,true,true,404.26,82495.0,97.6392576,0.00018906501291338,4.687037037037e-05,0.0,1
5,CL,1,128,true,true,401.52000000000004,82524.0,97.6728288,0.00023866059313815,4.6740740740741006e-05,0.0,2
6,CL,2,256,true,true,404.9,44288.0,97.6776192,0.0,4.7358410493827e-05,0.0,0
7,CL,2,256,true,true,405.25,44280.0,97.6624896,0.0,4.745987654321e-05,0.0,1
8,CL,2,256,true,true,401.96,44287.0,97.6769824,0.0,4.7375771604938004e-05,0.0,2
9,CL,3,512,true,true,406.43,22997.0,97.6685824,0.0,4.9936342592593e-05,0.0,0
10,CL,3,512,true,true,404.89000000000004,22996.0,97.6678144,0.0,4.9884259259259e-05,0.0,1
11,CL,3,512,true,true,402.75,22990.0,97.64096,0.0,5.0070216049383e-05,0.0,2
12,CL,4,1024,true,true,403.39,11747.0,97.6514304,0.0,5.2885416666666996e-05,0.0,0
13,CL,4,1024,true,true,402.04999999999995,11747.0,97.6514304,0.0,5.3093364197531e-05,0.0,1
14,CL,4,1024,true,true,402.09,11747.0,97.6518144,0.0,5.2934413580247006e-05,0.0,2
15,CL,5,64,false,true,369.48,145194.0,97.5793536,0.0011035097664742,5.7185570987654004e-05,,0
16,CL,5,64,false,true,380.63,145201.0,97.584816,0.0010601557555243,5.6890432098765e-05,,1
17,CL,5,64,false,true,387.31,145201.0,97.5845536,0.0011467448131638,5.7296682098765e-05,,2
18,CL,6,128,false,true,392.23,145188.0,171.8637408,0.0010190130916692,5.9684413580247e-05,,0
19,CL,6,128,false,true,392.32000000000005,145200.0,171.8780672,0.0011117050294334,5.9843364197531e-05,,1
20,CL,6,128,false,true,393.32000000000005,145182.0,171.857024,0.0012272909890424,5.9952546296296e-05,,2
21,CL,7,256,false,true,393.82,145195.0,320.454576,0.0010602024360576,6.0465277777778e-05,,0
22,CL,7,256,false,true,394.81000000000006,145091.0,320.2268736,0.0011496769201326,6.1085648148148e-05,,1
23,CL,7,256,false,true,395.20000000000005,145175.0,320.411712,0.0010596609772964,6.0639274691358e-05,,2
24,CL,8,512,false,true,395.91999999999996,145194.0,617.6198016,0.00092754676266915,6.1586033950617e-05,,0
25,CL,8,512,false,true,395.92,145205.0,617.6611968,0.0010374535880553,6.1609567901235e-05,,1
26,CL,8,512,false,true,396.87999999999994,145202.0,617.6521472,0.0010072322578515,6.1379243827161e-05,,2
27,CL,9,1024,false,true,396.41999999999996,145315.0,1212.9632256,0.00018164016944822,6.7856095679012e-05,1.0,0
28,CL,9,1024,false,true,396.6600000000001,145322.0,1213.0123584,0.00014173349699198,6.7571759259259e-05,1.0,1
29,CL,9,1024,false,true,396.63,145334.0,1213.110912,0.00010457545118803,6.750617283950599e-05,1.0,2
30,CL,10,64,true,false,262.27,145105.0,97.5200256,0.0014973521089544,5.7362268518519e-05,0.0,0
31,CL,10,64,true,false,259.85,145143.0,97.5455008,0.0014962768504301,5.7427854938271996e-05,0.0,1
32,CL,10,64,true,false,257.8,145151.0,97.5506784,0.0014536083608966,5.7293595679012e-05,0.0,2
33,CL,11,128,true,false,254.79,82499.0,97.642992,0.00046645407668744,5.9240740740741005e-05,0.0,0
34,CL,11,128,true,false,254.88000000000002,82492.0,97.6354144,0.00038897398115478,5.9332175925926e-05,0.0,1
35,CL,11,128,true,false,257.7,82467.0,97.605104,0.00046663499204902,5.9310185185184996e-05,0.0,2
36,CL,12,256,true,false,257.31,44287.0,97.6769824,0.0,6.1387345679012e-05,0.0,0
37,CL,12,256,true,false,252.31,44282.0,97.663488,0.0,6.1145061728395e-05,0.0,1
38,CL,12,256,true,false,252.26999999999998,44294.0,97.6912896,0.0,6.1391203703704e-05,0.0,2
39,CL,13,512,true,false,257.25,23004.0,97.6958208,0.0,6.6701388888889e-05,0.0,0
40,CL,13,512,true,false,257.05,22996.0,97.6678144,0.0,6.721990740740701e-05,0.0,1
41,CL,13,512,true,false,252.75,22997.0,97.6684832,0.0,6.703009259259299e-05,0.0,2
42,CL,14,1024,true,false,252.39999999999998,11740.0,97.5979776,0.0,7.5738425925926e-05,0.0,0
43,CL,14,1024,true,false,256.24999999999994,11740.0,97.5975936,0.0,7.6486111111111e-05,0.0,1
44,CL,14,1024,true,false,256.33000000000004,11747.0,97.6514304,0.0,7.5704861111111e-05,0.0,2
45,CL,15,64,false,false,250.99,144203.0,96.9138528,0.0028330747124052,6.708024691358e-05,0.0,0
46,CL,15,64,false,false,251.27,145118.0,97.5288352,0.0014965332034274,6.689158950617301e-05,0.0,1
47,CL,15,64,false,false,255.99,145157.0,97.5549792,0.001497504388644,6.649884259259299e-05,0.0,2
48,CL,16,128,false,false,249.95,82498.0,97.6425728,0.00038773544326032,6.9694830246914e-05,0.0,0
49,CL,16,128,false,false,251.01000000000002,82511.0,97.6581472,0.00046638174981584,6.9492669753086e-05,0.0,1
50,CL,16,128,false,false,250.60999999999999,82511.0,97.657728,0.00038767531707595,6.970100308642e-05,0.0,2
51,CL,17,256,false,false,256.92,44301.0,97.7058816,0.0,7.1587191358025e-05,0.0,0
52,CL,17,256,false,false,252.53000000000003,44300.0,97.7054208,0.0,7.2030864197531e-05,0.0,1
53,CL,17,256,false,false,251.81,44300.0,97.70496,0.0,7.1746141975309e-05,0.0,2
54,CL,18,512,false,false,252.31999999999996,23003.0,97.6953376,0.0,7.5106481481481e-05,0.0,0
55,CL,18,512,false,false,256.46,23003.0,97.6950528,0.0,7.5348765432099e-05,0.0,1
56,CL,18,512,false,false,256.48,23004.0,97.6958208,0.0,7.510493827160499e-05,0.0,2
57,CL,19,1024,false,false,250.46000000000004,11747.0,97.6518144,0.0,7.9793981481481e-05,0.0,0
58,CL,19,1024,false,false,250.63,11747.0,97.6514304,0.0,7.9701774691358e-05,0.0,1
59,CL,19,1024,false,false,251.49,11741.0,97.5986464,0.0,7.9989969135802e-05,0.0,2
