index,build,test_index,SIZE,MEMPOOL_GPU,PERSISTENT_KERNEL,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,CL,0,64,true,true,413.14,14191350.0,9536.5894368,0.72804313985148,0.00038953395061728,9.0,0
1,CL,0,64,true,true,412.28000000000003,14386731.0,9667.8853536,0.72388568504851,0.00038417476851852,9.0,1
2,CL,0,64,true,true,413.01000000000005,14376584.0,9661.0665184,0.72412864802277,0.00038850887345679,9.0,2
3,CL,1,128,true,true,392.49999999999994,14137362.0,16738.6212256,0.65868177613636,0.00039159027777778,17.0,0
4,CL,1,128,true,true,395.07,14171250.0,16778.7473024,0.65810085457374,0.00039234953703704,17.0,1
5,CL,1,128,true,true,399.74,14491188.0,17157.553392,0.65007255279525,0.00038983873456790004,17.0,2
6,CL,2,256,true,true,409.9799999999999,14105977.0,31145.9344416,0.57954414893425,0.00038127546296296,32.0,0
7,CL,2,256,true,true,410.51,13990283.0,30890.4874176,0.584268040474,0.00038265779320988,31.0,1
8,CL,2,256,true,true,411.39,14082572.0,31094.2531456,0.58060411299865,0.00037968016975309,31.0,2
9,CL,3,512,true,true,432.33,13812534.0,58785.8966464,0.3207155592109,0.00052821913580247,60.0,0
10,CL,3,512,true,true,433.90000000000003,13523241.0,57554.681744,0.33478756288711,0.00053171257716049,59.0,1
11,CL,3,512,true,true,436.83,13825438.0,58840.816128,0.31823455083775,0.0005270065586419799,60.0,2
12,CL,4,1024,true,true,453.03,11450622.0,95634.870192,0.018770465610251,0.0006626925154321,97.0,0
13,CL,4,1024,true,true,456.30999999999995,11455946.0,95679.315744,0.016017633980243,0.00073852893518519,97.0,1
14,CL,4,1024,true,true,454.55,11453443.0,95658.4326976,0.017753531235742,0.00068579359567901,97.0,2
15,CL,5,64,false,true,418.67,11991740.0,8058.4522624,0.7736145282625,0.00040643094135802,8.0,0
16,CL,5,64,false,true,416.98999999999995,11956576.0,8034.8211936,0.77462368596303,0.00040611612654321,8.0,1
17,CL,5,64,false,true,413.22,12006328.0,8068.2547584,0.77364477821205,0.00040325771604938,8.0,2
18,CL,6,128,false,true,409.44000000000005,12008027.0,14217.4873984,0.70692959129094,0.00041275308641975,14.0,0
19,CL,6,128,false,true,412.61,11920285.0,14113.606112,0.70932428560166,0.00041264429012346,14.0,1
20,CL,6,128,false,true,410.56,11938803.0,14135.5325152,0.70885140875034,0.00041523225308641996,14.0,2
21,CL,7,256,false,true,410.75,12127782.0,26778.0931584,0.66200256692578,0.00034520601851852,27.0,0
22,CL,7,256,false,true,410.99000000000007,11955905.0,26398.5957664,0.66747925098313,0.00033889583333333,27.0,1
23,CL,7,256,false,true,409.94999999999993,12044772.0,26594.806992,0.66464604085318,0.00034150077160494,27.0,2
24,CL,8,512,false,true,409.46999999999997,11726112.0,49906.1335072,0.41374459225673,0.00059058680555556,51.0,0
25,CL,8,512,false,true,409.96000000000004,11557169.0,49187.1408128,0.42331294441601,0.00059406365740741,50.0,1
26,CL,8,512,false,true,409.95000000000005,11695070.0,49774.040688,0.41522125264484,0.0005881180555555599,50.0,2
27,CL,9,1024,false,true,410.46999999999997,11492261.0,95982.6087008,0.013616215801586,0.00078923032407407,98.0,0
28,CL,9,1024,false,true,411.11,11518779.0,96204.1035744,0.011361560486691,0.00066987615740741,99.0,1
29,CL,9,1024,false,true,410.28000000000003,11497378.0,96025.3641664,0.013087579942146,0.00077924575617284,99.0,2
30,CL,10,64,true,false,269.87999999999994,12761542.0,8575.758528,0.75725274493125,0.00041159722222222,8.0,0
31,CL,10,64,true,false,268.12,13111142.0,8810.6893536,0.75011553529243,0.00041216280864198,9.0,1
32,CL,10,64,true,false,268.3,13122021.0,8817.9999168,0.75001526729471,0.00040767476851852,9.0,2
33,CL,11,128,true,false,264.62,12293026.0,14554.9281632,0.70653714242291,0.00042563503086420003,15.0,0
34,CL,11,128,true,false,262.38,12417631.0,14702.4634624,0.70360215919327,0.00042300424382716,15.0,1
35,CL,11,128,true,false,265.17,12945392.0,15327.3339104,0.69021094463642,0.00041800154320988,15.0,2
36,CL,12,256,true,false,266.39,12580185.0,27776.9979424,0.63631499007075,0.00040987538580247,29.0,0
37,CL,12,256,true,false,270.57000000000005,12870671.0,28418.3930688,0.62566045958586,0.00040323649691358,29.0,1
38,CL,12,256,true,false,266.84000000000003,12461296.0,27514.4943744,0.64077103810514,0.00040871257716049,28.0,2
39,CL,13,512,true,false,278.19,12313281.0,52405.125232,0.40385577152577,0.00055984799382716,53.0,0
40,CL,13,512,true,false,275.66,12081937.0,51420.513696,0.41680473660116,0.00057047569444444,53.0,1
41,CL,13,512,true,false,281.85999999999996,12563133.0,53468.4762816,0.39141727339448,0.0005612037037036999,55.0,2
42,CL,14,1024,true,false,292.86,11115752.0,92838.0407584,0.048700212819979,0.00068208179012346,95.0,0
43,CL,14,1024,true,false,292.54,11255188.0,94002.6071072,0.03692691448596,0.00053620293209877,96.0,1
44,CL,14,1024,true,false,290.23,11249151.0,93952.1958976,0.037310925376557,0.0005994166666666701,96.0,2
45,CL,15,64,false,false,336.57,12183512.0,8187.3229632,0.76986319126746,0.00039779282407407,8.0,0
46,CL,15,64,false,false,340.25,12207631.0,8203.5303616,0.76979562902995,0.00039721219135802,8.0,1
47,CL,15,64,false,false,337.81,12218215.0,8210.6431104,0.76923456275735,0.00039769521604938,8.0,2
48,CL,16,128,false,false,341.13000000000005,11977838.0,14181.7503232,0.7082185033171,0.00041127160493827,14.0,0
49,CL,16,128,false,false,332.48,11875860.0,14061.0035616,0.71103288132676,0.00041452430555555996,14.0,1
50,CL,16,128,false,false,340.72,12059907.0,14278.909024,0.70596491774551,0.00040868055555555997,14.0,2
51,CL,17,256,false,false,340.54999999999995,12308595.0,27177.3251712,0.6558012384739,0.00030178202160494,28.0,0
52,CL,17,256,false,false,339.24,12186952.0,26908.7417952,0.65979431564692,0.00031369290123457,27.0,1
53,CL,17,256,false,false,337.17999999999995,12181229.0,26896.1038176,0.66018052173268,0.00031058757716049,27.0,2
54,CL,18,512,false,false,331.17,11607257.0,49400.295152,0.42024229399232,0.00057884529320988,51.0,0
55,CL,18,512,false,false,328.10999999999996,11608229.0,49404.40664,0.42036190162371,0.0005783572530864199,51.0,1
56,CL,18,512,false,false,334.9600000000001,11780378.0,50137.0992864,0.40848303951209,0.00058102044753086,51.0,2
57,CL,19,1024,false,false,335.51,11549799.0,96463.1648032,0.0034421706156008,0.00067509799382716,98.0,0
58,CL,19,1024,false,false,332.01,11519788.0,96212.5272032,0.012553656953113,0.0006535667438271601,99.0,1
59,CL,19,1024,false,false,333.57,11563608.0,96578.5030048,0.0034220733946553,0.00066265354938272,99.0,2
