index,build,test_index,SIZE,NDESC,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
0,DPU,0,64,128,97257.0,65.356944,0.33089607194553,0.026234003086420002,0
1,DPU,0,64,128,97001.0,65.1852968,0.33263180634828,2.7798611111111002e-05,1
2,DPU,0,64,128,97008.0,65.1894624,0.33261417548185,3.475e-05,2
3,DPU,1,128,128,97388.0,115.3081728,0.32999069859598,0.0,0
4,DPU,1,128,128,97267.0,115.16386,0.33091864867542,0.013039385802469,1
5,DPU,1,128,128,97177.0,115.058432,0.33150187937857,0.0,2
6,DPU,2,256,128,97616.0,215.533104,0.32845719065938,0.0,0
7,DPU,2,256,128,97304.0,214.8444584,0.33066506529312,2.9408950617283997e-05,1
8,DPU,2,256,128,97500.0,215.2773024,0.32919432427375,3.2233796296296e-05,2
9,DPU,3,512,128,97087.0,413.1999424,0.33204035789597,3.0867669753086e-05,0
10,DPU,3,512,128,97074.0,413.1483336,0.33218332764637,3.6890432098765e-05,1
11,DPU,3,512,128,97074.0,413.146512,0.3322134169831,3.3926311728395e-05,2
12,DPU,4,1024,128,130088.0,1086.0092736,0.10503105842175,0.0023065887345678996,0
13,DPU,4,1024,128,131208.0,1095.3383624,0.097325723469129,4.3357638888889e-05,1
14,DPU,4,1024,128,128467.0,1072.507872,0.11602591626207,4.4727237654321e-05,2
15,DPU,5,64,256,145029.0,97.469088,0.0021507832538887,7.2167052469136e-05,0
16,DPU,5,64,256,144983.0,97.437696,0.0025976742010225,4.5723765432099e-05,1
17,DPU,5,64,256,145003.0,97.4515688,0.0025959411421591,4.5411651234568e-05,2
18,DPU,6,128,256,144996.0,171.6369408,0.0025974311845827,0.00015160339506172998,0
19,DPU,6,128,256,144982.0,171.6206976,0.0025565101572432,4.5640432098764996e-05,1
20,DPU,6,128,256,145008.0,171.6514816,0.0025972167960689,4.6189043209877e-05,2
21,DPU,7,256,256,144982.0,319.9875168,0.0025558221835734,4.3635030864198e-05,0
22,DPU,7,256,256,145003.0,320.0307176,0.0025561443767576,4.2990740740741e-05,1
23,DPU,7,256,256,145021.0,320.071536,0.0025592598298687,4.4581018518519e-05,2
24,DPU,8,512,256,144940.0,616.536336,0.0025043924938423,0.00010105285493827001,0
25,DPU,8,512,256,144990.0,616.7484392,0.0025124521863562,4.6184027777778e-05,1
26,DPU,8,512,256,144995.0,616.7679392,0.0024814937119899,4.6438271604938e-05,2
27,DPU,9,1024,256,145035.0,1210.6299728,0.0020586905709632,4.7961419753086e-05,0
28,DPU,9,1024,256,145028.0,1210.5571496,0.0019873724775061,4.7493055555556e-05,1
29,DPU,9,1024,256,145016.0,1210.4533056,0.0020301256888664,4.7268132716049e-05,2
30,DPU,10,64,512,144965.0,97.425956,0.0024222822440518,0.00025801543209877,0
31,DPU,10,64,512,145023.0,97.4646624,0.0024220087057489,4.5458719135802e-05,1
32,DPU,10,64,512,144997.0,97.4474592,0.0024224352870597,4.4817901234568e-05,2
33,DPU,11,128,512,145003.0,171.644596,0.0024209660197915,0.00037049305555556,0
34,DPU,11,128,512,145009.0,171.652096,0.0024215473687687,4.5913194444444005e-05,1
35,DPU,11,128,512,145022.0,171.6672736,0.0023808410057728,4.6086805555555996e-05,2
36,DPU,12,256,512,145010.0,320.0448488,0.0023803626957264,9.737847222222201e-05,0
37,DPU,12,256,512,145010.0,320.0456544,0.0024222219776229,4.2437114197531e-05,1
38,DPU,12,256,512,144983.0,319.9882088,0.002379418920853,4.2462191358025e-05,2
39,DPU,13,512,512,145028.0,616.9116032,0.002336140003302,4.7217978395061995e-05,0
40,DPU,13,512,512,145048.0,616.9922304,0.0022946507673598,4.6312114197531e-05,1
41,DPU,13,512,512,144990.0,616.7481736,0.0023360707908581,4.5699074074074e-05,2
42,DPU,14,1024,512,145073.0,1210.9465152,0.0018865068662796,4.7621527777778e-05,0
43,DPU,14,1024,512,145042.0,1210.6876032,0.0020119007645774,4.9113425925926e-05,1
44,DPU,14,1024,512,145076.0,1210.953668,0.0019688722805897,4.7167052469136e-05,2
