index,build,test_index,NTHREADS,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,ROI-FP,0,1,263.5,145124.0,97.5328512,0.0014971553360584,0.00011319020061728,0.0,0
1,ROI-FP,0,1,260.01000000000005,145140.0,97.5436032,0.0016013911741884,0.0001128074845679,0.0,1
2,ROI-FP,0,1,258.03,145150.0,97.5501312,0.0014968906499367,0.00011105864197531,0.0,2
3,ROI-FP,1,2,249.66,145317.0,97.6624224,8.8763320518881e-05,6.3466820987654e-05,0.0,0
4,ROI-FP,1,2,254.58,145380.0,97.7046304,4.3332801417439e-05,6.4069444444444e-05,0.0,1
5,ROI-FP,1,2,250.05000000000004,145387.0,97.7092608,4.4018443727922e-05,6.4422067901235e-05,0.0,2
6,ROI-FP,2,4,253.98,145343.0,97.6796928,0.0,5.4133101851852e-05,0.0,0
7,ROI-FP,2,4,250.08999999999997,145360.0,97.6914432,0.0,5.3853395061728e-05,0.0,1
8,ROI-FP,2,4,255.29,145368.0,97.6969728,0.0,5.2546682098765e-05,0.0,2
9,ROI-MW,0,1,,145354.0,97.6871424,0.0,0.0004197862654321,0.0,0
10,ROI-MW,0,1,,145362.0,97.6925952,0.0,0.00042516242283950997,0.0,1
11,ROI-MW,0,1,,145380.0,97.7043456,0.0,0.00039701427469136,0.0,2
12,ROI-MW,1,2,,145336.0,97.6754016,6.8805698216767e-07,0.00045099228395062,0.0,0
13,ROI-MW,1,2,,145368.0,97.6963584,0.0,0.00048223263888889,0.0,1
14,ROI-MW,1,2,,145360.0,97.691728,0.0,0.00047725308641975,0.0,2
15,ROI-MW,2,4,,145348.0,97.6831264,0.0,0.00034101658950617004,0.0,0
16,ROI-MW,2,4,,145358.0,97.6899072,6.6039293379561e-05,0.0003479375,0.0,1
17,ROI-MW,2,4,,145362.0,97.6926048,6.8793580731974e-07,0.00034425694444444,0.0,2
