index,build,test_index,SIZE,ZEROCOPY,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,ROI,0,64,false,263.5,145124.0,97.5328512,0.0014971553360584,0.00011319020061728,0.0,0
1,ROI,0,64,false,260.01000000000005,145140.0,97.5436032,0.0016013911741884,0.0001128074845679,0.0,1
2,ROI,0,64,false,258.03,145150.0,97.5501312,0.0014968906499367,0.00011105864197531,0.0,2
3,ROI,1,128,false,253.74,145136.0,171.8033184,0.0014523763656878,0.00011725733024691,0.0,0
4,ROI,1,128,false,256.37,145157.0,171.8268768,0.0014535443644028,0.00011643904320988,0.0,1
5,ROI,1,128,false,250.45000000000002,145182.0,171.8566912,0.0014526086430214,0.00011768981481481,0.0,2
6,ROI,2,256,false,250.78999999999996,145151.0,320.356464,0.0014975713478899,0.00011788425925926,0.0,0
7,ROI,2,256,false,250.91000000000003,145137.0,320.3278848,0.0014970224663445,0.00011842785493827,0.0,1
8,ROI,2,256,false,251.3,145175.0,320.4120576,0.0014966353216941,0.00011783564814815,0.0,2
9,ROI,3,512,false,254.69,145130.0,617.3485056,0.0014970966232766,0.00012054012345679,0.0,0
10,ROI,3,512,false,249.76999999999998,145137.0,617.3763584,0.0014970224663445,0.00012068171296296001,0.0,1
11,ROI,3,512,false,256.28,145163.0,617.4855008,0.0014974384653904,0.00012021990740741,0.0,2
12,ROI,4,1024,false,250.46999999999997,145125.0,1211.3661024,0.001497835122548,0.00012397723765432002,1.0,0
13,ROI,4,1024,false,248.99,145119.0,1211.3126496,0.0014979010807319,0.00012359915123457,1.0,1
14,ROI,4,1024,false,255.14999999999998,145124.0,1211.3657856,0.0015411288769023,0.00012457947530864,1.0,2
15,ROI,5,64,true,248.08,145137.0,97.5415296,0.0014970224663445,6.674382716049401e-05,0.0,0
16,ROI,5,64,true,247.92999999999995,145162.0,97.5566336,0.0014088460120302,6.6435956790123e-05,0.0,1
17,ROI,5,64,true,248.84,145169.0,97.5630336,0.0014966929688446,6.6223765432099e-05,0.0,2
18,ROI,6,128,true,248.72000000000003,82498.0,97.6428576,0.00038652377000015,6.8597222222222e-05,0.0,0
19,ROI,6,128,true,248.38000000000002,82511.0,97.657728,0.00038767531707595,6.8133101851852e-05,0.0,1
20,ROI,6,128,true,254.32000000000002,82511.0,97.6581472,0.00038888350455513,6.773842592592599e-05,0.0,2
21,ROI,7,256,true,249.61,44294.0,97.6917504,0.0,6.9492283950617e-05,0.0,0
22,ROI,7,256,true,248.92,44294.0,97.6912896,0.0,6.955131172839501e-05,0.0,1
23,ROI,7,256,true,249.51999999999998,44287.0,97.6774432,0.0,7.0493055555556e-05,0.0,2
24,ROI,8,512,true,250.02,23003.0,97.6950528,0.0,7.501851851851901e-05,0.0,0
25,ROI,8,512,true,254.62000000000006,23004.0,97.6958208,0.0,7.3963348765432e-05,0.0,1
26,ROI,8,512,true,248.73000000000002,22997.0,97.6685824,0.0,7.484336419753101e-05,0.0,2
27,ROI,9,1024,true,248.28000000000003,11747.0,97.6518144,0.0,8.101543209876501e-05,0.0,0
28,ROI,9,1024,true,254.26,11740.0,97.5979776,0.0,8.0273148148148e-05,0.0,1
29,ROI,9,1024,true,254.68,11747.0,97.6514304,0.0,8.1253858024691e-05,0.0,2
