index,build,test_index,SIZE,ZEROCOPY,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,ROI,0,64,false,263.78,13782335.0,9261.7316224,0.73805587362637,0.0003353699845679,9.0,0
1,ROI,0,64,false,254.20000000000002,13803559.0,9275.993712,0.73797947386679,0.00033980709876543,9.0,1
2,ROI,0,64,false,250.9,13822605.0,9288.792816,0.73743499533092,0.00033655709876543,9.0,2
3,ROI,1,128,false,250.33999999999997,13712800.0,16235.9359168,0.66209759687006,0.00033955941358025,16.0,0
4,ROI,1,128,false,246.49,13745539.0,16274.7064608,0.66155514255878,0.00034251427469136,16.0,1
5,ROI,1,128,false,250.57,13688012.0,16206.5937696,0.66316928930084,0.00034574807098765,16.0,2
6,ROI,2,256,false,248.88999999999996,13826738.0,30529.3712832,0.6009492214338,0.00022561304012346,31.0,0
7,ROI,2,256,false,249.51,13815350.0,30504.2335104,0.60125137907526,0.00022583449074074,31.0,1
8,ROI,2,256,false,250.48000000000002,13763898.0,30390.6229088,0.60310440741051,0.00022603665123457,31.0,2
9,ROI,3,512,false,249.77999999999997,13492256.0,57422.8115936,0.31661179252952,0.0005133996913580201,58.0,0
10,ROI,3,512,false,245.17000000000002,13325436.0,56712.8143232,0.32493560121875,0.0005221481481481499,58.0,1
11,ROI,3,512,false,249.89,13404108.0,57047.6484928,0.32052035352345,0.0005203672839506201,58.0,2
12,ROI,4,1024,false,245.68,11617733.0,97030.5464928,0.00037975772255772,0.00060947029320988,99.0,0
13,ROI,4,1024,false,245.51999999999998,11585971.0,96765.2755008,0.00056402799959721,0.0006350354938271601,99.0,1
14,ROI,4,1024,false,251.92999999999998,11655864.0,97349.0218048,0.00040589687459669,0.00056681635802469,99.0,2
15,ROI,5,64,true,356.88,6637478.0,4460.3862528,0.87665440205088,0.0095935941358025,4.0,0
16,ROI,5,64,true,350.05,6600139.0,4435.2914656,0.87738514250475,0.009735629243827199,4.0,1
17,ROI,5,64,true,357.43,6612472.0,4443.5824896,0.87717088790351,0.0097212588734568,4.0,2
18,ROI,6,128,true,350.66999999999996,6590624.0,7803.2937984,0.84566993330765,0.0096658553240741,7.0,0
19,ROI,6,128,true,357.93999999999994,6729881.0,7968.1697056,0.84208119824081,0.009658333719135801,7.0,1
20,ROI,6,128,true,355.92,6592216.0,7805.1788864,0.84551082283827,0.0097530794753086,7.0,2
21,ROI,7,256,true,358.42999999999995,6761278.0,14928.8498176,0.82703611307739,0.0092685883487654,14.0,0
22,ROI,7,256,true,349.86999999999995,6694074.0,14780.4871872,0.82896558562408,0.0093104162808642,14.0,1
23,ROI,7,256,true,354.5900000000001,6619990.0,14616.9078336,0.83097526758793,0.0094898144290123,14.0,2
24,ROI,8,512,true,354.94,6600928.0,28093.4375616,0.68778227961839,0.0098088530092593,27.0,0
25,ROI,8,512,true,355.61,6655741.0,28326.7301008,0.68524037920779,0.009703219135802498,27.0,1
26,ROI,8,512,true,357.79,6804660.0,28960.5163968,0.67774191149453,0.0094550015432099,28.0,2
27,ROI,9,1024,true,358.79,6480983.0,54128.7382656,0.42949847481786,0.010044278935185,54.0,0
28,ROI,9,1024,true,356.0,6493045.0,54229.4696608,0.42865148041685,0.010014583333332999,54.0,1
29,ROI,9,1024,true,358.05,6536030.0,54588.5219808,0.42583830528576,0.010122815200617,54.0,2
