index,build,test_index,SIZE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index,GPU-POWER
0,CPU,0,64,27450561.0,18446.7804896,0.45473766520403,0.00030277121913579997,18.0,0,
1,CPU,0,64,28632027.0,19240.7258016,0.42554721605797,0.00028847955246914,19.0,1,
2,CPU,0,64,28537252.0,19177.0398048,0.42837492204649,0.00028603009259259,19.0,2,
3,CPU,1,128,29015495.0,34354.3107296,0.32085719228905,0.0002873699845679,35.0,0,
4,CPU,1,128,27300037.0,32323.2111936,0.37360870595155,0.00030715817901235,32.0,1,
5,CPU,1,128,29101096.0,34455.6644512,0.31789516830003,0.00028648302469136004,35.0,2,
6,CPU,2,256,28137149.0,62126.685024,0.0076288798230371,0.00041831211419752996,63.0,0,
7,CPU,2,256,27942933.0,61697.8490784,0.019852215546482,0.00047157330246914,62.0,1,
8,CPU,2,256,27944131.0,61700.4879904,0.017205927016726,0.00046645717592593,62.0,2,
9,CPU,3,512,17781645.0,75678.3234752,0.0,0.00034693827160493996,76.0,0,
10,CPU,3,512,18128003.0,77152.432928,0.0,0.0003424486882716,78.0,1,
11,CPU,3,512,17807479.0,75788.2770464,0.0,0.00034623225308641996,76.0,2,
12,CPU,4,1024,11350836.0,94801.4285472,0.0,0.00054231597222222,96.0,0,
13,CPU,4,1024,11287266.0,94270.4878592,0.0,0.00054561844135802,95.0,1,
14,CPU,4,1024,11357860.0,94860.097376,0.0,0.00054460223765432,96.0,2,
15,DPU,0,64,7148954.0,4804.096496,0.86317736108595,0.00014076273148148,5.0,0,
16,DPU,0,64,7350719.0,4939.683172,0.85882693989596,0.00015077584876543,5.0,1,
17,DPU,0,64,7308474.0,4911.2958912,0.85941585813125,0.00014433526234568,5.0,2,
18,DPU,1,128,7316956.0,8663.2703872,0.85586711891134,0.00014982175925926,8.0,0,
19,DPU,1,128,7294571.0,8636.7631232,0.85631467108915,0.00015238888888889,8.0,1,
20,DPU,1,128,7313207.0,8658.8292288,0.85593219232129,0.0001498275462963,8.0,2,
21,DPU,2,256,6699947.0,14793.4579336,0.8417826629563,0.00029435378086420003,15.0,0,
22,DPU,2,256,7295515.0,16108.4754528,0.82789242708949,0.00028187191358025,16.0,1,
23,DPU,2,256,7277555.0,16068.81768,0.82740694691856,0.00028056095679011996,16.0,2,
24,DPU,3,512,7147140.0,30418.1154784,0.69009467454759,0.00040694984567901004,31.0,0,
25,DPU,3,512,7210576.0,30688.108016,0.68737623082412,0.00040263734567901,31.0,1,
26,DPU,3,512,7096964.0,30204.5613152,0.69229780927518,0.00041017013888889,31.0,2,
27,DPU,4,1024,6970137.0,58214.1460744,0.40676482083724,0.0006643464506172799,59.0,0,
28,DPU,4,1024,6966369.0,58182.6912224,0.40717707911177,0.0006664189814814801,59.0,1,
29,DPU,4,1024,7057956.0,58947.6194112,0.3993470714069,0.0006661439043209901,60.0,2,
30,DOCA,0,64,1397824.0,939.3374912,0.97460737002127,0.0,0.0,0,408.86
31,DOCA,0,64,1397738.0,939.280656,0.97475654025357,0.0,0.0,1,411.39
32,DOCA,0,64,1396713.0,938.5917664,0.97500227737177,0.0,0.0,2,414.8500000000001
33,DOCA,1,128,1399171.0,1656.617584,0.97340255869743,0.0,1.0,0,410.19
34,DOCA,1,128,1398204.0,1655.472192,0.97337010099082,0.0,1.0,1,412.19
35,DOCA,1,128,1398351.0,1655.647568,0.97341349705874,0.0,1.0,2,411.13000000000005
36,DOCA,2,256,1396918.0,3084.390576,0.96790257731056,0.0,3.0,0,416.71000000000004
37,DOCA,2,256,1397737.0,3086.1992896,0.9679266271524,0.0,3.0,1,416.38
38,DOCA,2,256,1397327.0,3085.29336,0.96787652264309,0.0,3.0,2,416.69999999999993
39,DOCA,3,512,1397224.0,5946.5641024,0.93796659759645,0.0,6.0,0,416.93
40,DOCA,3,512,1397309.0,5946.9263296,0.93841293501264,0.0,6.0,1,416.07000000000005
41,DOCA,3,512,1397294.0,5946.8617504,0.93805603875007,0.0,6.0,2,418.41999999999996
42,DOCA,4,1024,1393201.0,11635.8850496,0.87943295020192,0.0,11.0,0,421.17
43,DOCA,4,1024,1394660.0,11648.1122784,0.87882715823379,0.0,11.0,1,420.71999999999997
44,DOCA,4,1024,1392612.0,11631.0065472,0.87917880167052,0.0,11.0,2,421.76
45,CL,0,64,6096486.0,4096.8400512,0.8867177593705,0.0021920960648148,4.0,0,425.25
46,CL,0,64,6145216.0,4129.5863712,0.88591922534492,0.0021536323302469,4.0,1,423.74
47,CL,0,64,6112107.0,4107.3364608,0.88631404183732,0.0021700721450617004,4.0,2,424.03999999999996
48,CL,1,128,6002849.0,7107.3682048,0.88332450120589,0.00218346875,7.0,0,423.93
49,CL,1,128,6006964.0,7112.2409056,0.88330059241766,0.0022118368055556,7.0,1,427.12000000000006
50,CL,1,128,5965074.0,7062.642528,0.88413036261782,0.0021983719135802,7.0,2,426.5200000000001
51,CL,2,256,5728351.0,12648.1723104,0.86411795957701,0.0024203097993827,12.0,0,433.13000000000005
52,CL,2,256,5725366.0,12641.5885152,0.86419649847525,0.0023911022376543003,12.0,1,431.21000000000004
53,CL,2,256,5832860.0,12878.9351136,0.86079653305068,0.002365087962963,13.0,2,431.52
54,CL,3,512,5299377.0,22554.0748736,0.75789409930983,0.0026089162808642,22.0,0,442.68999999999994
