index,build,test_index,SIZE,MEMPOOL_GPU,PERSISTENT_KERNEL,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,CL,0,64,true,true,403.11,145188.0,97.5758848,0.0010210772640359,0.00011617361111111,0.0,0
1,CL,0,64,true,true,401.53000000000003,145210.0,97.5901824,0.0010429164235947,0.0001167924382716,0.0,1
2,CL,0,64,true,true,401.55,145229.0,97.6032192,0.00095344229816741,0.00011696219135801999,0.0,2
3,CL,1,128,true,true,400.45000000000005,145184.0,171.8595328,0.0011723006813654,0.00012151543209877,0.0,0
4,CL,1,128,true,true,400.63000000000005,145221.0,171.9021792,0.0011039911515625,0.00012062307098764999,0.0,1
5,CL,1,128,true,true,400.50999999999993,145213.0,171.8934912,0.0011913081278579,0.00012151543209877,0.0,2
6,CL,2,256,true,true,400.65999999999997,145190.0,320.4456192,0.0011722555186818,0.0001222449845679,0.0,0
7,CL,2,256,true,true,399.6600000000001,145192.0,320.4488352,0.0010341041066937,0.00012210416666667,0.0,1
8,CL,2,256,true,true,401.02,145222.0,320.5156768,0.0010421424522747,0.00012257947530864,0.0,2
9,CL,3,512,true,true,401.81,145214.0,617.7016288,0.000972096763874,0.00012443981481481,0.0,0
10,CL,3,512,true,true,400.55999999999995,145242.0,617.8223872,0.00073203218740026,0.00012490547839506,0.0,1
11,CL,3,512,true,true,402.16,145287.0,618.0147584,0.00081702043376353,0.00012501543209877,0.0,2
12,CL,4,1024,true,true,401.18,145297.0,1212.8095488,0.0,0.00013908603395062,1.0,0
13,CL,4,1024,true,true,402.71999999999997,145321.0,1213.0008736,1.857918759407e-05,0.00013892438271605,1.0,1
14,CL,4,1024,true,true,400.97,145369.0,1213.4128608,7.4975925161591e-05,0.00013948456790123,1.0,2
15,CL,5,64,false,true,390.2800000000001,145208.0,97.58904,0.0010601098083891,0.00013295408950617,0.0,0
16,CL,5,64,false,true,391.24999999999994,145201.0,97.584816,0.0011481143133878,0.00013311111111111,0.0,1
17,CL,5,64,false,true,393.7300000000001,145214.0,97.5934176,0.0011040397536857,0.00013325038580246998,0.0,2
18,CL,6,128,false,true,395.76,82492.0,97.6354144,0.00031144568968855,0.00013838040123457,0.0,0
19,CL,6,128,false,true,397.53,82523.0,97.671872,0.00015992982473145,0.00013972530864198,0.0,1
20,CL,6,128,false,true,398.71000000000004,82504.0,97.6501504,0.00031018835460828,0.00013957484567901,0.0,2
21,CL,7,256,false,true,400.86,44281.0,97.663312,0.0,0.00013967052469136,0.0,0
22,CL,7,256,false,true,403.06,44282.0,97.663488,0.0,0.00013949537037037,0.0,1
23,CL,7,256,false,true,404.46999999999997,44300.0,97.70496,0.0,0.00014049807098765,0.0,2
24,CL,8,512,false,true,402.48999999999995,23003.0,97.6954368,0.0,0.00014148302469136,0.0,0
25,CL,8,512,false,true,402.58000000000004,23003.0,97.6950528,0.0,0.00014121527777777998,0.0,1
26,CL,8,512,false,true,405.83000000000004,23003.0,97.6957216,0.0,0.00014135802469136,0.0,2
27,CL,9,1024,false,true,406.34000000000003,11747.0,97.6518144,0.0,0.00014855671296296,0.0,0
28,CL,9,1024,false,true,406.64,11747.0,97.6514304,0.0,0.00014826388888889,0.0,1
29,CL,9,1024,false,true,406.24999999999994,11746.0,97.6510464,0.0,0.00015071990740741,0.0,2
30,CL,10,64,true,false,262.25,145131.0,97.5372288,0.0014531203557944,0.00016764197530864,0.0,0
31,CL,10,64,true,false,263.93,145143.0,97.545216,0.001453000390769,0.00016808603395062,0.0,1
32,CL,10,64,true,false,262.28999999999996,145163.0,97.5587328,0.0014967588567404,0.00016818865740741,0.0,2
33,CL,11,128,true,false,256.35,82463.0,97.6007776,0.00058295045648293,0.00017387770061728,0.0,0
34,CL,11,128,true,false,254.33,82498.0,97.6428576,0.00038652377000015,0.00017340046296296,0.0,1
35,CL,11,128,true,false,254.85999999999999,82491.0,97.6344576,0.00046528647833877,0.00017410185185185,0.0,2
36,CL,12,256,true,false,253.03999999999996,44300.0,97.7054208,0.0,0.00017570100308642,0.0,0
37,CL,12,256,true,false,258.48,44306.0,97.7190912,0.0,0.00017652353395061998,0.0,1
38,CL,12,256,true,false,253.31,44300.0,97.70496,0.0,0.00017645987654321,0.0,2
39,CL,13,512,true,false,257.73,22997.0,97.6688672,0.0,0.00018196141975309002,0.0,0
40,CL,13,512,true,false,253.0,22997.0,97.6685824,0.0,0.0001820212191358,0.0,1
41,CL,13,512,true,false,257.6,22997.0,97.6681984,0.0,0.00018242862654321,0.0,2
42,CL,14,1024,true,false,253.54,11734.0,97.544448,0.0,0.00018916782407407,0.0,0
43,CL,14,1024,true,false,256.55,11747.0,97.6518144,0.0,0.00018941782407407002,0.0,1
44,CL,14,1024,true,false,257.16999999999996,11747.0,97.6514304,0.0,0.00019040432098765,0.0,2
