index,build,test_index,SIZE,MEMPOOL_GPU,PERSISTENT_KERNEL,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,CL,0,64,true,true,404.83000000000004,8077962.0,5428.392496,0.84882188692887,0.0005435817901234599,5.0,0
1,CL,0,64,true,true,404.56000000000006,8081086.0,5430.4915872,0.84903741679055,0.0005616300154321,5.0,1
2,CL,0,64,true,true,404.31,7937064.0,5333.7087168,0.85178487406157,0.00054551311728395,5.0,2
3,CL,1,128,true,true,406.93000000000006,7961013.0,9425.8327648,0.84455770107465,0.0005555235339506201,9.0,0
4,CL,1,128,true,true,406.37,7915536.0,9371.9872192,0.84546775171167,0.0005751300154321,9.0,1
5,CL,1,128,true,true,405.28,7961494.0,9426.4041792,0.84445347057088,0.00055972955246914,9.0,2
6,CL,2,256,true,true,412.4,7997549.0,17658.5568096,0.80399030539931,0.00069683796296296,18.0,0
7,CL,2,256,true,true,412.16999999999996,7941896.0,17535.677424,0.80461604020087,0.00069256597222222,18.0,1
8,CL,2,256,true,true,412.60999999999996,7941819.0,17535.5126208,0.80522430829852,0.00069411535493827,18.0,2
9,CL,3,512,true,true,421.80000000000007,7847361.0,33398.2377696,0.63036914968818,0.00072074112654321,34.0,0
10,CL,3,512,true,true,425.25,7841363.0,33372.6997376,0.62830066466958,0.00071729475308642,34.0,1
11,CL,3,512,true,true,423.7799999999999,7803675.0,33212.3153856,0.63001354001038,0.0007242229938271601,34.0,2
12,CL,4,1024,true,true,442.07,7602824.0,63498.2611168,0.33390147950439,0.00099350617283951,65.0,0
13,CL,4,1024,true,true,442.09,7722449.0,64497.3819072,0.32318540113364,0.00098984297839506,66.0,1
14,CL,4,1024,true,true,442.13,7612914.0,63582.5288352,0.33269850008516,0.00099156018518519,65.0,2
15,CL,5,64,false,true,390.64,5797310.0,3895.7934912,0.89250797142214,0.0007429405864197501,4.0,0
16,CL,5,64,false,true,398.45000000000005,5823602.0,3913.4617984,0.89202513420774,0.00080518364197531,4.0,1
17,CL,5,64,false,true,404.96,5815145.0,3907.7786304,0.89226464122897,0.00076365277777778,4.0,2
18,CL,6,128,false,true,407.94000000000005,5776627.0,6839.5216672,0.86575606763076,0.0007933595679012299,7.0,0
19,CL,6,128,false,true,407.90000000000003,5829357.0,6901.9534336,0.86447901951666,0.0007739043209876499,7.0,1
20,CL,6,128,false,true,411.57000000000005,5833475.0,6906.8294944,0.8644532565803,0.0007986400462963001,7.0,2
21,CL,7,256,false,true,410.99,5870817.0,12962.7471168,0.85242977253141,0.0007627407407407399,13.0,0
22,CL,7,256,false,true,413.60999999999996,5892546.0,13010.7238752,0.85184249932467,0.00073400115740741,13.0,1
23,CL,7,256,false,true,412.19000000000005,5867324.0,12955.0338624,0.85235906088389,0.00076086188271605,13.0,2
24,CL,8,512,false,true,412.94000000000005,5818253.0,24762.3965696,0.72617263772463,0.00095062075617284,25.0,0
25,CL,8,512,false,true,412.55999999999995,5804283.0,24702.9358208,0.7268205831438,0.0009452642746913601,25.0,1
26,CL,8,512,false,true,413.73999999999995,5820077.0,24770.1592288,0.72610988500905,0.00094327584876543,25.0,2
27,CL,9,1024,false,true,415.94,5724646.0,47811.8852832,0.49789909334804,0.0012039799382716002,49.0,0
28,CL,9,1024,false,true,417.69,5688318.0,47508.4684416,0.49991741363197,0.0011997071759258999,49.0,1
29,CL,9,1024,false,true,418.1000000000001,5868550.0,49013.7188736,0.48412822839381,0.0011988607253086,50.0,2
30,CL,10,64,true,false,358.14,7820980.0,5255.7001152,0.85396662637416,0.00057754899691358,5.0,0
31,CL,10,64,true,false,348.51,7773732.0,5223.9497184,0.85488042905884,0.00058859104938272,5.0,1
32,CL,10,64,true,false,352.61,7829413.0,5261.3670528,0.85372259506014,0.00057166820987654,5.0,2
33,CL,11,128,true,false,351.04,7759182.0,9186.8641408,0.81772937422088,0.00059213464506173,9.0,0
34,CL,11,128,true,false,354.94,7744035.0,9168.9270592,0.81820700091255,0.00058222222222222,9.0,1
35,CL,11,128,true,false,350.29,7749443.0,9175.3320768,0.81810806717933,0.00058966010802469,9.0,2
36,CL,12,256,true,false,355.94,7730206.0,17068.2624672,0.79662145746402,0.00056901967592593,17.0,0
37,CL,12,256,true,false,351.64,7715370.0,17035.503984,0.79712693078734,0.00057025964506173,17.0,1
38,CL,12,256,true,false,356.71000000000004,7719488.0,17044.5956832,0.79698362580736,0.00056638194444444,17.0,2
39,CL,13,512,true,false,350.49,7515601.0,31986.2748832,0.64543944602437,0.0007405748456790099,33.0,0
40,CL,13,512,true,false,359.46000000000004,7553982.0,32149.6339488,0.64303183946811,0.00074410648148148,32.0,1
41,CL,13,512,true,false,353.60999999999996,7385065.0,31430.7069984,0.65118192353781,0.0007561292438271601,32.0,2
42,CL,14,1024,true,false,376.31,7355735.0,61434.644064,0.35944451601654,0.00098675810185185,63.0,0
43,CL,14,1024,true,false,373.02,7512320.0,62742.4053568,0.34789700319271,0.00097721141975309,64.0,1
44,CL,14,1024,true,false,379.67,7382051.0,61654.4408352,0.35612141075094,0.00098628896604938,63.0,2
45,CL,15,64,false,false,357.19000000000005,6118240.0,4111.458528,0.88627161518714,0.0007246195987654301,4.0,0
