index,build,test_index,SIZE,NTHREADS,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,Local,0,64,1,9471175.0,6364.6310304,0.81468163796362,0.00033804475308641996,6.0,0
1,Local,0,64,1,9425946.0,6334.2364064,0.81577884681336,0.00033817013888888997,6.0,1
2,Local,0,64,1,9500049.0,6384.0341472,0.81410395972052,0.00033799151234568,6.0,2
3,Local,1,128,1,9312006.0,11025.4070752,0.815134828293,0.00034942013888889,11.0,0
4,Local,1,128,1,9313268.0,11026.9026848,0.81511824842222,0.00034996026234568003,11.0,1
5,Local,1,128,1,9307907.0,11020.557296,0.8152405545136,0.00035142824074074004,11.0,2
6,Local,2,256,1,9351058.0,20647.105632,0.76900003237092,0.00045967283950617004,21.0,0
7,Local,2,256,1,9365267.0,20678.4747072,0.76726731157301,0.00046806558641975,21.0,1
8,Local,2,256,1,9365501.0,20678.9868512,0.76646992077737,0.00046953472222222004,21.0,2
9,Local,3,512,1,9313889.0,39639.772736,0.59606424351121,0.00048190817901235,40.0,0
10,Local,3,512,1,9323204.0,39679.4267776,0.59578560912731,0.00048195601851852,40.0,1
11,Local,3,512,1,9317184.0,39653.7999712,0.59608686196476,0.00048404591049382997,40.0,2
12,Local,4,1024,1,9116442.0,76139.96152,0.22428305460712,0.00074310416666667,77.0,0
13,Local,4,1024,1,9090652.0,75924.5450688,0.22655840747191,0.00074389544753086,77.0,1
14,Local,4,1024,1,9098419.0,75989.4347232,0.22587263247631,0.00074695293209877,77.0,2
15,Local,5,64,2,16646850.0,11186.6864256,0.67036585299639,0.0002576412037037,11.0,0
16,Local,5,64,2,16445407.0,11051.315184,0.67470712196311,0.00025769290123457,11.0,1
17,Local,5,64,2,16655614.0,11192.5763808,0.6702921857815,0.00025523726851852004,11.0,2
18,Local,6,128,2,16573581.0,19623.1055584,0.65827722259999,0.00025480324074074,19.0,0
19,Local,6,128,2,16612611.0,19669.3191136,0.65835638544212,0.00025392283950617,20.0,1
20,Local,6,128,2,16632421.0,19692.768384,0.65760674414301,0.00025263927469135997,20.0,2
21,Local,7,256,2,16453393.0,36329.0252864,0.53891547605312,0.00041451929012346,37.0,0
22,Local,7,256,2,16469260.0,36364.052,0.53706188595489,0.00041228240740741,37.0,1
23,Local,7,256,2,16490025.0,36409.9075584,0.53552785654607,0.00041486342592593,37.0,2
24,Local,8,512,2,16358861.0,69623.0040576,0.12961086082874,0.0005701427469135801,70.0,0
25,Local,8,512,2,16386102.0,69738.9435008,0.15723892191545,0.00056019945987654,71.0,1
26,Local,8,512,2,16355518.0,69608.784688,0.15342686985758,0.00056163811728395,70.0,2
27,Local,9,1024,2,11298606.0,94365.2156288,0.0,0.00054982098765432,95.0,0
28,Local,9,1024,2,11277430.0,94188.3312064,0.0,0.0005468175154321,96.0,1
29,Local,9,1024,2,11288371.0,94279.7230304,0.0,0.0005504486882715999,95.0,2
30,Local,10,64,4,27450561.0,18446.7804896,0.45473766520403,0.00030277121913579997,18.0,0
31,Local,10,64,4,28632027.0,19240.7258016,0.42554721605797,0.00028847955246914,19.0,1
32,Local,10,64,4,28537252.0,19177.0398048,0.42837492204649,0.00028603009259259,19.0,2
33,Local,11,128,4,29015495.0,34354.3107296,0.32085719228905,0.0002873699845679,35.0,0
34,Local,11,128,4,27300037.0,32323.2111936,0.37360870595155,0.00030715817901235,32.0,1
35,Local,11,128,4,29101096.0,34455.6644512,0.31789516830003,0.00028648302469136004,35.0,2
36,Local,12,256,4,28137149.0,62126.685024,0.0076288798230371,0.00041831211419752996,63.0,0
37,Local,12,256,4,27942933.0,61697.8490784,0.019852215546482,0.00047157330246914,62.0,1
38,Local,12,256,4,27944131.0,61700.4879904,0.017205927016726,0.00046645717592593,62.0,2
39,Local,13,512,4,17781645.0,75678.3234752,0.0,0.00034693827160493996,76.0,0
40,Local,13,512,4,18128003.0,77152.432928,0.0,0.0003424486882716,78.0,1
41,Local,13,512,4,17807479.0,75788.2770464,0.0,0.00034623225308641996,76.0,2
42,Local,14,1024,4,11350836.0,94801.4285472,0.0,0.00054231597222222,96.0,0
43,Local,14,1024,4,11287266.0,94270.4878592,0.0,0.00054561844135802,95.0,1
44,Local,14,1024,4,11357860.0,94860.097376,0.0,0.00054460223765432,96.0,2
45,Local,15,64,8,25148124.0,16899.5444192,0.50047926283402,0.00067890586419753,17.0,0
46,Local,15,64,8,25106475.0,16871.5548864,0.50139776675905,0.00068119830246914,17.0,1
47,Local,15,64,8,26788223.0,18001.6897952,0.46556192898879,0.00058088850308642,18.0,2
48,Local,16,128,8,21821572.0,25836.7188128,0.45594052563043,0.00075478125,26.0,0
49,Local,16,128,8,24149199.0,28592.6216032,0.39048850129796,0.00063395949074074,29.0,1
50,Local,16,128,8,25444886.0,30126.7163232,0.35079402989014,0.0006688638117284,30.0,2
51,Local,17,256,8,24200577.0,53434.7459872,0.17649481360292,0.0006659610339506201,54.0,0
52,Local,17,256,8,24842749.0,54852.6623168,0.15007334527483,0.00066604783950617,55.0,1
53,Local,17,256,8,22693744.0,50107.6653408,0.24063791002673,0.0006812064043209901,51.0,2
54,Local,18,512,8,18333307.0,78026.2002272,0.0,0.00032793788580247004,79.0,0
55,Local,18,512,8,18328846.0,78007.2249312,6.6546403418632e-05,0.00033282561728395,79.0,1
56,Local,18,512,8,18412174.0,78361.8688,0.0,0.0003289174382716,79.0,2
57,Local,19,1024,8,11614310.0,97001.9747264,0.0,0.00051389583333333,99.0,0
58,Local,19,1024,8,11652937.0,97324.5755168,0.0,0.00046643904320988003,99.0,1
59,Local,19,1024,8,11648459.0,97287.1805088,0.0,0.00045206134259259,99.0,2
60,Local,20,64,16,27137780.0,18236.591616,0.45874938156211,0.001138662808642,18.0,0
61,Local,20,64,16,25044536.0,16829.9311296,0.50276537657321,0.0014080266203704,17.0,1
62,Local,20,64,16,25181872.0,16922.222624,0.49999395887506,0.0012492905092593,17.0,2
63,Local,21,128,16,26610781.0,31507.1332352,0.30499122385881,0.0011644367283951001,32.0,0
64,Local,21,128,16,26618690.0,31516.495904,0.30501030260632,0.0011606068672839998,32.0,1
65,Local,21,128,16,24754770.0,29309.6184416,0.36321783809579,0.0012650760030864,29.0,2
66,Local,22,256,16,25934119.0,57262.4011968,0.020900709650032,0.0013131635802469,58.0,0
67,Local,22,256,16,25849065.0,57074.5928576,0.024399234187992,6.5829861111111e-05,58.0,1
68,Local,22,256,16,24279344.0,53608.6661376,0.13119268700421,0.0012777183641975,54.0,2
69,Local,23,512,16,18324830.0,77990.1316064,6.2646843888015e-06,0.00033558449074074003,79.0,0
70,Local,23,512,16,18280769.0,77802.6027584,0.0,0.00033655632716049,79.0,1
71,Local,23,512,16,18348397.0,78090.4313184,2.6705322753173e-07,0.00033302546296296,79.0,2
72,Local,24,1024,16,11646028.0,97266.867232,0.0,0.00050870524691358,99.0,0
73,Local,24,1024,16,11647614.0,97280.1235552,0.0,0.00051060532407407,99.0,1
74,Local,24,1024,16,11652636.0,97322.0632352,1.3953728817406e-05,0.00050843518518519,99.0,2
