index,build,test_index,SIZE,ZEROCOPY,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,ROI,0,64,false,262.8,145131.0,97.5372288,0.0014970883832546,0.00022167746913580002,0.0,0
1,ROI,0,64,false,264.02000000000004,145150.0,97.5501312,0.0014529284212612,0.0002209224537037,0.0,1
2,ROI,0,64,false,261.2,145176.0,97.5673344,0.001452672587408,0.00022115663580247,0.0,2
3,ROI,1,128,false,260.19,145111.0,171.7727232,0.0014972944110183,0.000227375,0.0,0
4,ROI,1,128,false,259.5,145156.0,171.8260512,0.0014961451047508,0.00022921952160494,0.0,1
5,ROI,1,128,false,254.30999999999997,145131.0,171.7964896,0.0014538013844483,0.00022619367283950999,0.0,2
6,ROI,2,256,false,253.56,145130.0,320.3131392,0.0014970966232766,0.00022939467592592998,0.0,0
7,ROI,2,256,false,253.51999999999998,145150.0,320.3561472,0.0014529284212612,0.00022886844135802,0.0,1
8,ROI,2,256,false,257.59,145168.0,320.3979264,0.0014967012045143,0.00022907060185185,0.0,2
9,ROI,3,512,false,256.82,145124.0,617.321552,0.0014964745124589,0.00022975347222222,0.0,0
10,ROI,3,512,false,258.24,145137.0,617.3763584,0.0014530563719825,0.00022976234567901,0.0,1
11,ROI,3,512,false,257.64,145134.0,617.3644416,0.0016042045016785,0.00023110146604938002,0.0,2
12,ROI,4,1024,false,257.92,145092.0,1211.0990592,0.0014974850371928,0.00023268788580246998,1.0,0
13,ROI,4,1024,false,257.54,145119.0,1211.3127264,0.0014979000500905,0.00023398186728395,1.0,1
14,ROI,4,1024,false,258.1,145149.0,1211.5795968,0.0014968988877821,0.00023453047839506,1.0,2
15,ROI,5,64,true,238.31,145132.0,97.5373568,0.0015053236721091,0.00014157407407407,0.0,0
16,ROI,5,64,true,243.10999999999999,145156.0,97.5538176,0.0014089080412326,0.00014199151234568002,0.0,1
17,ROI,5,64,true,244.98000000000002,145136.0,97.5412,0.001496342731971,0.00014197453703704,0.0,2
18,ROI,6,128,true,249.85999999999999,82479.0,97.61984,0.00046535470571774,0.00014720601851852,0.0,0
19,ROI,6,128,true,249.85000000000002,82510.0,97.6571904,0.00038767860474476,0.00014705401234568,0.0,1
20,ROI,6,128,true,246.35999999999999,82517.0,97.664768,0.000387648548135,0.00014722646604938,0.0,2
21,ROI,7,256,true,254.1,44293.0,97.6908288,0.0,0.00014865007716049,0.0,0
22,ROI,7,256,true,248.41,44294.0,97.6920352,0.0,0.00014766512345679001,0.0,1
23,ROI,7,256,true,249.54000000000002,44300.0,97.7054208,0.0,0.00014828279320988,0.0,2
24,ROI,8,512,true,254.32,23003.0,97.6950528,0.0,0.0001518275462963,0.0,0
25,ROI,8,512,true,249.70999999999998,22990.0,97.64096,0.0,0.00015175424382716,0.0,1
26,ROI,8,512,true,254.05,23004.0,97.6958208,0.0,0.0001513537808642,0.0,2
27,ROI,9,1024,true,248.52000000000004,11747.0,97.6518144,0.0,0.000157,0.0,0
28,ROI,9,1024,true,250.85000000000002,11746.0,97.6510464,0.0,0.00015843595679012,0.0,1
29,ROI,9,1024,true,254.67000000000002,11747.0,97.6518144,0.0,0.0001574587191358,0.0,2
