index,build,test_index,SIZE,ZEROCOPY,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,ROI,0,64,false,266.70000000000005,10603552.0,7125.5884896,0.80049228407434,0.00041187152777778,7.0,0
1,ROI,0,64,false,261.32,10599340.0,7122.7554496,0.80082567290976,0.00043620717592593,7.0,1
2,ROI,0,64,false,262.28,10646116.0,7154.1912672,0.79997608081191,0.00041068209876543,7.0,2
3,ROI,1,128,false,255.72,10689280.0,12656.10024,0.78967486390019,0.00042095100308642,13.0,0
4,ROI,1,128,false,259.32000000000005,10490604.0,12420.8674688,0.793705753588,0.00043048804012346,12.0,1
5,ROI,1,128,false,254.62000000000003,10430180.0,12349.32616,0.79492673310981,0.00042602469135802,12.0,2
6,ROI,2,256,false,253.86,10752455.0,23741.3872672,0.72678697676792,0.00055012731481481,24.0,0
7,ROI,2,256,false,254.01,10718688.0,23666.82696,0.72859683456862,0.00054850077160494,24.0,1
8,ROI,2,256,false,253.62,10705645.0,23638.0268832,0.72930584161135,0.00055180516975309,24.0,2
9,ROI,3,512,false,258.02,10364210.0,44109.9121568,0.48962901784907,0.00060054089506173,45.0,0
10,ROI,3,512,false,257.42,10424343.0,44365.8361472,0.4849991022858,0.00060309220679012,45.0,1
11,ROI,3,512,false,253.17000000000002,10348882.0,44044.6736064,0.49168546299249,0.00060012191358025,45.0,2
12,ROI,4,1024,false,257.41,10278626.0,85846.4197984,0.10566299213837,0.00084715277777778,88.0,0
13,ROI,4,1024,false,252.04999999999998,10339518.0,86354.973328,0.10488559212894,0.00084114043209877,88.0,1
14,ROI,4,1024,false,256.93,10322825.0,86215.5832416,0.1017375446425,0.0008409884259259299,88.0,2
15,ROI,5,64,true,334.12,11125335.0,7476.2275072,0.79057507473195,0.00044591242283951,7.0,0
16,ROI,5,64,true,336.65999999999997,11140645.0,7486.5152256,0.79039109694961,0.00045065586419753,7.0,1
17,ROI,5,64,true,334.59,11157739.0,7498.0025088,0.79003941702214,0.00044829861111111,7.0,2
18,ROI,6,128,true,338.58,11070166.0,13107.0667168,0.73178449279951,0.00045135918209877,13.0,0
19,ROI,6,128,true,341.58000000000004,11087831.0,13127.9810752,0.73157243850746,0.00044621064814815,13.0,1
20,ROI,6,128,true,340.82000000000005,10891549.0,12895.5840896,0.73653876805675,0.00044899807098765,13.0,2
21,ROI,7,256,true,338.68,11125169.0,24564.3340128,0.69383373170622,0.00038566859567901,25.0,0
22,ROI,7,256,true,340.42,11140905.0,24599.0750496,0.69337648039926,0.00038907137345679,25.0,1
23,ROI,7,256,true,338.46,11135696.0,24587.5575424,0.69343585786716,0.00038006365740741,25.0,2
24,ROI,8,512,true,344.61999999999995,10710014.0,45581.64448,0.46761558580196,0.00062505054012346,46.0,0
25,ROI,8,512,true,337.37,10726031.0,45649.7985728,0.46626783831297,0.0006203263888888901,47.0,1
26,ROI,8,512,true,341.9700000000001,10697001.0,45526.2263456,0.46974290995484,0.0006211350308642,46.0,2
27,ROI,9,1024,true,337.34999999999997,10488941.0,87602.971952,0.10088596016526,0.0007858514660493799,90.0,0
28,ROI,9,1024,true,343.17,10519848.0,87861.1003264,0.098528570063369,0.0007751628086419799,90.0,1
29,ROI,9,1024,true,336.06,10473574.0,87474.6064256,0.10124829793157,0.0008095833333333299,90.0,2
