index,build,test_index,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index,GPU-POWER
0,CPU,0,0,145368.0,97.6969728,0.0,1.4990740740741e-05,0.0,0,
1,CPU,0,0,145356.0,97.6883712,0.0,1.4875385802469e-05,0.0,1,
2,CPU,0,0,145354.0,97.6874272,0.0,1.4720679012346e-05,0.0,2,
3,CPU,1,1,145336.0,97.675392,0.0,3.9252700617284e-05,0.0,0,
4,CPU,1,1,145407.0,97.7230624,0.0,3.8866898148148e-05,0.0,1,
5,CPU,1,1,145349.0,97.6840704,0.0,3.8739197530864e-05,0.0,2,
6,CPU,2,2,145355.0,97.6882944,0.0,0.00028070949074074,0.0,0,
7,CPU,2,2,145388.0,97.71016,0.0,0.00027817824074074,0.0,1,
8,CPU,2,2,145380.0,97.70496,0.0,0.00028153858024691,0.0,2,
9,CPU,3,4,72050.0,48.4215744,0.50429413241876,0.10585804899691,0.0,0,
10,CPU,3,4,72060.0,48.427632,0.50422946071366,0.10480345949074,0.0,1,
11,CPU,3,4,72017.0,48.3996192,0.50456411325357,0.10617485378085999,0.0,2,
12,CPU,4,5,6549.0,4.4016256,0.95494278842449,0.0,0.0,0,
13,CPU,4,5,6560.0,4.4091168,0.9548656591562,0.0,0.0,1,
14,CPU,4,5,6563.0,4.4109984,0.9548362059,0.0,0.0,2,
15,DPU,0,0,145061.0,97.4903904,0.0020700002682952,4.0749614197531e-05,0.0,0,
16,DPU,0,0,145041.0,97.4770952,0.002068907627781,3.8672067901235e-05,0.0,1,
17,DPU,0,0,145029.0,97.4688864,0.0020704560576837,4.1125771604938e-05,0.0,2,
18,DPU,1,1,145251.0,97.6181384,0.00079453962104248,0.019166860725309,0.0,0,
19,DPU,1,1,145046.0,97.4799648,0.0021210228242144,0.00015720138888889,0.0,1,
20,DPU,1,1,145092.0,97.5108096,0.0020688782388124,0.00015765084876543,0.0,2,
21,DPU,2,2,144996.0,97.4467688,0.00232909852534,0.0019721547067901,0.0,0,
22,DPU,2,2,144997.0,97.4470464,0.0025082277575371,0.0020948707561728,0.0,1,
23,DPU,2,2,145010.0,97.4563304,0.0022815090434725,0.0019620578703704,0.0,2,
24,DPU,3,4,10246.0,6.8862624,0.92948991872638,0.0,0.0,0,
25,DPU,3,4,10103.0,6.7903968,0.93049433162732,0.0,0.0,1,
26,DPU,3,4,0.0,7.76e-05,0.99999931208691,0.0,0.0,2,
27,DPU,4,5,871.0,0.5857632,0.9940036214934,0.0,0.0,0,
28,DPU,4,5,801.0,0.538512,0.99449005871768,0.0,0.0,1,
29,DPU,4,5,778.0,0.5229224,0.99464714202375,0.0,0.0,2,
30,CL,0,0,145335.0,97.67424,0.0,3.714737654321e-05,0.0,0,392.22
31,CL,0,0,145360.0,97.6914432,0.0,3.7400462962963e-05,0.0,1,399.29999999999995
32,CL,0,0,145374.0,97.700944,0.0,3.7195601851852e-05,0.0,2,407.45
33,CL,1,1,145361.0,97.6920576,0.0,0.00012429282407407,0.0,0,415.02000000000004
34,CL,1,1,145348.0,97.683456,0.0,0.00012272723765432002,0.0,1,418.0
35,CL,1,1,145392.0,97.7129472,0.0,0.000122625,0.0,2,419.27
36,CL,2,2,145245.0,97.6138368,0.00063026062928362,0.0035265096450617004,0.0,0,434.55
37,CL,2,2,145287.0,97.64248,0.00047194474256307,0.0032518564814815,0.0,1,434.11999999999995
38,CL,2,2,145265.0,97.627344,0.00080065152674069,0.0037065524691358,0.0,2,437.8599999999999
39,CL,3,4,11166.0,7.5044352,0.92315659299255,3.1340311022377,0.0,0,439.9699999999999
40,CL,3,4,11262.0,7.5689568,0.92252329350644,2.4174957044753,0.0,1,439.8600000000001
41,CL,3,4,11258.0,7.5663264,0.92256035151629,3.6640486469907003,0.0,2,440.78000000000003
42,CL,4,5,368.0,0.2475136,0.99746803392835,0.0,0.0,0,442.9
43,CL,4,5,364.0,0.2450112,0.99749164799965,0.0,0.0,1,444.54
44,CL,4,5,356.0,0.2396352,0.99754723937183,0.0,0.0,2,445.24
45,ROI,0,0,145343.0,97.6796928,0.0,6.762037037037e-05,0.0,0,272.07
46,ROI,0,0,145355.0,97.6877568,0.00013207277209748,6.7890817901235e-05,0.0,1,268.27
47,ROI,0,0,145336.0,97.675392,0.0,6.7376543209877e-05,0.0,2,267.46000000000004
48,ROI,1,1,145330.0,97.6710912,0.00013278330315325,0.00022352044753086,0.0,0,266.64000000000004
49,ROI,1,1,145373.0,97.7000448,0.0,0.0002239525462963,0.0,1,260.37
50,ROI,1,1,145330.0,97.671376,0.0,0.00022372723765432,0.0,2,263.46999999999997
51,ROI,2,2,131852.0,88.6135968,0.092851815770065,0.30168707175926,0.0,0,374.19
52,ROI,2,2,130235.0,87.5263872,0.10406118259568,0.3203935775463,0.0,1,379.59999999999997
53,ROI,2,2,129883.0,87.2902176,0.10636624648848,0.31670705516975,0.0,2,373.12
54,ROI,3,4,7489.0,5.0332128,0.94847943690186,4.4754898792438,0.0,0,379.56999999999994
55,ROI,3,4,7470.0,5.0204704,0.94859862601219,4.5249773977623,0.0,1,384.05000000000007
56,ROI,3,4,7627.0,5.1259104,0.94752189397317,3.9047456365741,0.0,2,388.77
57,ROI,4,5,293.0,0.1975008,0.99797769895307,0.0,0.0,0,388.73
58,ROI,4,5,304.0,0.2048256,0.9979032524352,0.0,0.0,1,395.92
59,ROI,4,5,301.0,0.2025408,0.99792672122036,0.0,0.0,2,392.2099999999999
