index,build,test_index,SIZE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index,GPU-POWER
0,CPU,0,64,9471175.0,6364.6310304,0.81468163796362,0.00033804475308641996,6.0,0,
1,CPU,0,64,9425946.0,6334.2364064,0.81577884681336,0.00033817013888888997,6.0,1,
2,CPU,0,64,9500049.0,6384.0341472,0.81410395972052,0.00033799151234568,6.0,2,
3,CPU,0,64,16646850.0,11186.6864256,0.67036585299639,0.0002576412037037,11.0,3,
4,CPU,0,64,16445407.0,11051.315184,0.67470712196311,0.00025769290123457,11.0,4,
5,CPU,0,64,16655614.0,11192.5763808,0.6702921857815,0.00025523726851852004,11.0,5,
6,CPU,0,64,27450561.0,18446.7804896,0.45473766520403,0.00030277121913579997,18.0,6,
7,CPU,0,64,28632027.0,19240.7258016,0.42554721605797,0.00028847955246914,19.0,7,
8,CPU,0,64,28537252.0,19177.0398048,0.42837492204649,0.00028603009259259,19.0,8,
9,CPU,1,128,9312006.0,11025.4070752,0.815134828293,0.00034942013888889,11.0,0,
10,CPU,1,128,9313268.0,11026.9026848,0.81511824842222,0.00034996026234568003,11.0,1,
11,CPU,1,128,9307907.0,11020.557296,0.8152405545136,0.00035142824074074004,11.0,2,
12,CPU,1,128,16573581.0,19623.1055584,0.65827722259999,0.00025480324074074,19.0,3,
13,CPU,1,128,16612611.0,19669.3191136,0.65835638544212,0.00025392283950617,20.0,4,
14,CPU,1,128,16632421.0,19692.768384,0.65760674414301,0.00025263927469135997,20.0,5,
15,CPU,1,128,29015495.0,34354.3107296,0.32085719228905,0.0002873699845679,35.0,6,
16,CPU,1,128,27300037.0,32323.2111936,0.37360870595155,0.00030715817901235,32.0,7,
17,CPU,1,128,29101096.0,34455.6644512,0.31789516830003,0.00028648302469136004,35.0,8,
18,CPU,2,256,9351058.0,20647.105632,0.76900003237092,0.00045967283950617004,21.0,0,
19,CPU,2,256,9365267.0,20678.4747072,0.76726731157301,0.00046806558641975,21.0,1,
20,CPU,2,256,9365501.0,20678.9868512,0.76646992077737,0.00046953472222222004,21.0,2,
21,CPU,2,256,16453393.0,36329.0252864,0.53891547605312,0.00041451929012346,37.0,3,
22,CPU,2,256,16469260.0,36364.052,0.53706188595489,0.00041228240740741,37.0,4,
23,CPU,2,256,16490025.0,36409.9075584,0.53552785654607,0.00041486342592593,37.0,5,
24,CPU,2,256,28137149.0,62126.685024,0.0076288798230371,0.00041831211419752996,63.0,6,
25,CPU,2,256,27942933.0,61697.8490784,0.019852215546482,0.00047157330246914,62.0,7,
26,CPU,2,256,27944131.0,61700.4879904,0.017205927016726,0.00046645717592593,62.0,8,
27,CPU,3,512,9313889.0,39639.772736,0.59606424351121,0.00048190817901235,40.0,0,
28,CPU,3,512,9323204.0,39679.4267776,0.59578560912731,0.00048195601851852,40.0,1,
29,CPU,3,512,9317184.0,39653.7999712,0.59608686196476,0.00048404591049382997,40.0,2,
30,CPU,3,512,16358861.0,69623.0040576,0.12961086082874,0.0005701427469135801,70.0,3,
31,CPU,3,512,16386102.0,69738.9435008,0.15723892191545,0.00056019945987654,71.0,4,
32,CPU,3,512,16355518.0,69608.784688,0.15342686985758,0.00056163811728395,70.0,5,
33,CPU,3,512,17781645.0,75678.3234752,0.0,0.00034693827160493996,76.0,6,
34,CPU,3,512,18128003.0,77152.432928,0.0,0.0003424486882716,78.0,7,
