index,build,test_index,SIZE,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER,run_index
0,ROI,0,64,100,33227750.0,22329.04584,0.31446532579937,0.0,22.0,337.8,0
1,ROI,0,64,100,33250944.0,22344.6307296,0.31448960558771,0.0,22.0,337.29,1
2,ROI,0,64,100,33353840.0,22413.7811008,0.31169482107084,0.0,22.0,342.82,2
3,ROI,1,64,22,31587476.0,21226.7844096,0.0033337630583724,0.0,21.0,307.76,0
4,ROI,1,64,22,31603032.0,21237.2340864,0.0027595476469185,0.0,21.0,305.46,1
5,ROI,1,64,22,31611915.0,21243.2033984,0.0023759277069639,0.0,21.0,302.06,2
6,ROI,2,64,19,27707643.0,18619.532608,0.0019249969323963,0.0,19.0,268.96000000000004,0
7,ROI,2,64,19,27708724.0,18620.2614272,0.0020229216819183,0.0,19.0,268.40999999999997,1
8,ROI,2,64,19,27706266.0,18618.6078432,0.0019586975393155,0.0,19.0,265.62999999999994,2
9,ROI,3,64,21,30615594.0,20573.6768064,0.0023225928660031,0.0,21.0,283.14,0
10,ROI,3,64,21,30615321.0,20573.4940896,0.0025589056011905,0.0,21.0,286.02,1
11,ROI,3,64,21,30618894.0,20575.896416,0.002450990166014,0.0,21.0,286.40999999999997,2
12,ROI,4,128,100,27552916.0,32622.6228416,0.3634414778436,0.00045187152777778,33.0,356.53000000000003,0
13,ROI,4,128,100,27638773.0,32724.280464,0.36152724757431,0.00045261921296295995,33.0,362.20000000000005,1
14,ROI,4,128,100,27620036.0,32702.0973696,0.36150329360413,0.00045330401234568,33.0,358.5,2
15,ROI,5,128,33,26888008.0,31835.361232,0.008143483318755,0.00041594598765432,32.0,355.42,0
16,ROI,5,128,33,26780833.0,31708.4597984,0.0084842414951273,0.00029748649691358,32.0,354.95000000000005,1
17,ROI,5,128,33,26917102.0,31869.8047232,0.0073125313516667,0.00041600540123457,32.0,358.41999999999996,2
18,ROI,6,128,30,24584938.0,29108.5247904,0.0021085861853521,0.00021853125,29.0,353.11,0
19,ROI,6,128,30,24589304.0,29113.6968576,0.0020825935910959,0.00021170486111111,29.0,354.65,1
20,ROI,6,128,30,24588458.0,29112.6944416,0.0021807106978673,0.00021239544753086,29.0,353.57,2
21,ROI,7,128,27,22312263.0,26417.6740096,0.0019243817341993,0.00021593711419753002,27.0,350.1000000000001,0
