index,build,test_index,BATCH,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,GPU-POWER,run_index
0,ROI,0,32,100,15021.0,17.7847808,0.99967461389324,0.0,0.0,287.77,0
1,ROI,0,32,100,47208.0,55.8946336,0.99897550494303,0.0,0.0,285.39000000000004,1
2,ROI,0,32,100,11662.0,13.8081216,0.99974690933948,0.0,0.0,278.56,2
3,ROI,1,32,1,823098.0,974.508528,0.0019237650646932,9.866049382716e-05,1.0,258.09,0
4,ROI,1,32,1,823320.0,974.7717632,0.001846653558724,9.751620370370399e-05,1.0,259.12,1
5,ROI,1,32,1,823277.0,974.7205168,0.0019383517112449,9.8533564814815e-05,1.0,254.84999999999997,2
6,ROI,2,64,100,51528.0,61.0101824,0.9988836828694,0.0,0.0,273.86,0
7,ROI,2,64,100,29490.0,34.9170656,0.99936116358533,0.0,0.0,272.86000000000007,1
8,ROI,2,64,100,101026.0,119.614576,0.99781013188375,0.0,0.0,279.64000000000004,2
9,ROI,3,64,1,823073.0,974.4787872,0.0019148681001359,0.00026276736111111,1.0,252.15000000000006,0
10,ROI,3,64,1,823226.0,974.6602304,0.0018756676079358,0.00026261419753086,1.0,255.73,1
11,ROI,3,64,1,823200.0,974.6292256,0.0019242536833436,0.00026025964506173,0.0,255.55000000000004,2
12,ROI,4,128,100,16242652.0,19231.2830592,0.6018614892332,0.0038702152777778,20.0,357.04999999999995,0
13,ROI,4,128,100,16302901.0,19302.6204416,0.6002401942481,0.0034543429783951,19.0,360.75,1
14,ROI,4,128,100,16148979.0,19120.375728,0.60452901846569,0.0036502893518518998,19.0,358.2,2
15,ROI,5,128,19,15643634.0,18522.0189024,0.0040320075592454,9.659799382716e-05,19.0,349.94000000000005,0
16,ROI,5,128,19,15669040.0,18552.1034336,0.0023848028650869,0.00012365740740741,19.0,354.44,1
17,ROI,5,128,19,15631034.0,18507.1021504,0.0046293009450741,0.00019990239197531,19.0,357.75,2
18,ROI,6,256,100,31232801.0,36979.594496,0.13690677860858,0.0003156462191358,37.0,364.31999999999994,0
19,ROI,6,256,100,30928062.0,36618.788832,0.14792597769559,0.00032610108024691,37.0,368.47999999999996,1
20,ROI,6,256,100,31360802.0,37131.151568,0.1328618063786,0.00032101466049383,37.0,367.61,2
21,ROI,7,256,37,30005115.0,35526.0119488,0.0046398334343065,0.00016321334876543,36.0,369.30999999999995,0
22,ROI,7,256,37,30077734.0,35611.9944512,0.0037031413306818,0.00010172569444444,36.0,370.0,1
23,ROI,7,256,37,29951670.0,35462.7359648,0.0039164486085901,0.00022302546296296,36.0,374.80999999999995,2
24,ROI,8,256,34,27944577.0,33086.3373824,0.0020328696386569,8.585686728395101e-05,33.0,364.22,0
25,ROI,8,256,34,27922099.0,33059.722256,0.0030485924065365,9.503125e-05,33.0,367.07,1
26,ROI,8,256,34,27949487.0,33092.1466784,0.0021256613051578,8.705825617284e-05,33.0,368.00000000000006,2
27,ROI,9,256,31,25715775.0,30447.4372,0.0023172041241547,8.9197916666667e-05,31.0,368.24,0
28,ROI,9,256,31,25726932.0,30460.6466784,0.001942622741267,8.4864583333333e-05,31.0,361.73999999999995,1
29,ROI,9,256,31,25720562.0,30453.1057664,0.0022324831409879,8.722646604938301e-05,31.0,368.16,2
30,ROI,10,256,33,27364330.0,32399.3204032,0.0022126335136623,8.6538194444444e-05,33.0,366.42999999999995,0
31,ROI,10,256,33,27343480.0,32374.6362976,0.0031525316947121,9.9711419753086e-05,33.0,366.16,1
32,ROI,10,256,33,27373738.0,32410.4651776,0.0019942514114931,8.7231095679012e-05,33.0,362.58000000000004,2
33,ROI,11,512,100,29125468.0,34484.5227488,0.20343986028595,0.00039006983024691,35.0,364.51,0
34,ROI,11,512,100,29016256.0,34355.2122432,0.20667394347866,0.00038766319444444005,35.0,364.89,1
35,ROI,11,512,100,29029617.0,34371.0307904,0.20700658020034,0.00038870679012346,35.0,365.56,2
36,ROI,12,512,35,28066480.0,33230.6686208,0.002523750108423,0.00015696412037037,34.0,361.41,0
37,ROI,12,512,35,28051608.0,33213.0583712,0.0026417243408903,0.00016319984567901,34.0,366.14,1
38,ROI,12,512,35,28010938.0,33164.905184,0.0030846857626771,0.00017034529320988,34.0,361.34999999999997,2
39,ROI,13,512,32,26458119.0,31326.3690048,0.0020114820969878,0.00012269290123457,32.0,363.24,0
40,ROI,13,512,32,26465286.0,31334.8562784,0.0018234882888589,0.0001247349537037,32.0,359.9200000000001,1
41,ROI,13,512,32,26459338.0,31327.8095584,0.0020764457144431,0.00012577854938272,32.0,362.86,2
42,ROI,14,512,34,27532361.0,32598.268816,0.0021231208505401,0.00014819328703704,33.0,362.84,0
43,ROI,14,512,34,27578504.0,32652.8990688,0.0019799540889495,0.00013564969135802,33.0,366.13,1
44,ROI,14,512,34,27570125.0,32642.9840256,0.001938460523056,0.00013807523148148,33.0,361.0,2
45,ROI,15,512,33,27166603.0,32165.2174976,0.0019931956741499,0.00013149575617284,33.0,362.28999999999996,0
46,ROI,15,512,33,27165684.0,32164.1295744,0.0019804705520969,0.0001353900462963,33.0,358.31,1
47,ROI,15,512,33,27162220.0,32160.0249952,0.0021234260197437,0.0001320775462963,33.0,363.14,2
48,ROI,16,1024,100,27569097.0,32641.775024,0.25708286740279,0.00045281327160493997,33.0,359.34,0
49,ROI,16,1024,100,27475046.0,32530.4235168,0.26016467044895,0.00045076736111111,33.0,362.1600000000001,1
