index,build,test_index,SIZE,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,CPU,0,64,100,45086573.0,30298.3665696,2.5827421193725e-05,1.5498456790123e-05,30.0,0
1,CPU,0,64,100,45079889.0,30293.8778272,1.8542292454682e-05,1.5471450617284e-05,30.0,1
2,CPU,0,64,100,45105242.0,30311.2114848,3.5065647250199e-05,1.5627314814815e-05,30.0,2
3,CPU,1,64,30,38305120.0,25741.049168,7.2261357845216e-06,1.4171682098765e-05,26.0,0
4,CPU,1,64,30,38329680.0,25757.5537568,1.4633354150306e-05,1.4160108024691e-05,26.0,1
5,CPU,1,64,30,38326056.0,25755.1169088,1.0535802213552e-05,1.4090663580246999e-05,26.0,2
6,CPU,2,64,21,30795162.0,20694.3570624,6.8192483215768e-07,1.2141203703704002e-05,21.0,0
7,CPU,2,64,21,30798603.0,20696.6679552,2.7273956548779e-07,1.1957947530864001e-05,21.0,1
8,CPU,2,64,21,30800995.0,20698.2758816,4.8699700461174e-07,1.2069830246914e-05,21.0,2
9,CPU,3,64,24,34913338.0,23461.772512,2.2484193147321e-06,1.3586805555556e-05,24.0,0
10,CPU,3,64,24,35025206.0,23536.9466304,9.7043455359325e-06,1.3508487654320999e-05,24.0,1
11,CPU,3,64,24,34933899.0,23475.588608,1.7948150027314e-06,1.356674382716e-05,24.0,2
12,CPU,4,64,26,37839387.0,25428.0773312,1.0182407941262e-05,1.4319058641975e-05,26.0,0
13,CPU,4,64,26,37841367.0,25429.4055584,5.2191288094638e-06,1.4241126543209999e-05,26.0,1
14,CPU,4,64,26,37949560.0,25502.11216,4.6561586888316e-06,1.4217978395062e-05,26.0,2
15,CPU,5,128,100,35533995.0,42072.416288,1.3220967157168e-05,1.7355324074074002e-05,42.0,0
16,CPU,5,128,100,35505366.0,42038.306704,8.0804033991688e-06,1.7369598765431997e-05,42.0,1
17,CPU,5,128,100,35538209.0,42077.1958464,3.477934647389e-06,1.7511188271605e-05,42.0,2
18,CPU,6,128,42,33597570.0,39779.4813344,2.2650396197532e-06,1.5925540123457e-05,40.0,0
19,CPU,6,128,42,33576038.0,39753.9840544,2.540495740333e-06,1.579475308642e-05,40.0,1
20,CPU,6,128,42,33619202.0,39805.0922112,1.7995635418488e-06,1.5911651234568e-05,40.0,2
21,CPU,7,128,37,30745333.0,36402.431776,0.0,1.5324459876543e-05,37.0,0
22,CPU,7,128,37,30766936.0,36428.0122272,1.127832830905e-06,1.5349537037037e-05,37.0,1
23,CPU,7,128,37,30791421.0,36456.997344,2.2019071568291e-06,1.5321759259259e-05,37.0,2
24,CPU,8,128,39,32266073.0,38202.987536,8.3989076760105e-07,1.5280092592593e-05,39.0,0
25,CPU,8,128,39,32258135.0,38193.5901152,6.2619823382182e-07,1.525887345679e-05,39.0,1
26,CPU,8,128,39,32322164.0,38269.3969632,2.3915420075404e-06,1.5385802469136e-05,39.0,2
27,CPU,9,128,40,33034648.0,39112.9771264,8.2337723694703e-07,1.5476851851852e-05,40.0,0
28,CPU,9,128,40,33004922.0,39077.7827008,8.8471574533067e-07,1.5474922839506e-05,40.0,1
29,CPU,9,128,40,32982789.0,39051.5749152,1.1945609819097e-06,1.5460262345679e-05,40.0,2
30,CPU,10,256,100,28677980.0,63320.834736,0.0,2.2256558641975e-05,64.0,0
31,CPU,10,256,100,28647889.0,63254.3902304,0.0,2.2186342592593e-05,64.0,1
32,CPU,10,256,100,28666241.0,63294.908832,0.0,2.2570987654321e-05,64.0,2
33,CPU,11,256,64,28077065.0,61994.0146848,0.0,2.0230324074074e-05,63.0,0
34,CPU,11,256,64,28076244.0,61992.1988256,0.0,2.003125e-05,63.0,1
35,CPU,11,256,64,28078050.0,61996.1821248,0.0,2.0006172839506e-05,63.0,2
36,CPU,12,256,61,27094906.0,59825.3988544,0.0,1.7882716049382998e-05,61.0,0
37,CPU,12,256,61,27092700.0,59820.5362912,0.0,1.7824845679012e-05,61.0,1
38,CPU,12,256,61,27103101.0,59843.5013312,0.0,1.7939043209877e-05,61.0,2
39,CPU,13,256,63,27890202.0,61581.4192128,0.0,1.9517746913580003e-05,63.0,0
40,CPU,13,256,63,27880993.0,61561.08328,0.0,1.9430941358025e-05,63.0,1
41,CPU,13,256,63,27884136.0,61568.0233536,0.0,1.9612268518519e-05,63.0,2
42,CPU,14,512,100,18391473.0,78273.7501728,0.0,0.00032808719135802,80.0,0
43,CPU,14,512,100,18349381.0,78094.6186432,0.0,0.00033133294753085997,79.0,1
44,CPU,14,512,100,18291535.0,77848.423056,0.0,0.00032988194444444005,79.0,2
45,CPU,15,512,79,18165438.0,77311.75232,0.0,1.8467206790123e-05,79.0,0
46,CPU,15,512,79,18163749.0,77304.5656832,0.0,1.8140817901235e-05,79.0,1
47,CPU,15,512,79,18162152.0,77297.7701568,0.0,1.8283564814815003e-05,79.0,2
48,CPU,16,512,80,18420034.0,78395.3170848,0.0,1.9806712962963e-05,80.0,0
49,CPU,16,512,80,18419553.0,78393.2650336,0.0,1.9587577160494e-05,80.0,1
50,CPU,16,512,80,18420760.0,78398.3973248,0.0,1.9630401234568e-05,80.0,2
51,CPU,17,1024,100,11645400.0,97261.6368,0.0,0.00046895949074074,99.0,0
52,CPU,17,1024,100,11645695.0,97264.1029856,0.0,0.00051497299382716,99.0,1
53,CPU,17,1024,100,11641673.0,97230.50056,0.0,0.00051107445987654,99.0,2
54,CPU,18,1024,99,11592996.0,96823.957584,0.0,2.7749614197530998e-05,99.0,0
55,CPU,18,1024,99,11594982.0,96840.5452512,0.0,2.6832947530864002e-05,99.0,1
56,CPU,18,1024,99,11595430.0,96844.2775392,0.0,2.8216435185185e-05,99.0,2
