index,build,test_index,SIZE,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,ROI,0,64,100,246.83,44522175.0,29919.2981984,0.0030541528759206,0.00011842283950617001,30.0,0
1,ROI,0,64,100,243.91,44527879.0,29922.9410688,0.0040320416519726,0.00011863117283951,30.0,1
2,ROI,0,64,100,243.57999999999998,44507647.0,29909.3192928,0.0033843417411694,0.0001178599537037,30.0,2
3,ROI,1,64,30,248.49999999999997,35951401.0,24159.3469216,0.0014053692242303,0.0001221099537037,24.0,0
4,ROI,1,64,30,243.89999999999998,35910335.0,24131.7546816,0.001263483070908,0.00012400733024691,24.0,1
5,ROI,1,64,30,243.83999999999997,35945405.0,24155.3192064,0.0016598533393913,0.00012191280864198,24.0,2
6,ROI,2,64,17,249.17999999999998,24755281.0,16635.555392,0.00097646934232765,0.00013952160493827,17.0,0
7,ROI,2,64,17,249.66,24744355.0,16628.2162624,0.0013768645732219,0.00014080864197530999,17.0,1
8,ROI,2,64,17,250.37999999999997,24754639.0,16635.1253312,0.0010631780435466,0.00013855902777777998,17.0,2
9,ROI,3,64,21,248.5,30670644.0,20610.6791552,0.0011692229406824,0.00012775038580247,21.0,0
10,ROI,3,64,21,247.48000000000002,30683059.0,20619.0256032,0.0010520562044789,0.00012691859567901,21.0,1
11,ROI,3,64,21,244.10999999999999,30679237.0,20616.4532736,0.0012293908670237,0.00012757831790123,21.0,2
12,ROI,4,64,23,244.14,32837545.0,22066.840144,0.0010826074503112,0.00012575308641975,22.0,0
13,ROI,4,64,23,245.16,32827078.0,22059.805824,0.0012821964182117,0.00012350810185185,22.0,1
14,ROI,4,64,23,249.74999999999997,32839836.0,22068.3793056,0.0013265089656055,0.00012478780864198002,22.0,2
15,ROI,5,64,22,249.18,31656565.0,21273.219632,0.0013986698663482,0.00012646141975309,21.0,0
16,ROI,5,64,22,248.53999999999996,31666904.0,21280.166432,0.00099285210713285,0.00012814853395061999,21.0,1
17,ROI,5,64,22,247.92999999999998,31658801.0,21274.7239552,0.001412493371727,0.00012690663580247,21.0,2
18,ROI,6,128,100,243.41000000000003,34912139.0,41336.0548096,0.0027486488107797,0.0001373287037037,42.0,0
19,ROI,6,128,100,244.16,34919872.0,41345.1448608,0.0028858365497189,0.00013692052469135998,42.0,1
20,ROI,6,128,100,244.05999999999997,34905134.0,41327.6746464,0.0024918204001927,0.0001366662808642,42.0,2
21,ROI,7,128,42,244.08999999999997,29692430.0,35155.797376,0.0014867851961203,0.00013879783950617,36.0,0
22,ROI,7,128,42,248.47000000000003,29740815.0,35213.0846784,0.00089973668080479,0.0001369849537037,36.0,1
23,ROI,7,128,42,249.61,29739123.0,35211.0764512,0.0012104249112477,0.00013711226851852,36.0,2
24,ROI,8,128,29,244.74,23970417.0,28380.9268832,0.00098628069216167,0.00014554398148147998,29.0,0
25,ROI,8,128,29,249.86,23976024.0,28387.5703712,0.0011234350153161,0.00014758641975309,29.0,1
26,ROI,8,128,29,248.76,23982679.0,28395.4526208,0.00076566629473163,0.00014549575617284002,29.0,2
27,ROI,9,128,33,244.78000000000003,26637966.0,31539.3063328,0.0011148619203418,0.00014104552469135998,32.0,0
28,ROI,9,128,33,245.5,26667741.0,31574.5648352,0.00088420057047567,0.00013880246913580002,32.0,1
29,ROI,9,128,33,248.15,26647159.0,31550.1882048,0.0010736323010675,0.00014024807098765002,32.0,2
30,ROI,10,128,31,249.41000000000003,25440041.0,30120.9691584,0.00079699663633237,0.00014577314814815,30.0,0
31,ROI,10,128,31,244.96,25444729.0,30126.51864,0.0011229036871947,0.00014346026234568,30.0,1
32,ROI,10,128,31,244.47,25461797.0,30146.7179584,0.00069005604559513,0.00014206442901235,30.0,2
33,ROI,11,128,30,244.57,24605417.0,29132.7687968,0.0010844981164906,0.0001434324845679,29.0,0
34,ROI,11,128,30,249.52,24617525.0,29147.109696,0.00088182866774689,0.00014533757716049002,29.0,1
35,ROI,11,128,30,244.32000000000002,24613533.0,29142.3784352,0.0010911542726763,0.00014802584876543,29.0,2
36,ROI,12,256,100,243.62,27300215.0,60278.733456,0.00066843773424741,0.00015590162037037002,61.0,0
37,ROI,12,256,100,248.45999999999998,27311953.0,60304.6492608,0.00056747314250094,0.00015606635802469,61.0,1
38,ROI,12,256,100,243.64999999999998,27306397.0,60292.41096,0.00046818374907576,0.00015598881172840002,61.0,2
39,ROI,13,256,61,243.69,25876869.0,57135.9508672,0.00062605529159054,0.00015657561728395,58.0,0
40,ROI,13,256,61,242.9,25846852.0,57069.700096,0.00046687169117388,0.00015795679012346,58.0,1
41,ROI,13,256,61,249.78,25867449.0,57115.189536,0.00056178447734168,0.00015765547839505998,58.0,2
42,ROI,14,256,54,249.5,23946277.0,52873.2424224,0.00050420400894169,0.00015320447530864001,54.0,0
43,ROI,14,256,54,250.31,23942777.0,52865.5115808,0.00072569200358752,0.00015526157407407,54.0,1
44,ROI,14,256,54,249.96000000000004,23949427.0,52880.183296,0.00048972167304762,0.00015547762345679002,54.0,2
45,ROI,15,256,57,249.37999999999997,24929445.0,55044.0764832,0.00056983620109752,0.00015696527777777998,56.0,0
46,ROI,15,256,57,249.14999999999995,24940852.0,55069.2625056,0.00043686308984492,0.00015626736111111,56.0,1
47,ROI,15,256,57,244.5,24933225.0,55052.4207168,0.00057726131859059,0.00015577507716049003,56.0,2
48,ROI,16,256,56,249.03000000000003,24554553.0,54216.3134176,0.00042604078761777,0.0001552388117284,55.0,0
49,ROI,16,256,56,244.64000000000001,24553377.0,54213.7166016,0.00066324041563959,0.00015663078703704,55.0,1
50,ROI,16,256,56,249.73999999999998,24556562.0,54220.7136992,0.00048418178916976,0.00015672492283950998,55.0,2
51,ROI,17,256,55,250.04000000000002,24146086.0,53314.4197632,0.00076105101598867,0.00015604050925926,54.0,0
52,ROI,17,256,55,249.12999999999997,24158053.0,53340.8417952,0.00042784390755768,0.00015337692901235,54.0,1
53,ROI,17,256,55,248.51999999999998,24150269.0,53323.654016,0.00057974831601537,0.00015450694444444,54.0,2
54,ROI,18,512,100,245.29,17525978.0,74590.1934368,0.00036698885145459,0.00053167168209877,76.0,0
55,ROI,18,512,100,248.74999999999997,17539536.0,74647.9268736,0.00050401229309949,0.00052884606481481,76.0,1
