index,build,test_index,BATCH,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,CL,0,32,100,408.1700000000001,19743422.0,23376.1912576,0.52337817489272,0.0018447048611111,23.0,0
1,CL,0,32,100,425.31,19726391.0,23356.0235936,0.52400278739753,0.001846887345679,23.0,1
2,CL,0,32,100,426.69,19692342.0,23315.7089856,0.52493836476836,0.0018497901234568001,23.0,2
3,CL,1,32,23,411.8,10336596.0,12238.505488,0.45625987928056,0.0015629340277778,12.0,0
4,CL,1,32,23,412.76,10281969.0,12173.8263968,0.45918605515181,0.0015619953703704,12.0,1
5,CL,1,32,23,415.49,10371600.0,12279.949248,0.45447383796991,0.0015624768518519,12.0,2
6,CL,2,32,1,399.67,824729.0,976.4399872,0.0,2.6430169753085997e-05,1.0,0
7,CL,2,32,1,402.07,824672.0,976.3717888,0.0,2.6376157407407e-05,1.0,1
8,CL,2,32,1,401.71,824754.0,976.4684064,0.0,2.6311342592593e-05,1.0,2
9,CL,3,32,7,400.01000000000005,5768964.0,6830.4140064,0.0010765201858574,2.8583719135801998e-05,7.0,0
10,CL,3,32,7,399.01,5769510.0,6831.0600192,0.0010640522175107,2.8320987654321e-05,7.0,1
11,CL,3,32,7,399.22999999999996,5769192.0,6830.680592,0.0010881698225733,2.8261574074074003e-05,7.0,2
12,CL,4,32,10,403.63,8253759.0,9772.4099936,0.0013723363607612,2.8868055555556e-05,10.0,0
13,CL,4,32,10,402.7199999999999,8255210.0,9774.12448,0.0013862896294359,2.894212962963e-05,10.0,1
14,CL,4,32,10,403.06,8254620.0,9773.4295488,0.0014059351274739,2.899537037037e-05,10.0,2
15,CL,5,32,12,407.66,9902487.0,11724.5047232,0.0014833423565472,2.7668981481481002e-05,12.0,0
16,CL,5,32,12,407.58,9904465.0,11726.847008,0.0014925895410317,2.7570601851852e-05,12.0,1
17,CL,5,32,12,404.55,9903442.0,11725.6327328,0.0014933979156674,2.7771219135802e-05,12.0,2
18,CL,6,64,100,449.83,24179268.0,28628.2247328,0.39753663367134,0.0021516319444443996,29.0,0
19,CL,6,64,100,452.7500000000001,24173541.0,28621.4439776,0.39757492721624,0.002170206404321,29.0,1
20,CL,6,64,100,450.27,24186644.0,28636.9585792,0.3970991811339,0.0021422573302469,29.0,2
21,CL,7,64,29,425.2099999999999,24032357.0,28454.2702624,0.0016527693373508,2.7877314814815002e-05,29.0,0
22,CL,7,64,29,425.21000000000004,24035638.0,28458.1506048,0.0016433175092774,2.9072530864198e-05,29.0,1
23,CL,7,64,29,429.0299999999999,24033919.0,28456.1176352,0.0016257636348515,2.8076774691358e-05,29.0,2
24,CL,8,128,100,451.38,23338525.0,27632.7860384,0.42215136006608,0.00036773109567901,28.0,0
25,CL,8,128,100,453.82000000000005,23304546.0,27592.5546528,0.42289745119862,0.00036821952160494,27.0,1
26,CL,8,128,100,452.7099999999999,23248530.0,27526.2298784,0.42486389372368,0.00036872299382716,27.0,2
27,CL,9,128,27,425.82,22331755.0,26440.7549504,0.0017264082056807,3.440316358024701e-05,27.0,0
28,CL,9,128,27,425.13,22335075.0,26444.6877952,0.0017491700366663,3.4226851851852e-05,27.0,1
29,CL,9,128,27,425.1600000000001,22335813.0,26445.5589856,0.0017366646419069,3.5143904320988e-05,27.0,2
30,CL,10,256,100,453.0199999999999,23152611.0,27412.6654976,0.42664228636711,0.00037685378086420003,27.0,0
31,CL,10,256,100,454.58000000000004,23140363.0,27398.1635072,0.42794936877714,0.00037785030864198,27.0,1
32,CL,10,256,100,454.1700000000001,23147474.0,27406.5825888,0.42736540095143,0.00037668055555556,27.0,2
33,CL,11,256,27,431.40999999999997,22334563.0,26444.07928,0.0017527883241257,5.4199074074073997e-05,27.0,0
34,CL,11,256,27,430.48,22336357.0,26446.202816,0.0017665624976788,5.4228780864198e-05,27.0,1
35,CL,11,256,27,430.65999999999997,22336042.0,26445.830272,0.0017306595020715,5.4219907407407e-05,27.0,2
36,CL,12,512,100,458.75999999999993,23106621.0,27358.2153216,0.42856951869641,0.00039813695987654,27.0,0
37,CL,12,512,100,461.43999999999994,23112003.0,27364.5861056,0.42861175533062,0.00039544521604938,27.0,1
38,CL,12,512,100,460.02000000000004,23100820.0,27351.3457728,0.42865310778365,0.00039683217592593003,27.0,2
39,CL,13,512,27,436.67999999999995,22330951.0,26439.8032512,0.0017672615448117,9.754012345679e-05,27.0,0
40,CL,13,512,27,434.18,22335578.0,26445.2812512,0.0017680248339204,9.614969135802499e-05,27.0,1
41,CL,13,512,27,434.79999999999995,22333628.0,26442.9712448,0.0018003380955977,9.6431712962963e-05,27.0,2
42,CL,14,1024,100,461.33,23059743.0,27302.7098752,0.43057257659464,0.00043507175925926,27.0,0
43,CL,14,1024,100,464.89,23076158.0,27322.1457312,0.42955685481849,0.00043782330246914,27.0,1
44,CL,14,1024,100,463.6,23054538.0,27296.5479904,0.42970504295481,0.00043534683641975,27.0,2
45,CL,15,1024,27,441.20000000000005,22331950.0,26440.9866976,0.0017868332423457,0.00018311805555556,27.0,0
46,CL,15,1024,27,440.95000000000005,22332440.0,26441.5693664,0.0018022674017426,0.00018403819444444,27.0,1
47,CL,15,1024,27,442.82,22337745.0,26447.8495168,0.0017870351936869,0.00018440817901235,27.0,2
