index,build,test_index,SIZE,RATE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,CPU,0,64,100,27450561.0,18446.7804896,0.45473766520403,0.00030277121913579997,18.0,0
1,CPU,0,64,100,28632027.0,19240.7258016,0.42554721605797,0.00028847955246914,19.0,1
2,CPU,0,64,100,28537252.0,19177.0398048,0.42837492204649,0.00028603009259259,19.0,2
3,CPU,1,64,18,26283209.0,17662.3263456,0.0016372554962368,1.5055555555556e-05,18.0,0
4,CPU,1,64,18,26289299.0,17666.4171904,0.0017336501998959,2.3792052469136e-05,18.0,1
5,CPU,1,64,18,26294094.0,17669.6401952,0.0016195886345792,1.5997685185185e-05,18.0,2
6,CPU,2,128,100,29015495.0,34354.3107296,0.32085719228905,0.0002873699845679,35.0,0
7,CPU,2,128,100,27300037.0,32323.2111936,0.37360870595155,0.00030715817901235,32.0,1
8,CPU,2,128,100,29101096.0,34455.6644512,0.31789516830003,0.00028648302469136004,35.0,2
9,CPU,3,128,34,26691428.0,31602.6061984,0.048649822444037,0.00030159066358025,32.0,0
10,CPU,3,128,34,28015610.0,33170.4403168,0.0016642071460976,2.3826388888889e-05,34.0,1
11,CPU,3,128,34,28018065.0,33173.3423744,0.001630184640364,2.8304398148148e-05,34.0,2
12,CPU,4,128,32,26546339.0,31430.821776,0.0015880211352528,1.6905864197531e-05,32.0,0
13,CPU,4,128,32,26549686.0,31434.7856672,0.001627986075257,1.6481481481481e-05,32.0,1
14,CPU,4,128,32,26550016.0,31435.1726144,0.0016273801836856,1.6073688271605e-05,32.0,2
15,CPU,5,128,33,27408511.0,32451.632112,0.0016021494760547,2.0518518518518997e-05,33.0,0
16,CPU,5,128,33,27405615.0,32448.2003232,0.0016506909775383,1.8630787037037e-05,33.0,1
17,CPU,5,128,33,27411906.0,32455.656896,0.0016339431397199,1.994637345679e-05,33.0,2
18,CPU,6,256,100,28137149.0,62126.685024,0.0076288798230371,0.00041831211419752996,63.0,0
19,CPU,6,256,100,27942933.0,61697.8490784,0.019852215546482,0.00047157330246914,62.0,1
20,CPU,6,256,100,27944131.0,61700.4879904,0.017205927016726,0.00046645717592593,62.0,2
21,CPU,7,256,62,26816475.0,59210.6377984,0.01981106345113,0.00030345987654321,60.0,0
22,CPU,7,256,62,27321008.0,60324.6370912,0.0011666469417766,3.1952160493827004e-05,61.0,1
23,CPU,7,256,62,27348963.0,60386.3614624,0.001118650737493,3.0828703703704e-05,61.0,2
24,CPU,8,256,59,25993594.0,57393.7100704,0.001116884349076,2.017862654321e-05,58.0,0
25,CPU,8,256,59,25997515.0,57402.3690368,0.0011104179862554,1.9805555555556e-05,58.0,1
26,CPU,8,256,59,25987963.0,57381.2789312,0.0011008124312002,1.9993055555556e-05,58.0,2
27,CPU,9,256,56,24727631.0,54598.469264,0.0011273638370919,1.7228780864198e-05,55.0,0
28,CPU,9,256,56,24724393.0,54591.3145792,0.0010807177716226,1.7215663580247e-05,55.0,1
29,CPU,9,256,56,24727509.0,54598.2001376,0.0011212038954751,1.7182484567900998e-05,55.0,2
30,CPU,10,256,53,23581953.0,52068.8126304,0.0010559505933885,1.5097222222222e-05,53.0,0
31,CPU,10,256,53,23583324.0,52071.8380224,0.0010569174620996,1.5030864197531e-05,53.0,1
32,CPU,10,256,53,23579287.0,52062.9190912,0.0010827946000342,1.5312885802468998e-05,53.0,2
33,CPU,11,256,55,24249431.0,53542.5947264,0.0012174723706798,1.7071373456789998e-05,54.0,0
34,CPU,11,256,55,24248095.0,53539.647728,0.0011181475952436,1.6065972222222002e-05,54.0,1
35,CPU,11,256,55,24252728.0,53549.8775488,0.0010646505572516,1.6011188271605e-05,54.0,2
36,CPU,12,256,54,24018094.0,53031.8091552,0.0010783054784671,1.5393132716049e-05,54.0,0
37,CPU,12,256,54,24019592.0,53035.1177504,0.0012103481936726,1.6763888888889e-05,54.0,1
38,CPU,12,256,54,24022143.0,53040.7466208,0.0010739783767696,1.5493827160494e-05,54.0,2
39,CPU,13,512,100,17781645.0,75678.3234752,0.0,0.00034693827160493996,76.0,0
40,CPU,13,512,100,18128003.0,77152.432928,0.0,0.0003424486882716,78.0,1
41,CPU,13,512,100,17807479.0,75788.2770464,0.0,0.00034623225308641996,76.0,2
42,CPU,14,512,76,17425588.0,74162.9652128,0.0,1.7958333333333002e-05,75.0,0
43,CPU,14,512,76,17425426.0,74162.264016,0.0,1.8210648148148e-05,75.0,1
44,CPU,14,512,76,17427084.0,74169.3155136,0.0,1.8289737654321002e-05,75.0,2
45,CPU,15,512,73,16732832.0,71214.5805952,0.0,1.7452932098765e-05,72.0,0
46,CPU,15,512,73,16733075.0,71215.6147872,0.0,1.7739583333333003e-05,72.0,1
47,CPU,15,512,73,16735376.0,71225.4121952,0.0,1.7332561728395e-05,72.0,2
48,CPU,16,512,70,16093152.0,68492.0976608,0.0,1.7270061728394998e-05,70.0,0
49,CPU,16,512,70,16095669.0,68502.8219552,0.0,1.7401620370370002e-05,70.0,1
50,CPU,16,512,70,16096666.0,68507.06344,0.0,1.7298225308642e-05,70.0,2
51,CPU,17,512,72,16513638.0,70281.6926496,0.0,1.725e-05,72.0,0
