index,build,test_index,SIZE,LISTSorQUEUES_PER_CORE,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,ROI,0,64,1,100,345.16999999999996,39432481.0,26498.7350976,0.14879851243089,0.00030664197530863997,27.0,0
1,ROI,0,64,1,100,342.05,39038742.0,26234.0903616,0.16136071638652,0.00031310609567901,26.0,1
2,ROI,0,64,1,100,333.29999999999995,39050897.0,26242.8719872,0.16006603359656,0.00031112114197531,27.0,2
3,ROI,1,64,1,26,365.24999999999994,35054519.0,23556.6423776,0.0018321436445402,0.00014421643518518998,24.0,0
4,ROI,1,64,1,26,356.46,35075830.0,23570.967648,0.0017187477227026,0.00014357407407407,24.0,1
5,ROI,1,64,1,26,353.77,35088764.0,23579.659024,0.0017944919242202,0.00014379552469136,24.0,2
6,ROI,2,64,1,21,337.28000000000003,30649083.0,20596.1902368,0.0015963307004419,0.00015041820987654,21.0,0
7,ROI,2,64,1,21,337.71,30643073.0,20592.1546176,0.0018450008892916,0.00015231944444444,21.0,1
8,ROI,2,64,1,21,334.41,30650398.0,20597.0732352,0.0016100059044961,0.000149375,21.0,2
9,ROI,3,64,1,23,349.78,32819715.0,22054.8559264,0.0016930362011079,0.00014710956790123,22.0,0
10,ROI,3,64,1,23,346.53999999999996,32814969.0,22051.6689376,0.0015633284404059,0.00014685300925926,22.0,1
11,ROI,3,64,1,23,347.04,32817560.0,22053.4098816,0.0017628863984979,0.00014889274691358,22.0,2
12,ROI,4,64,1,22,344.49,31626530.0,21253.036624,0.0015652048085121,0.00014824575617284,21.0,0
13,ROI,4,64,1,22,345.4,31623825.0,21251.2169344,0.0017977965657122,0.00014676851851852,21.0,1
14,ROI,4,64,1,22,346.36,31626882.0,21253.2723808,0.0016688704139615,0.00014876466049383,21.0,2
15,ROI,5,128,1,100,348.0200000000001,38111540.0,45124.7442656,0.010793663375917,0.00018482137345679,46.0,0
16,ROI,5,128,1,100,331.32,38054771.0,45057.8657472,0.013501833469253,0.00020046720679012,46.0,1
17,ROI,5,128,1,100,276.73,37702436.0,44640.735648,0.025867222835566,0.00029174845679012,46.0,2
18,ROI,6,128,1,46,334.29,30759531.0,36419.2449856,0.0022347589492212,0.00015788155864198,37.0,0
19,ROI,6,128,1,46,330.5,30746004.0,36403.2284192,0.0020962532075294,0.00015795833333333,37.0,1
20,ROI,6,128,1,46,333.76,30767265.0,36428.4015584,0.0019541929509023,0.00015723765432099,37.0,2
21,ROI,7,128,1,27,267.63000000000005,22326236.0,26434.2220896,0.0013420771828079,0.00017992399691358,27.0,0
22,ROI,7,128,1,27,264.26,22322758.0,26430.1052128,0.0015630450721672,0.00017973649691358,27.0,1
23,ROI,7,128,1,27,266.92,22328075.0,26436.3933888,0.0013601010980843,0.0001769012345679,27.0,2
24,ROI,8,128,1,33,290.2,26646802.0,31549.7682272,0.0015760055974805,0.00016459027777778,32.0,0
25,ROI,8,128,1,33,289.59999999999997,26641208.0,31543.1484672,0.0014108554894682,0.00016610069444444,32.0,1
26,ROI,8,128,1,33,287.26,26630736.0,31530.7434144,0.001615901633057,0.00016448688271604998,32.0,2
27,ROI,9,128,1,30,276.76000000000005,24595499.0,29121.0313632,0.0013456487291256,0.00017165277777777998,29.0,0
28,ROI,9,128,1,30,275.40999999999997,24591563.0,29116.3661888,0.0015632843753816,0.00016908564814815,29.0,1
29,ROI,9,128,1,30,274.04,24602341.0,29129.1318176,0.0013639542399021,0.00017018287037037002,29.0,2
30,ROI,10,128,1,29,271.02,23947151.0,28353.3867616,0.001767007517701,0.00017262962962963,29.0,0
31,ROI,10,128,1,29,273.84000000000003,23966458.0,28376.2414992,0.0013560646665197,0.00017241628086419998,29.0,1
32,ROI,10,128,1,29,273.41999999999996,23960273.0,28368.9169632,0.0015722515529478,0.00017255671296296,29.0,2
33,ROI,11,256,1,100,303.69,28132769.0,62117.0143104,0.0010325671516282,0.00037830208333333,63.0,0
34,ROI,11,256,1,100,305.08000000000004,27915284.0,61636.7990112,0.00085450317852809,0.00038080054012346,62.0,1
35,ROI,11,256,1,100,304.76,28265018.0,62409.0186848,0.0010416656579308,0.00037571913580247,63.0,2
