index,build,test_index,BATCH,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
0,CL,0,32,100,407.04999999999995,5873993.0,6954.8032992,0.86511063712501,0.0056106111111111,7.0,0
1,CL,0,32,100,411.49,5870779.0,6950.9963552,0.86530895774415,0.0056238113425926,7.0,1
2,CL,0,32,100,412.4699999999999,5847455.0,6923.3816256,0.86577177546041,0.0056408607253086,7.0,2
3,CL,1,32,7,396.49,3434385.0,4066.3042368,0.40533840550094,0.0045507739197531,4.0,0
4,CL,1,32,7,397.46000000000004,3432182.0,4063.6955872,0.40578905872091,0.004270600308641999,4.0,1
5,CL,1,32,7,398.35,3409824.0,4037.2245056,0.40973313233453,0.0042888198302469,4.0,2
6,CL,2,32,1,398.84,824645.0,976.340864,0.0,6.4829861111111e-05,1.0,0
7,CL,2,32,1,399.15,824711.0,976.4183744,0.0,6.5676697530864e-05,1.0,1
8,CL,2,32,1,399.08,824824.0,976.5530368,0.0,6.597878086419801e-05,1.0,2
9,CL,3,32,3,396.53999999999996,2472506.0,2927.4076096,0.0010860558022274,6.781674382716e-05,3.0,0
10,CL,3,32,3,396.74999999999994,2473080.0,2928.0836032,0.0010861269158488,6.7693672839506e-05,3.0,1
11,CL,3,32,3,397.18000000000006,2473156.0,2928.1741728,0.0010924281365091,6.7959490740741e-05,3.0,2
12,CL,4,32,4,399.66999999999996,3293376.0,3899.3147648,0.0014611623608433,6.729591049382699e-05,4.0,0
13,CL,4,32,4,398.84000000000003,3293690.0,3899.6886368,0.0014725573284943,6.6434799382716e-05,4.0,1
14,CL,4,32,4,399.09000000000003,3294216.0,3900.3124992,0.0014622431628538,6.8654320987654e-05,4.0,2
15,CL,5,64,100,426.80999999999995,7101370.0,8408.0160448,0.83626059028672,0.0061451543209877,8.0,0
16,CL,5,64,100,426.02,7128988.0,8440.7152352,0.83575409437152,0.006118400462963,8.0,1
17,CL,5,64,100,430.71000000000004,7107077.0,8414.7714688,0.83630519533783,0.006132943287037,8.0,2
18,CL,6,64,8,405.84,6592303.0,7805.2470112,0.0018554006640233,6.243287037037e-05,8.0,0
19,CL,6,64,8,403.85,6592954.0,7806.0176512,0.0018594337992288,6.2648148148148e-05,8.0,1
20,CL,6,64,8,402.89,6593600.0,7806.7820416,0.0018595844919658,6.2459104938272e-05,8.0,2
21,CL,7,128,100,413.81,10586001.0,12533.8132672,0.7499287293416,0.0074423676697531,12.0,0
22,CL,7,128,100,414.99,10529809.0,12467.2834848,0.75150351006354,0.0065806010802468996,12.0,1
23,CL,7,128,100,414.44,10545473.0,12485.8266528,0.75088294683839,0.007416006558642,12.0,2
24,CL,8,128,12,407.81,9900325.0,11721.9414816,0.0017528543612384,8.2025848765432e-05,12.0,0
25,CL,8,128,12,407.44,9901193.0,11722.9721536,0.0017208963659699,8.170524691358e-05,12.0,1
26,CL,8,128,12,409.69999999999993,9901838.0,11723.7344384,0.0017981636234338,8.253125e-05,12.0,2
27,CL,9,256,100,419.61,7455446.0,8827.2413056,0.82531644497757,0.0019324131944444,8.0,0
28,CL,9,256,100,421.52,7438359.0,8807.0097696,0.82582062962077,0.0018888148148148,8.0,1
29,CL,9,256,100,421.79,7446417.0,8816.5498656,0.82550154044383,0.0018333094135802,8.0,2
30,CL,10,256,8,404.4200000000001,6590899.0,7803.5851008,0.0020901465008768,0.00013267592592593,8.0,0
31,CL,10,256,8,406.95,6590610.0,7803.240784,0.0020952393238473,0.00013531172839506,8.0,1
32,CL,10,256,8,404.44,6591910.0,7804.7815552,0.0020948420909455,0.00013486111111111,8.0,2
33,CL,11,512,100,421.80999999999995,7306256.0,8650.5971104,0.82855632179595,0.0018612449845679,8.0,0
34,CL,11,512,100,421.21999999999997,7373985.0,8730.789664,0.82700690553043,0.0018436195987654,8.0,1
35,CL,11,512,100,422.48,7313752.0,8659.475088,0.82832708611927,0.0018616138117284,8.0,2
36,CL,12,512,8,410.06,6589910.0,7802.4143328,0.0021760578969826,0.00024740084876543,8.0,0
37,CL,12,512,8,408.14,6590006.0,7802.5272384,0.0021770840265282,0.00024649266975309,8.0,1
38,CL,12,512,8,408.95000000000005,6591355.0,7804.1235104,0.0021413520009698,0.00024662268518519,8.0,2
39,CL,13,1024,100,422.80000000000007,5999886.0,7103.8605568,0.86064559060889,0.0021943279320988,7.0,0
40,CL,13,1024,100,424.91999999999996,6122218.0,7248.69664,0.85768912522157,0.0021647881944443998,7.0,1
41,CL,13,1024,100,424.78,6134043.0,7262.6983328,0.85746268611109,0.0021947611882716,7.0,2
42,CL,14,1024,7,408.14,5761894.0,6822.042768,0.0022928463177571,0.0005115,7.0,0
43,CL,14,1024,7,410.41,5762689.0,6822.9834592,0.002311358807166,0.0005140034722222201,7.0,1
44,CL,14,1024,7,410.16999999999996,5763615.0,6824.0803392,0.0022372909899206,0.00050510570987654,7.0,2
